ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN,FILING_DATE,PERIOD_OF_REPORT,DATE_OF_ORIG_SUB,NO_SECURITIES_OWNED,NOT_SUBJECT_SEC16,FORM3_HOLDINGS_REPORTED,FORM4_TRANS_REPORTED,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,REMARKS,cik,ticker,sector,industry,filed_date
0001495231-19-000194,266591,Common Stock,,,8432.0,F1,,,D,,,,31-DEC-2019,09-DEC-2019,18-DEC-2019,0.0,,,,3/A,1495231,"IZEA Worldwide, Inc.",IZEA,,0001495231,IZEA,,,2019-12-31
0001562180-19-006297,267095,Common Shares,,,19130.0,,,,I,,By: The Vladimir Coric Family Trust,F2,31-DEC-2019,31-DEC-2019,,,false,,,4,1689813,Biohaven Pharmaceutical Holding Co Ltd.,BHVN,,0001689813,,,,2019-12-31
0001562180-19-006297,267096,Common Shares,,,475000.0,,,,I,,,,31-DEC-2019,31-DEC-2019,,,false,,,4,1689813,Biohaven Pharmaceutical Holding Co Ltd.,BHVN,,0001689813,,,,2019-12-31
0001562180-19-006297,267094,Common Shares,,,100000.0,F1,,,I,,By 401(K) Plan,,31-DEC-2019,31-DEC-2019,,,false,,,4,1689813,Biohaven Pharmaceutical Holding Co Ltd.,BHVN,,0001689813,,,,2019-12-31
0001562180-19-006297,267093,Common Shares,,,5985.0,F1,,,D,,By The Vladimir Coric GRAT - 2019,,31-DEC-2019,31-DEC-2019,,,false,,,4,1689813,Biohaven Pharmaceutical Holding Co Ltd.,BHVN,,0001689813,,,,2019-12-31
0001562180-19-006296,251654,Common Shares,,,50.0,,,,I,,Owned by Spouse,,31-DEC-2019,30-DEC-2019,,,false,,,4,1689813,Biohaven Pharmaceutical Holding Co Ltd.,BHVN,,0001689813,,,,2019-12-31
0001562180-19-006296,251652,Common Shares,,,550000.0,,,,I,,By Berman Family Trust 2013,,31-DEC-2019,30-DEC-2019,,,false,,,4,1689813,Biohaven Pharmaceutical Holding Co Ltd.,BHVN,,0001689813,,,,2019-12-31
0001562180-19-006296,251653,Common Shares,,,240500.0,,,,I,,By Berman Marital Trust 2013,,31-DEC-2019,30-DEC-2019,,,false,,,4,1689813,Biohaven Pharmaceutical Holding Co Ltd.,BHVN,,0001689813,,,,2019-12-31
0001209191-19-062339,124295,Common Stock,,,5359.0,,,,D,,,,31-DEC-2019,27-DEC-2019,,,0,,,4,813672,CADENCE DESIGN SYSTEMS INC,CDNS,,0000813672,CDNS,,,2019-12-31
0001179110-19-013208,166039,Common Stock,,,348.31,,,,I,,by Merrill Lynch under AECOM Retirement & Savings Plan (RSP),,31-DEC-2019,27-DEC-2019,,,0,,,4,868857,AECOM,ACM,,0000868857,ACM,,,2019-12-31
0001257171-19-000071,239309,Common Stock,,,39473.0,,,,I,,,,31-DEC-2019,31-DEC-2019,,,0,,,4,1014763,AMARILLO BIOSCIENCES INC,AMAR,,0001014763,AIMDW,,,2019-12-31
0001257171-19-000071,239310,Common Stock,,,638801.0,,,,I,,,,31-DEC-2019,31-DEC-2019,,,0,,,4,1014763,AMARILLO BIOSCIENCES INC,AMAR,,0001014763,AIMDW,,,2019-12-31
0001257171-19-000071,239308,Common Stock,,,12263.0,,,,D,,"STC INTERNATIONAL, INC.",F3,31-DEC-2019,31-DEC-2019,,,0,,,4,1014763,AMARILLO BIOSCIENCES INC,AMAR,,0001014763,AIMDW,,,2019-12-31
0001257171-19-000071,239307,Common Stock,,,5749019.0,,,,D,,"ACTS BIOSCIENCES, INC.",F2,31-DEC-2019,31-DEC-2019,,,0,,,4,1014763,AMARILLO BIOSCIENCES INC,AMAR,,0001014763,AIMDW,,,2019-12-31
0001562180-19-006295,229248,Class A Common Stock,,,1090078.0,,,,I,,By Ted Atsinger Irreovcable Trust,F4,31-DEC-2019,30-DEC-2019,,,false,,,4,1050606,"SALEM MEDIA GROUP, INC. /DE/",SALM,,0001050606,SALM,,,2019-12-31
0001562180-19-006295,229246,Class A Common Stock,,,25000.0,,,,I,,By Atsinger 1999 Charitable Remainder Trust,F2,31-DEC-2019,30-DEC-2019,,,false,,,4,1050606,"SALEM MEDIA GROUP, INC. /DE/",SALM,,0001050606,SALM,,,2019-12-31
