feature,n_dates,mean_IC,std_IC,IC_IR,t_stat,base,DSR,pass_HLZ,pass_EVT,pass_MAG,is_base_rep,SURVIVOR,ts_mean_IC,ts_std_IC,ts_IC_IR,ts_n_tickers,ts_pass,cs_ts_divergence
short_ratio__ts_decay_linear__w20,561.0,-0.04634824139695424,0.11990282172485028,-0.38654837918087465,-9.155567887355193,short_ratio,0.9999999999620086,True,True,True,True,True,,,,0.0,False,True
short_ratio__ts_mean__w20,571.0,-0.04529548956991862,0.11957502058843175,-0.3788039453977792,-9.051749940588032,short_ratio,0.9999999999306188,True,True,True,False,False,,,,,False,False
short_ratio__ts_decay_linear__w10,571.0,-0.04529548956991862,0.11957502058843175,-0.3788039453977792,-9.051749940588032,short_ratio,0.9999999999306188,True,True,True,False,False,,,,,False,False
short_ratio__cs_zscore,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__ts_min__w5,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__signed_power_p05,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__scale,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__cs_rank,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__ts_min__w20,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__cs_demean,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__ts_max__w5,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__ts_min__w10,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__ts_max__w10,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__ts_max__w20,579.0,-0.044645426972785125,0.11902262828186928,-0.3751003285447189,-9.025821209100709,short_ratio,0.999999999920493,True,True,True,False,False,,,,,False,False
short_ratio__ts_mean__w5,579.0,-0.04456470158754574,0.11907790712396248,-0.3742482771481111,-9.005318791529966,short_ratio,0.9999999999100679,True,True,True,False,False,,,,,False,False
short_ratio__ts_mean__w10,576.0,-0.044592271341249726,0.11943987936161286,-0.37334491276773146,-8.960277906425555,short_ratio,0.9999999998813941,True,True,True,False,False,,,,,False,False
short_ratio__ts_decay_linear__w5,576.0,-0.044592271341249726,0.11943987936161286,-0.37334491276773146,-8.960277906425555,short_ratio,0.9999999998813941,True,True,True,False,False,,,,,False,False
pc_ratio_snap__ts_decay_linear__w10,571.0,0.048101014928191285,0.13908400233705095,0.3458414635755526,8.264091452599848,pc_ratio_snap,0.9999999936054884,True,True,True,True,True,,,,0.0,False,True
pc_ratio_snap__ts_mean__w20,571.0,0.048101014928191285,0.13908400233705095,0.3458414635755526,8.264091452599848,pc_ratio_snap,0.9999999936054884,True,True,True,False,False,,,,,False,False
pc_ratio_snap__ts_min__w10,579.0,0.04728154674945415,0.13863242359926098,0.34105691527206483,8.206654340496195,pc_ratio_snap,0.9999999913759954,True,True,True,False,False,,,,,False,False
pc_ratio_snap__ts_min__w5,579.0,0.04728154674945415,0.13863242359926098,0.34105691527206483,8.206654340496195,pc_ratio_snap,0.9999999913759954,True,True,True,False,False,,,,,False,False
pc_ratio_snap__cs_demean,579.0,0.04728154674945415,0.13863242359926098,0.34105691527206483,8.206654340496195,pc_ratio_snap,0.9999999913759954,True,True,True,False,False,,,,,False,False
pc_ratio_snap__ts_max__w20,579.0,0.04728154674945415,0.13863242359926098,0.34105691527206483,8.206654340496195,pc_ratio_snap,0.9999999913759954,True,True,True,False,False,,,,,False,False
pc_ratio_snap__cs_zscore,579.0,0.04728154674945415,0.13863242359926098,0.34105691527206483,8.206654340496195,pc_ratio_snap,0.9999999913759954,True,True,True,False,False,,,,,False,False
