feature,n_dates,mean_IC,std_IC,IC_IR,t_stat,base,DSR,pass_HLZ,pass_EVT,pass_MAG,is_base_rep,SURVIVOR
short_ratio__ts_decay_linear__w20,560.0,-0.04639320395732706,0.11986527989490901,-0.38704455533747517,-9.15914587596327,short_ratio,0.9999999999575396,True,True,True,True,True
short_ratio__ts_decay_linear__w10,570.0,-0.04535469565417232,0.11951990015766929,-0.37947400888338195,-9.05981778780756,short_ratio,0.999999999924641,True,True,True,False,False
short_ratio__ts_mean__w20,570.0,-0.04535469565417232,0.11951990015766929,-0.37947400888338195,-9.05981778780756,short_ratio,0.999999999924641,True,True,True,False,False
short_ratio__ts_mean__w5,578.0,-0.04465281862466955,0.119022111748404,-0.3751640595913751,-9.019555720214202,short_ratio,0.9999999999059198,True,True,True,False,False
short_ratio__ts_min__w5,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__scale,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__cs_rank,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__signed_power_p05,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__ts_min__w10,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__ts_min__w20,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__ts_max__w20,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__ts_max__w5,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__cs_demean,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__cs_zscore,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__ts_max__w10,579.0,-0.04450248879164585,0.1189934410393924,-0.37399110743350505,-8.999130666146458,short_ratio,0.9999999998939363,True,True,True,False,False
short_ratio__ts_decay_linear__w5,575.0,-0.04466370624743928,0.11938376323096841,-0.3741187665614935,-8.971052870692416,short_ratio,0.9999999998733784,True,True,True,False,False
short_ratio__ts_mean__w10,575.0,-0.04466370624743928,0.11938376323096841,-0.3741187665614935,-8.971052870692416,short_ratio,0.9999999998733784,True,True,True,False,False
pc_ratio_snap__ts_decay_linear__w10,570.0,0.047786611022757636,0.12790157866925816,0.37362018139220515,8.92005957198831,pc_ratio_snap,0.9999999998265681,True,True,True,False,False
pc_ratio_snap__ts_mean__w20,570.0,0.047786611022757636,0.12790157866925816,0.37362018139220515,8.92005957198831,pc_ratio_snap,0.9999999998265681,True,True,True,True,True
pc_ratio_snap__scale,579.0,0.046742560114558525,0.12735049537109802,0.3670386988158247,8.831838898103356,pc_ratio_snap,0.9999999997143783,True,True,True,False,False
pc_ratio_snap__cs_rank,579.0,0.046742560114558525,0.12735049537109802,0.3670386988158247,8.831838898103356,pc_ratio_snap,0.9999999997143783,True,True,True,False,False
pc_ratio_snap__ts_min__w10,579.0,0.046742560114558525,0.12735049537109802,0.3670386988158247,8.831838898103356,pc_ratio_snap,0.9999999997143783,True,True,True,False,False
pc_ratio_snap__cs_demean,579.0,0.046742560114558525,0.12735049537109802,0.3670386988158247,8.831838898103356,pc_ratio_snap,0.9999999997143783,True,True,True,False,False
pc_ratio_snap__ts_max__w5,579.0,0.046742560114558525,0.12735049537109802,0.3670386988158247,8.831838898103356,pc_ratio_snap,0.9999999997143783,True,True,True,False,False
pc_ratio_snap__ts_max__w10,579.0,0.046742560114558525,0.12735049537109802,0.3670386988158247,8.831838898103356,pc_ratio_snap,0.9999999997143783,True,True,True,False,False
pc_ratio_snap__ts_max__w20,579.0,0.046742560114558525,0.12735049537109802,0.3670386988158247,8.831838898103356,pc_ratio_snap,0.9999999997143783,True,True,True,False,False
pc_ratio_snap__ts_min__w5,579.0,0.046742560114558525,0.12735049537109802,0.3670386988158247,8.831838898103356,pc_ratio_snap,0.9999999997143783,True,True,True,False,False
