ticker,prediction_date,actual_up,prob_up,shap_return_1d,shap_return_3d,shap_return_5d,shap_ma_5,shap_ma_10,shap_ma_20,shap_volatility_5d,shap_volatility_10d,shap_rsi_14,shap_macd,shap_bb_upper,shap_bb_lower,shap_bb_width,shap_volume_zscore,shap_volume_spike,shap_vwap,shap_obv,shap_atr,shap_spy_ret,shap_xlk_ret,shap_sentiment_score,shap_insider_net_shares,shap_insider_7d,shap_insider_21d,shap_congress_net_shares,shap_risk_today,shap_risk_next_1d,shap_risk_next_3d,shap_risk_prev_1d,shap_is_pandemic,shap_eps_surprise,shap_rev_surprise,shap_days_to_earnings,shap_post_earnings_1d,shap_post_earnings_3d,shap_post_earnings_5d,shap_vwap_dev_eod,shap_vol_surge_eod,shap_intraday_momentum,shap_premarket_gap,shap_iv_skew_snap,shap_pc_ratio_snap,shap_analyst_upside,shap_analyst_buy_pct,shap_analyst_mult,shap_finbert_sentiment,shap_oil_ret,shap_oil_spy_corr,shap_return_20d,shap_return_60d,shap_ma_50,shap_ma5_above_ma20,shap_ma20_above_ma50,shap_high_52w_ratio,shap_low_52w_ratio,shap_bb_pct,shap_rsi_above_70,shap_rsi_below_30,shap_obv_trend,shap_vix_close,shap_vix_ret,shap_dxy_ret,shap_yield_10y,shap_fear_greed,shap_vix_term_structure,shap_beta_60d,shap_short_ratio,shap_short_pct_float,shap_monday_sentiment,shap_sector_rel_ret,shap_day_of_week,shap_is_month_end,shap_vix_5d_above_25,shap_semi_etf_momentum_60d,shap_igv_vs_sp500_ret_30d,shap_lqd_hyg_spread
XLI,2026-04-30,1,0.7095,0.0,0.0,0.0,0.0,0.005962615163199884,0.0,-0.017475900387171176,0.0,0.0,0.0,0.032108196107698495,0.0,0.0,0.0,-8.098242772651166e-05,0.024563684440521268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005427664726151608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006063521822592301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004100514836015385,0.0,0.0,0.0,0.006366147544425564,0.0,0.0,0.0,-0.008727714214485503,0.0,0.0
VZ,2026-04-30,1,0.7198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018406302707236134,-0.0009032079722507971,0.0,0.0,0.0,0.0,0.006447053447085424,0.006402731706293393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025602278774565883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032789601156815204,0.0,0.0,0.0,0.0,-0.009748337300435173,0.0,0.0,0.0,0.0,0.0,0.0,0.002721576015772946,-0.0031851025023216556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0055391109205441096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,2026-04-30,1,0.8056,0.0,0.0,0.0,0.0,-0.07946882746305259,-0.011887963145505965,-0.01739088886727578,-0.0025703742825399284,0.0,-0.03201359373415141,0.0,-0.04994404495899112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02630052186469562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02103126397115107,0.0,-0.023175331591384633,-0.026663118734429867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSM,2026-04-30,1,0.7608,0.0,0.0,0.0,-0.007503877575951632,0.004274413528758042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00497400330668301,0.015984591429257802,0.002887157121863494,0.0,0.009087103560640557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01024509338630109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006400429716124319,0.0,0.0,0.0,-0.010190977971612569,0.0,0.0,0.0,0.0,0.0,0.0,-0.007006687769884343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETN,2026-04-30,1,0.762,0.0,0.0,0.0,0.0,-0.0051633879227607786,0.0,0.0,0.0,0.0,0.0,-0.012494131317491676,0.0,0.0,0.0,0.0,0.0,-0.009271873677271274,-0.00937930578579126,-0.020625323818438773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025966400939302307,0.0,-0.015242109274502308,0.0,0.0,0.0,0.0,0.0,5.42084898902344e-05,0.0,0.029957999541823217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007559898277980302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EME,2026-04-30,1,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00491625284293686,-0.009423719565944885,0.0,0.0,-0.0042261118737660155,0.0,-0.006244042364734072,0.0,0.0,0.0004534621577989582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002495041576735635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006318144171969892,0.0,-0.006425318352622455,0.0,-0.005202955646900406,0.0,-0.005642898235468152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APD,2026-04-30,1,0.7512,0.0,0.016044840962452445,0.0,-0.032924666976456574,-0.04143864977760008,0.0,0.0,0.0,0.0,0.0,0.0,-0.015026409714272753,0.0,0.0,0.0,-0.021093732488342412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016959900339371763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031147187197144016,0.0,0.0,0.03131728411222784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037208013657872028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038710940071714807,0.0,0.0
SYM,2026-04-29,1,0.7226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006539973903454671,-0.007472075040496437,0.0,0.0,0.0,0.0,0.013759652769330834,-0.014195322911832783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020058898531040946,0.0,0.0012546549665606592,-0.005058745111835781,-0.008046979786076033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006679946759906513,0.0,0.0,0.0,0.0,-0.006814723043831194,0.0
SPY,2026-04-29,1,0.7347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005026029466760496,0.0,0.0,0.015938505082647794,0.0,0.0,0.0,0.0,0.034202863923504745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010489378708246412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01745891185244143,0.0,0.0,0.005659593587005817,0.0,0.0,0.0,0.0,0.0,0.0,0.037501502178056374,0.0,0.0,0.016445260423316916,0.0,0.0,0.006973866430767581,0.0,0.0,0.0,0.0
PUBM,2026-04-29,1,0.7129,0.005229249877210978,0.0,0.0,0.0050478819300617365,0.0,0.017332438227671106,0.0,0.0,0.0,0.0,0.0,0.036040234272939925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071090654219467765,0.0,0.0,0.0,0.0,0.0,0.006807887472995646,-0.0019949010453392266,0.0,0.004860286227914817,0.0,0.0,0.007751814163405422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
