alpha,base,n,beta,r2,beta_t,sh_raw,sh_hedged,breaks
obv__cs_rank,obv,104,1.298,0.829,22.2,1.43,0.57,0
return_20d__ts_argmax__w10,return_20d,103,1.476,0.622,12.89,1.25,0.37,1
oil_spy_corr__cs_demean,oil_spy_corr,104,1.304,0.562,11.43,1.13,0.22,0
oil_spy_corr__cs_rank,oil_spy_corr,104,1.304,0.562,11.43,1.13,0.22,0
obv_trend__ts_argmax__w20,obv_trend,104,1.248,0.562,11.44,1.11,0.19,0
oil_spy_corr__cs_zscore,oil_spy_corr,103,1.305,0.561,11.37,1.12,0.22,1
rev_x_low52w__group_neutralize,rev_x_low52w,104,2.34,0.532,10.76,1.94,1.43,0
intraday_momentum__ts_decay_linear__w20,intraday_momentum,100,1.949,0.468,9.29,1.53,0.95,4
intraday_momentum__ts_max__w20,intraday_momentum,104,2.107,0.468,9.47,1.68,1.07,0
intraday_momentum__ts_max__w10,intraday_momentum,104,1.927,0.466,9.44,2.05,1.58,0
low_52w_ratio__ts_min__w5,low_52w_ratio,57,2.498,0.465,6.92,1.68,1.4,47
vwap_dev_eod__cs_demean,vwap_dev_eod,104,1.994,0.464,9.4,1.55,0.9,0
vwap_dev_eod__cs_zscore,vwap_dev_eod,104,1.994,0.464,9.4,1.55,0.9,0
vwap_dev_eod__cs_rank,vwap_dev_eod,104,1.994,0.464,9.4,1.55,0.9,0
intraday_momentum__ts_max__w5,intraday_momentum,104,1.878,0.442,8.98,1.88,1.34,0
intraday_momentum__ts_decay_linear__w10,intraday_momentum,102,1.916,0.441,8.87,1.66,1.06,2
ma5_above_ma20__ts_mean__w20,ma5_above_ma20,102,0.896,0.434,8.75,2.04,1.57,2
intraday_momentum__cs_demean,intraday_momentum,104,1.692,0.433,8.83,2.03,1.55,0
intraday_momentum__cs_zscore,intraday_momentum,104,1.692,0.433,8.83,2.03,1.55,0
intraday_momentum__cs_rank,intraday_momentum,104,1.692,0.433,8.83,2.03,1.55,0
obv_trend__ts_mean__w20,obv_trend,102,0.954,0.432,8.73,1.44,0.77,2
rsi_14__ts_min__w5,rsi_14,104,1.013,0.43,8.78,1.88,1.35,0
low_52w_ratio__ts_mean__w10,low_52w_ratio,56,2.422,0.427,6.35,1.91,1.55,48
fund_bm__ts_argmax__w20,fund_bm,104,0.913,0.426,8.7,1.93,1.41,0
rsi_14__ts_min__w20,rsi_14,104,0.871,0.407,8.37,1.72,1.14,0
rsi_14__signed_power_p05,rsi_14,104,0.942,0.402,8.27,2.29,1.88,0
rsi_14__cs_zscore,rsi_14,104,0.942,0.402,8.27,2.29,1.88,0
rsi_14__cs_rank,rsi_14,104,0.942,0.402,8.27,2.29,1.88,0
rsi_14__scale,rsi_14,104,0.942,0.402,8.27,2.29,1.88,0
rsi_14__cs_demean,rsi_14,104,0.942,0.402,8.27,2.29,1.88,0
rsi_14__ts_decay_linear__w5,rsi_14,103,1.02,0.389,8.01,1.91,1.41,1
rsi_14__ts_mean__w5,rsi_14,103,1.021,0.378,7.84,1.75,1.21,1
rsi_14__ts_max__w20,rsi_14,104,1.041,0.369,7.72,2.34,1.94,0
rsi_14__ts_mean__w10,rsi_14,103,1.014,0.366,7.64,1.74,1.19,1
rsi_14__ts_decay_linear__w20,rsi_14,100,0.958,0.364,7.48,1.66,1.15,4
rsi_14__ts_max__w5,rsi_14,104,1.025,0.361,7.59,1.78,1.24,0
rsi_14__ts_decay_linear__w10,rsi_14,102,1.012,0.352,7.37,1.59,1.01,2
rsi_14__ts_max__w10,rsi_14,104,1.076,0.348,7.38,1.94,1.45,0
rsi_14__ts_mean__w20,rsi_14,102,0.982,0.337,7.12,1.76,1.23,2
return_20d__ts_mean__w20,return_20d,102,1.798,0.334,7.08,1.88,1.37,2
return_20d__ts_min__w20,return_20d,103,1.114,0.328,7.03,1.84,1.34,1
bb_pct__ts_mean__w20,bb_pct,102,0.878,0.304,6.61,2.17,1.74,2
return_20d__ts_mean__w10,return_20d,103,1.649,0.265,6.03,2.1,1.67,1
