alpha,base,n,beta,r2,beta_t,sh_raw,sh_hedged,breaks
low_52w_ratio__ts_mean__w10,low_52w_ratio,56,1.405,0.179,3.44,1.91,1.58,48
low_52w_ratio__ts_min__w5,low_52w_ratio,57,1.339,0.177,3.44,1.83,1.57,47
return_20d__ts_min__w20,return_20d,103,-1.041,0.132,3.92,-0.24,0.25,1
obv_trend__ts_mean__w20,obv_trend,102,-0.554,0.09,3.14,0.45,0.88,2
rsi_14__ts_max__w20,rsi_14,104,-0.543,0.067,2.7,1.18,1.57,0
ma5_above_ma20__ts_mean__w20,ma5_above_ma20,102,-0.478,0.062,2.58,0.68,1.04,2
return_20d__ts_argmax__w10,return_20d,103,0.386,0.062,2.59,0.85,0.54,1
bb_pct__ts_mean__w20,bb_pct,102,-0.479,0.06,2.53,1.32,1.69,2
rsi_14__ts_max__w5,rsi_14,104,-0.493,0.055,2.43,0.84,1.18,0
rsi_14__ts_min__w20,rsi_14,104,-0.424,0.053,2.38,0.83,1.17,0
rsi_14__ts_mean__w20,rsi_14,102,-0.447,0.046,2.19,1.15,1.46,2
rsi_14__scale,rsi_14,104,-0.41,0.043,2.13,0.31,0.6,0
rsi_14__signed_power_p05,rsi_14,104,-0.41,0.043,2.13,0.31,0.6,0
fund_bm__ts_argmax__w20,fund_bm,104,-0.321,0.043,2.15,1.08,1.38,0
rsi_14__cs_rank,rsi_14,104,-0.41,0.043,2.13,0.31,0.6,0
rsi_14__cs_zscore,rsi_14,104,-0.41,0.043,2.13,0.31,0.6,0
rsi_14__cs_demean,rsi_14,104,-0.41,0.043,2.13,0.31,0.6,0
rsi_14__ts_decay_linear__w10,rsi_14,102,-0.408,0.038,1.98,0.98,1.26,2
rsi_14__ts_mean__w5,rsi_14,103,-0.39,0.034,1.88,0.89,1.15,1
rsi_14__ts_decay_linear__w5,rsi_14,103,-0.368,0.031,1.8,0.48,0.72,1
rsi_14__ts_decay_linear__w20,rsi_14,100,-0.343,0.029,1.72,1.02,1.25,4
rsi_14__ts_mean__w10,rsi_14,103,-0.341,0.028,1.72,0.97,1.2,1
rsi_14__ts_max__w10,rsi_14,104,-0.328,0.027,1.68,1.1,1.33,0
rsi_14__ts_min__w5,rsi_14,104,-0.317,0.025,1.61,0.71,0.93,0
oil_spy_corr__cs_demean,oil_spy_corr,104,0.239,0.023,1.55,1.52,1.34,0
oil_spy_corr__cs_zscore,oil_spy_corr,103,0.239,0.023,1.54,1.51,1.33,1
oil_spy_corr__cs_rank,oil_spy_corr,104,0.239,0.023,1.55,1.52,1.34,0
obv_trend__ts_argmax__w20,obv_trend,104,0.206,0.023,1.54,0.04,-0.16,0
rev_x_low52w__group_neutralize,rev_x_low52w,104,0.441,0.021,1.47,0.41,0.23,0
obv__cs_rank,obv,104,-0.137,0.01,1.03,0.55,0.68,0
intraday_momentum__cs_rank,intraday_momentum,104,-0.192,0.005,0.72,1.21,1.3,0
return_20d__ts_mean__w10,return_20d,103,-0.244,0.005,0.73,1.3,1.4,1
intraday_momentum__cs_zscore,intraday_momentum,104,-0.192,0.005,0.72,1.21,1.3,0
intraday_momentum__cs_demean,intraday_momentum,104,-0.192,0.005,0.72,1.21,1.3,0
intraday_momentum__ts_max__w5,intraday_momentum,104,-0.117,0.002,0.43,1.37,1.43,0
intraday_momentum__ts_decay_linear__w20,intraday_momentum,100,0.061,0.001,0.22,1.05,1.02,4
intraday_momentum__ts_decay_linear__w10,intraday_momentum,102,-0.087,0.001,0.31,1.1,1.14,2
intraday_momentum__ts_max__w20,intraday_momentum,104,0.089,0.001,0.32,1.38,1.33,0
intraday_momentum__ts_max__w10,intraday_momentum,104,-0.015,0.0,0.06,1.5,1.51,0
vwap_dev_eod__cs_demean,vwap_dev_eod,104,0.038,0.0,0.14,0.94,0.92,0
vwap_dev_eod__cs_zscore,vwap_dev_eod,104,0.038,0.0,0.14,0.94,0.92,0
vwap_dev_eod__cs_rank,vwap_dev_eod,104,0.038,0.0,0.14,0.94,0.92,0
return_20d__ts_mean__w20,return_20d,102,-0.054,0.0,0.17,0.94,0.96,2
