date,split,vol,rev,short
2024-02-13,train,0.014693,-0.026384,-0.005657
2024-02-21,train,0.056994,0.066815,0.148131
2024-02-28,train,0.07034,0.025651,0.027411
2024-03-06,train,-0.011374,0.045875,0.020471
2024-03-13,train,-0.007296,-0.010077,0.003357
2024-03-20,train,0.00331,0.00999,-0.007627
2024-03-27,train,-0.049013,-0.035537,-0.098001
2024-04-04,train,-0.007333,0.012148,-0.02537
2024-04-11,train,-0.042124,-0.086485,-0.082349
2024-04-18,train,0.022948,0.006636,0.00662
2024-04-25,train,-0.004811,0.036771,0.05058
2024-05-02,train,0.058789,0.033616,0.01567
2024-05-09,train,0.002632,0.018802,0.069911
2024-05-16,train,-0.022119,0.007744,-0.041545
2024-05-23,train,0.036501,-0.027588,0.048838
2024-05-31,train,0.018902,0.044983,-0.007556
2024-06-07,train,0.030868,0.051245,-0.031293
2024-06-14,train,-0.025574,-0.003198,0.017859
2024-06-24,train,0.008215,0.02221,-0.005672
2024-07-01,train,0.038924,0.072874,0.049242
2024-07-09,train,0.082869,0.079285,0.185084
2024-07-16,train,-0.044422,-0.060688,-0.058162
2024-07-23,train,-0.085194,-0.114978,0.006424
2024-07-30,train,-0.039789,-0.074953,-0.089817
2024-08-06,train,0.033584,0.023381,-0.002161
2024-08-13,train,0.046434,0.069636,0.073343
2024-08-20,train,-0.004433,-0.016518,0.033135
2024-08-27,train,-0.035543,-0.096298,-0.074662
2024-09-04,train,0.046725,0.065174,0.045768
2024-09-11,train,0.009055,0.036687,0.048649
2024-09-18,train,0.036095,0.058103,0.012956
2024-09-25,train,-0.004549,-0.000944,-0.019081
2024-10-02,train,0.002556,0.050491,0.000407
2024-10-09,train,0.05762,0.081141,0.049699
2024-10-16,train,-0.005946,0.014847,-0.010127
2024-10-23,train,0.021879,-0.012822,0.054128
2024-10-30,train,-0.007592,0.025317,0.057974
2024-11-06,train,0.017517,0.101735,0.073192
2024-11-13,train,0.003018,0.019777,-0.008063
2024-11-20,train,0.058409,0.030144,0.084742
2024-11-27,train,0.047221,0.047268,0.020436
2024-12-05,train,0.026813,0.033554,0.01916
2024-12-12,train,-0.016809,-0.033964,-0.063909
2024-12-19,train,0.021535,0.059172,0.031877
2024-12-27,train,0.030365,0.11107,0.045364
2025-01-06,train,-0.057749,-0.086687,-0.077377
2025-01-14,train,0.105221,0.158427,0.06216
2025-01-22,train,-0.001716,-0.077757,-0.030416
2025-01-29,train,0.104276,0.065515,0.059101
2025-02-05,train,-0.041632,-0.006065,-0.00966
2025-02-12,train,0.006753,0.01836,0.034204
2025-02-20,train,-0.098263,-0.143829,-0.114485
2025-02-27,train,-0.060621,-0.067711,-0.063058
2025-03-06,train,-0.028823,-0.043509,-0.054863
2025-03-13,train,0.05192,0.076308,0.068386
2025-03-20,train,-0.010428,0.002949,-0.007674
2025-03-27,train,-0.070142,-0.08635,-0.084274
2025-04-03,train,-0.005352,0.001444,-0.04796
2025-04-10,train,0.005768,0.032188,0.026451
2025-04-17,train,0.043644,0.091416,0.099712
2025-04-25,train,0.026586,0.059758,0.070482
2025-05-02,train,0.016033,-0.02783,0.047244
2025-05-09,train,0.082282,0.129388,0.098693
2025-05-16,train,-0.026765,-0.002298,-0.026149
2025-05-23,train,0.044639,0.036346,0.031758
2025-06-02,train,0.083279,0.035929,0.070695
2025-06-09,train,0.011595,0.04551,0.002904
2025-06-16,train,0.004992,0.010865,0.013077
2025-06-24,train,0.026208,0.011384,0.04494
2025-07-01,train,-0.047118,0.055141,0.031592
2025-07-09,train,0.041245,0.060607,0.007224
2025-07-16,train,0.086102,0.048076,0.05152
2025-07-23,train,-0.010272,0.00657,-0.106229
2025-07-30,train,-0.018451,0.089221,0.02108
2025-08-06,train,0.030094,0.001099,0.045512
2025-08-13,train,-0.049933,-0.068437,-0.037457
2025-08-20,train,0.040051,0.061565,0.049675
2025-08-27,train,-0.011473,-0.030049,-0.019853
2025-09-04,train,0.074179,0.11391,0.072962
2025-09-11,train,0.048771,0.090354,0.085702
2025-09-18,train,0.00102,0.030641,0.077842
2025-09-25,train,0.073195,0.083362,0.055841
2025-10-02,train,0.059507,0.05268,0.090113
2025-10-09,train,-0.045494,-0.059173,-0.019187
2025-10-16,train,-0.002598,-0.022885,-0.035468
2025-10-23,train,0.025017,0.074709,-0.011675
2025-10-30,train,-0.031192,-0.052071,-0.062829
2025-11-06,train,0.011072,-0.04274,-0.064438
2025-11-13,train,-0.080946,-0.081609,-0.089257
2025-11-20,train,0.079118,0.095864,0.090563
2025-11-28,train,0.024385,0.04685,0.048607
2025-12-05,train,-0.012462,-0.008693,-0.050258
2025-12-12,train,-0.017645,0.00686,-0.046975
2025-12-19,train,0.006458,-0.009627,-0.016012
2025-12-29,train,0.072492,0.083854,0.034799
2026-01-06,train,-0.003076,0.017327,-0.004219
2026-01-13,train,0.055996,-0.01328,-0.024342
2026-01-21,train,0.00174,0.034643,-0.013421
2026-01-28,train,-0.086851,-0.089839,-0.095752
2026-02-04,train,-0.00502,0.006999,-0.030367
2026-02-11,train,-0.017114,0.020033,0.001659
2026-02-19,train,0.050398,-0.027249,0.01536
2026-02-26,test,-0.000976,-0.043114,-0.021288
2026-03-05,test,-0.001264,0.003858,-0.025691
2026-03-12,test,0.016649,0.037789,-0.01333
2026-03-19,test,0.018077,-0.040157,-0.018256
2026-03-26,test,0.041721,0.059308,-0.009159
2026-04-02,test,0.026205,0.067843,-0.004984
2026-04-10,test,0.129794,0.077062,0.121423
2026-04-17,test,-0.027733,0.036052,-0.042056
2026-04-24,test,0.019176,0.017979,0.000884
2026-05-01,test,0.00684,0.076416,0.035461
2026-05-08,test,0.004591,0.007453,-0.019859
2026-05-15,test,0.065694,0.053615,0.049043
2026-05-22,test,0.041899,0.113024,0.113943
2026-06-01,test,-0.07861,-0.075836,-0.100343
2026-06-08,test,0.029765,0.048531,0.054255
2026-06-15,test,-0.044361,-0.014122,-0.018587
2026-06-23,test,0.045528,0.059151,0.025156
2026-07-01,test,0.002059,-0.012124,-0.004754
2026-07-09,test,-0.022775,-0.072167,-0.039023
2026-07-16,test,-0.010106,0.026491,-0.026945
2026-07-23,test,0.031496,-0.031782,0.037468
2026-07-30,test,0.038451,0.033856,0.026078
2026-08-06,test,0.030769,0.074148,0.066537
2026-08-13,test,-0.01435,-0.044497,-0.003431
