date,split,obv,low_52w_ratio,bb_pct,obv_trend,rsi_14,return_20d
2025-01-14,train,0.061261,0.154441,0.05348,0.062533,0.071295,0.090912
2025-01-22,train,-0.004987,-0.089159,-0.061507,-0.047381,-0.083567,-0.116146
2025-01-29,train,0.021885,0.127238,0.040861,0.016584,0.037811,0.101042
2025-02-05,train,-0.003039,-0.007488,0.018635,-0.005298,0.020125,-0.011017
2025-02-12,train,-0.002949,0.019958,-0.019958,-0.019707,-0.018456,-0.081858
2025-02-20,train,-0.062011,-0.154082,-0.033728,-0.030054,-0.058958,-0.127543
2025-02-27,train,-0.037573,-0.077552,-0.007491,-0.015886,-0.01003,-0.074101
2025-03-06,train,-0.032289,-0.053597,-0.029977,-0.017658,-0.025237,-0.040156
2025-03-13,train,0.040251,0.093833,0.009399,0.013233,0.012566,0.008794
2025-03-20,train,0.005909,-0.011149,-0.001046,-0.021771,-0.007541,-0.010191
2025-03-27,train,-0.061464,-0.09226,-0.000882,-0.025137,-0.015024,-0.014371
2025-04-03,train,-0.022428,-0.006847,-0.018989,-0.015641,-0.030995,-0.019786
2025-04-10,train,0.019377,0.077546,-0.007185,0.011338,-0.006101,-0.0094
2025-04-17,train,0.070304,0.08602,0.003609,0.010513,0.014606,0.011296
2025-04-25,train,0.028187,0.065371,0.028101,0.015984,0.036371,0.027782
2025-05-02,train,-0.002495,-0.026254,-0.010031,-0.009184,-0.00603,-0.024813
2025-05-09,train,0.078069,0.113857,0.044578,0.088423,0.048048,0.07325
2025-05-16,train,-0.022684,0.008419,0.025288,-0.022625,-0.0106,0.02804
2025-05-23,train,0.029797,0.01453,0.028931,0.018514,0.017094,0.042109
2025-06-02,train,0.012016,0.097237,0.080775,0.038777,0.053096,0.093115
2025-06-09,train,0.008224,0.036857,-0.000686,-0.003778,0.001746,0.034894
2025-06-16,train,0.011734,0.0272,0.025406,0.017498,0.055645,0.03953
2025-06-24,train,0.011855,-0.005106,0.015488,-0.009902,-0.002976,-0.021713
2025-07-01,train,0.012538,0.08186,0.029287,0.026112,0.020073,0.047892
2025-07-09,train,0.004458,0.063263,0.013783,0.009172,0.018863,0.119468
2025-07-16,train,0.012169,0.063193,0.048348,0.029794,0.06051,0.090638
2025-07-23,train,0.002555,-0.00186,0.003411,0.008858,-0.008546,-0.059173
2025-07-30,train,0.002231,0.086677,0.006732,0.004695,-0.002107,0.056998
2025-08-06,train,0.03279,0.021003,0.012714,0.040122,0.012287,-0.007062
2025-08-13,train,-0.023833,-0.075551,-0.049178,-0.033701,-0.042692,-0.071239
2025-08-20,train,0.023186,0.056424,0.010923,0.021783,0.005431,0.043252
2025-08-27,train,0.014078,0.001935,0.032424,0.022533,0.044532,0.042347
2025-09-04,train,0.030001,0.118448,0.022277,0.018042,0.016466,0.084724
