date,split,return_20d,rsi_14,obv_trend,bb_pct,low_52w_ratio,obv
2025-01-14,train,0.091185,0.071568,0.062751,0.053814,0.154441,0.061261
2025-01-22,train,-0.116146,-0.083567,-0.047381,-0.061507,-0.089159,-0.004987
2025-01-29,train,0.101042,0.037811,0.016584,0.040861,0.127238,0.021885
2025-02-05,train,-0.011017,0.020125,-0.005298,0.018635,-0.007488,-0.003039
2025-02-12,train,-0.081858,-0.018456,-0.019707,-0.019958,0.019958,-0.002949
2025-02-20,train,-0.127543,-0.058958,-0.030054,-0.033728,-0.154082,-0.062011
2025-02-27,train,-0.074101,-0.01003,-0.015886,-0.007491,-0.077552,-0.037573
2025-03-06,train,-0.040156,-0.025237,-0.017658,-0.029977,-0.053597,-0.032289
2025-03-13,train,0.008794,0.012566,0.013233,0.009399,0.093833,0.040251
2025-03-20,train,-0.010191,-0.007541,-0.021771,-0.001046,-0.011149,0.005909
2025-03-27,train,-0.014371,-0.015024,-0.025137,-0.000882,-0.09226,-0.061464
2025-04-03,train,-0.019786,-0.030995,-0.015641,-0.018989,-0.006847,-0.022428
2025-04-10,train,-0.0094,-0.006101,0.011338,-0.007185,0.077546,0.019377
2025-04-17,train,0.011296,0.014606,0.010513,0.003609,0.08602,0.070304
2025-04-25,train,0.027782,0.036371,0.015984,0.028101,0.065371,0.028187
2025-05-02,train,-0.024813,-0.00603,-0.009184,-0.010031,-0.026254,-0.002495
2025-05-09,train,0.07325,0.048048,0.088423,0.044578,0.113857,0.078069
2025-05-16,train,0.02804,-0.0106,-0.022625,0.025288,0.008419,-0.022684
2025-05-23,train,0.042109,0.017094,0.018514,0.028931,0.01453,0.029797
2025-06-02,train,0.093115,0.053096,0.038777,0.080775,0.097237,0.012016
2025-06-09,train,0.034894,0.001746,-0.003778,-0.000686,0.036857,0.008224
2025-06-16,train,0.03953,0.055645,0.017498,0.025406,0.0272,0.011734
2025-06-24,train,-0.021713,-0.002976,-0.009902,0.015488,-0.005106,0.011855
2025-07-01,train,0.047892,0.020073,0.026112,0.029287,0.08186,0.012538
2025-07-09,train,0.119468,0.018863,0.009172,0.013783,0.063263,0.004458
2025-07-16,train,0.090638,0.06051,0.029794,0.048348,0.063193,0.012169
2025-07-23,train,-0.059173,-0.008546,0.008858,0.003411,-0.00186,0.002555
2025-07-30,train,0.056998,-0.002107,0.004695,0.006732,0.086677,0.002231
2025-08-06,train,-0.007062,0.012287,0.040122,0.012714,0.021003,0.03279
2025-08-13,train,-0.071239,-0.042692,-0.033701,-0.049178,-0.075551,-0.023833
2025-08-20,train,0.043252,0.005431,0.021783,0.010923,0.056424,0.023186
2025-08-27,train,0.042347,0.044532,0.022533,0.032424,0.001935,0.014078
2025-09-04,train,0.084724,0.016466,0.018042,0.022277,0.118448,0.030001
2025-09-11,train,0.070176,0.035174,0.044034,0.022993,0.123083,0.025791
2025-09-18,train,0.050203,0.035637,0.035579,0.042509,0.020287,0.0091
2025-09-25,train,0.143139,0.090263,0.078773,0.064568,0.059801,0.018853
2025-10-02,train,0.024884,-0.006682,-0.018984,-0.006621,0.074434,0.008961
2025-10-09,train,-0.00414,0.017363,0.03006,0.026143,-0.001055,-0.006824
2025-10-16,train,-0.073501,-0.020137,-0.032398,-0.031234,-0.06235,-0.007852
2025-10-23,train,0.044991,0.007581,0.017269,0.007624,0.04118,0.040752
2025-10-30,train,-0.091671,-0.009133,-0.036951,-0.022578,-0.123749,-0.030054
2025-11-06,train,-0.054995,-0.001527,-0.019728,-0.02573,-0.07547,-0.006071
2025-11-13,train,-0.057434,-0.021682,-0.02894,-0.034744,-0.087124,-0.037978
2025-11-20,train,0.090043,0.052751,0.050273,0.06374,0.133631,0.084553
2025-11-28,train,-0.02318,-0.012328,-0.00928,-0.012956,0.004492,0.017762
2025-12-05,train,0.011048,0.01425,0.013985,0.006258,-0.008243,-0.010858
2025-12-12,train,0.006321,0.008676,-0.005961,-0.001705,-0.020591,0.011287
2025-12-19,train,-0.000823,0.003121,0.006699,0.005975,-0.027618,0.00349
2025-12-29,train,0.095155,0.022223,0.043599,0.038643,0.172872,0.009995
2026-01-06,train,0.00246,0.025044,0.009791,0.026953,0.03544,0.004296
2026-01-13,train,0.056005,0.023974,0.018241,0.01338,0.023156,-0.025325
2026-01-21,train,0.048827,0.011904,0.037266,0.007807,0.090403,0.02016
2026-01-28,train,-0.142346,-0.036727,-0.070709,-0.097483,-0.149491,-0.051398
2026-02-04,train,0.03148,0.026713,0.021835,0.033544,0.017718,0.006848
2026-02-11,train,-0.006608,0.003012,-0.005608,0.002938,0.015589,-0.024012
2026-02-19,train,0.018165,0.013566,0.00305,0.006224,0.015844,0.01273
2026-02-26,test,-0.036364,0.004564,-0.00286,-0.013794,-0.036254,-0.002011
2026-03-05,test,-0.020395,-0.01774,-0.01593,-0.003328,0.022521,-0.009388
2026-03-12,test,-0.000384,0.009499,0.001937,0.006151,0.081114,-0.006232
2026-03-19,test,-0.028278,-0.017841,-0.006772,0.002335,-0.061223,-0.019847
2026-03-26,test,0.020197,0.016415,0.010161,0.013757,0.038284,0.011876
2026-04-02,test,0.002362,0.020753,0.025942,0.0176,0.075928,0.016142
2026-04-10,test,0.109434,0.069669,0.041158,0.051459,0.092349,0.08751
2026-04-17,test,0.07842,0.040968,-0.01518,0.073014,0.031971,0.011321
2026-04-24,test,0.019806,0.037319,0.041235,0.0008,0.032553,0.024225
2026-05-01,test,0.069557,0.057617,0.113003,0.120438,0.09407,0.039849
2026-05-08,test,-0.012719,0.005046,-0.023968,-0.010221,-0.006035,-0.003746
2026-05-15,test,0.076123,0.038547,0.030765,0.055,0.041941,0.016646
2026-05-22,test,0.12646,0.058885,0.112518,0.072186,0.123391,0.026282
2026-06-01,test,-0.07897,-0.067821,-0.043284,-0.038651,-0.093877,-0.04514
2026-06-08,test,0.027307,0.035122,0.039775,0.021858,0.102041,0.017946
2026-06-15,test,-0.039775,-0.007752,-0.012489,-0.013794,-0.017514,-0.035614
2026-06-23,test,0.054366,0.009832,0.025637,0.024169,0.044645,-0.004995
2026-07-01,test,-0.008056,-0.004806,-0.017196,-0.013964,-0.030407,0.002761
2026-07-09,test,-0.014993,0.00794,0.019863,0.012483,-0.088898,-0.017211
2026-07-16,test,-0.031547,-0.025431,-0.036115,-0.024009,0.031111,-0.010708
2026-07-23,test,0.043267,-0.006487,0.024826,0.016646,-0.045755,8.8e-05
2026-07-30,test,-8.1e-05,0.002625,0.006172,-0.01637,0.008771,0.029511
2026-08-06,test,0.055116,0.010322,0.02754,0.028412,0.087728,0.018512
2026-08-13,test,-0.026215,-0.009872,0.000386,-0.003287,-0.027694,-0.023393
