# VOID 2026-09-08: computed against leaked report_date (fiscal period end, not announce date). Monitor cron disabled. Do not read as signal.
date,n_dates,triggered,is_n,oos_n,is_sharpe,oos_sharpe,oos_ci_lo,oos_ci_hi,verdict
2026-06-25,60,yes,39,19,0.93,1.31,-0.22,3.27,inconclusive
2026-06-25,124,yes,80,41,0.87,2.02,1.04,3.19,CONFIRMED
2026-06-30,124,no,,,,,,,
2026-07-21,126,no,,,,,,,
2026-08-04,127,no,,,,,,,
2026-08-11,127,no,,,,,,,
2026-08-18,128,no,,,,,,,
2026-08-25,128,no,,,,,,,
2026-09-01,129,no,,,,,,,
2026-09-08,129,no,,,,,,,
