ticker,entry,notional,n_ins,csuite,ex20,ex60
ABT,2019-02-01,242643.97,1,0,0.05192697796165713,0.010781462604772196
ABT,2019-04-24,146798.2,1,1,0.016200585389603894,0.12303036038388848
ABT,2021-02-25,249900.0,1,0,-0.0400858848499035,-0.12189422458265109
ABT,2026-01-26,2013966.92,1,1,0.0611818374459463,-0.18361371565429008
ABT,2026-02-06,1087331.402,1,0,0.034304028919789564,-0.26148045217863014
ABT,2026-04-27,201300.0,1,1,-0.11558272044553664,
ABT,2026-04-28,926537.0,1,0,-0.1416270417299491,
ADSK,2024-10-01,8833.86,1,0,0.059836410140609475,0.06512513978725698
ADSK,2025-03-24,534194.0,1,0,0.05166946825550356,0.055894861594569356
ADSK,2026-05-29,794054.34,1,0,,
AI,2021-06-11,645100.0,1,0,-0.08030236139341673,-0.21394494828646937
AI,2026-03-10,225000.0,1,0,-0.018361532384299828,0.0627994957027671
AI,2026-03-31,77300.0,1,0,-0.04190959642012948,
ALAB,2024-03-22,1322892.0,3,0,-0.01891187538886152,-0.09291117646575142
ALK,2020-03-27,9973.9010675,1,0,-0.2003309820417981,0.0016546459961701565
ALK,2020-05-28,19904.4,1,0,0.015142658775050943,-0.09235840282767649
ALK,2020-11-30,40483.3095,1,0,-0.005166000655612235,0.22510823580511885
ALK,2021-06-09,79511.28,1,0,-0.14146082828041684,-0.19336278975142762
ALK,2023-12-11,2031.3720000000003,1,1,0.005105877477140863,-0.0841465190797428
AMAT,2023-01-24,43611.75,1,0,-0.01868595306736409,-0.016794930262985952
AMAT,2025-04-07,6865081.789999999,1,1,0.04400579862817988,0.1982688853024248
AMC,2023-03-02,45470000.0,1,0,-0.20005196483534227,-0.2951749352293974
AMC,2023-03-03,3060000.0,1,0,-0.2514670603543383,-0.3359131862734813
AMC,2023-03-06,28588232.0,1,0,-0.19842096570821066,-0.3130803273419538
AMC,2023-03-08,18144000.0,1,0,-0.3282655979363458,-0.29358669091478484
AMC,2023-03-16,5600.0,1,0,0.12501060282776222,-0.004034163906864396
AMC,2023-04-03,44329.22,1,0,0.07658861180087484,-0.2011201195073513
AMC,2023-04-06,40708.850000000006,1,0,0.19363396376415132,-0.21559741470331395
AMC,2023-05-10,5468183.71,1,0,-0.18697419179355024,-0.15909927283644942
AMC,2023-06-05,45753.6,1,0,-0.11960562799087515,-0.781036201252811
AMC,2023-06-07,11915.0,1,0,-0.1401834324908311,-0.7808101927976638
AMC,2023-06-09,6577.08,1,0,-0.10888066699729793,-0.8572495285579066
AMC,2023-06-13,21776.2,1,0,-0.1415424357623779,-0.8766903861127651
AMC,2023-06-15,15000.0,1,0,-0.1005500347450321,-0.8486256725916755
AMC,2023-06-20,37327.42,1,0,-0.08914900320244168,-0.8528057172922796
AMC,2023-06-26,22706.55,1,0,0.21484379852754643,-0.8142069100695276
AMC,2023-06-28,11164.8,1,0,-0.011950293687141178,-0.8135304608793265
AMC,2023-06-29,18034.02,1,0,0.006839332794269959,-0.8024158171809782
AMC,2026-05-19,344350.0,1,1,,
AMD,2025-02-12,499616.2,1,0,-0.03573782022962846,-0.01481325059437999
AMD,2025-05-22,999328.0,1,0,0.14118738854264556,0.407105951512555
AMZN,2020-07-02,105559.9001,1,0,0.04916377885080858,0.027840432502709733
AMZN,2020-10-05,134034.36070000002,1,0,-0.03272770747431397,-0.0677761821842322
AMZN,2023-05-26,114.77,1,0,0.03706356209013073,0.07351595362933572
APD,2019-07-26,4543200.0,1,1,0.013835142325641647,-0.06726506899544049
APD,2020-01-29,47519.0,1,0,0.03357644582836494,0.04728422617636263
APD,2021-11-05,500281.93299999996,1,0,-0.032297477509443784,-0.05683387630002257
APD,2021-11-09,25159.248,1,0,-0.062474458445971326,-0.12177098717691137
APD,2021-11-23,499939.04,1,0,-0.005085903651870338,-0.11820113121898823
APD,2023-11-08,2523400.0,1,1,-0.039979549404568715,-0.2908630117397354
APD,2023-11-13,2908620.0,1,1,-0.04560145941103033,-0.309108240217986
APD,2025-11-21,1474.8,1,0,-0.08806634574172456,0.04638432403928361
APLD,2022-05-19,1048070.52,2,1,-0.5898887132245345,-0.39782093104766925
APLD,2022-05-23,422061.19999999995,1,1,-0.6061592803915996,-0.5021831020203884
APLD,2022-05-25,324667.44999999995,1,1,-0.6713095499460678,-0.5388881497971177
APLD,2022-05-31,831034.07,3,1,-0.6933329402428806,-0.6184193762707438
APLD,2022-08-31,243103.5,3,1,-0.24293186483625584,-0.07294534157697297
APLD,2022-10-26,129600.0,1,1,-0.03521852734982933,0.09331995945000471
APLD,2022-10-27,44400.00000000001,1,1,-0.04063706702266612,0.07366464263669381
APLD,2022-10-31,89200.00000000001,1,1,-0.13002183613405516,0.37180923446944525
APLD,2022-11-07,75600.0,1,1,-0.32506867192323496,0.21512087870933705
APLD,2022-11-08,121000.0,1,1,-0.3512485579909487,0.28731608838406264
APLD,2022-11-09,64200.00000000001,1,1,-0.2266097956395895,0.5755312392432337
APLD,2022-11-10,105000.0,1,1,-0.23928471892950343,0.5833727253094352
APLD,2022-11-14,89200.0,1,1,-0.3364854415356714,0.3119819241555486
APLD,2022-11-25,111500.0,1,1,-0.094588308815436,0.27647225003639486
APLD,2022-11-28,171400.0,1,1,-0.04835025637139734,0.30881286150892895
APLD,2022-11-29,60600.0,1,1,-0.07241768537571724,0.28720690754662304
APLD,2022-11-30,146250.0,1,1,0.02356096284667719,0.3869865253793826
APLD,2023-01-13,108500.0,1,1,0.3775915524337763,0.4479977485664699
APLD,2023-01-17,162750.0,1,1,0.2737276985862851,0.5338632878296501
APLD,2023-01-18,112500.0,1,1,0.24763755681791122,0.44431676935272524
APLD,2023-01-19,117500.0,1,1,0.18913422181695716,0.47622350795654445
APLD,2023-01-20,60000.0,1,1,0.2754205819945439,0.4245314236637363
APLD,2023-01-23,48200.0,1,1,0.23033967228111463,0.44491059060612015
APLD,2023-01-24,58250.0,1,1,0.15952641209275842,0.2576671823450827
APLD,2023-01-25,61250.00000000001,1,1,0.14841922591925605,0.25669122179383375
APLD,2023-01-26,62000.0,1,1,0.01687715037917137,0.11741332137145166
APLD,2023-01-30,74000.0,1,1,-0.1610659433585463,-0.03441111860006496
APLD,2023-02-08,82750.0,1,1,-0.35967108150193206,-0.010686726893527343
APLD,2023-02-09,84750.0,1,1,-0.35052810342431207,0.06918809783488622
APLD,2023-02-10,80500.0,1,1,-0.34315139121381744,0.07203128509366796
APLD,2023-02-13,79250.0,1,1,-0.3042612741762514,0.20986890928028923
APLD,2023-02-14,76500.0,1,1,-0.2789821307693824,0.18428679162203188
APLD,2023-02-16,76500.0,1,1,-0.2885356454720618,0.12674814669671153
APLD,2023-02-28,25900.0,1,0,-0.228523106136718,2.3927637562149493
APLD,2023-04-13,79500.0,1,1,-0.010883429877409201,1.3140668770126445
APLD,2023-04-14,90000.0,1,1,-0.1831806621203541,1.168988141047118
APLD,2023-04-17,87500.0,1,1,-0.08220369972413133,1.0828496857699519
APLD,2023-05-17,61700.0,1,1,0.27309181632737767,-0.033794959061396845
ASAN,2021-03-16,199143.99999999997,1,0,-0.03685182490667116,0.3079590189410779
ASAN,2021-12-08,248281.83000000002,1,0,-0.22623116159721823,-0.3643826953689062
ASTS,2021-04-08,27000000.0,2,0,-0.30411806444803613,0.15631020306433996
ASTS,2021-08-20,28985.0,1,0,0.39275525869820704,0.43264589946262233
ASTS,2022-12-05,200002.0,1,0,-0.13601163414722328,0.10676777029788864
ASTS,2024-01-18,625000000000000.0,1,0,-0.23384677336032567,-0.5586790908518542
ASTS,2024-09-10,104766.18000000001,1,0,-0.11757705676767294,-0.2401716351440597
ASTS,2025-11-24,19046.25,1,0,0.528880363456919,0.5050277663359177
ASTS,2025-12-10,49079.24999999999,1,0,0.22609353916671426,0.12238506597182375
ASTS,2025-12-17,50064.299999999996,1,0,0.8413082439606052,0.5479502563804747
ASTS,2025-12-29,50000.0,1,0,0.6852308766243778,0.2914917064901079
AVGO,2020-09-11,60209.82,1,0,0.00897507154170385,0.06525258173212434
AVGO,2020-09-21,36773923.0,1,0,0.022167563215682584,0.058031080908957255
AVGO,2020-12-17,50016.0,1,0,0.060625503084695165,0.06770667976433287
AVGO,2021-03-12,39752.804,1,0,0.027422435841528925,-0.04421802135270836
AVGO,2021-09-23,74516.99,1,0,-0.003957302547162422,0.22143216874971827
AVGO,2021-10-01,74409.32,1,0,0.03334592388988966,0.2745585527364809
AVGO,2021-12-16,99436.41,1,0,-0.03545785554110614,0.04137145686217347
AVGO,2021-12-17,99691.0,1,0,-0.08268726446208041,0.008887012316607046
AVGO,2022-03-10,58564.296,1,0,-0.028671787027828355,-0.012913305818219145
AVGO,2022-03-14,19720.0,1,0,-0.03240326794569981,0.00956362349359674
AVGO,2023-09-08,9592281.600000001,1,0,0.021536673099969872,0.05238138354473776
AVGO,2023-09-19,858958.2000000001,1,0,0.0565622497235877,0.22042347956612396
AVGO,2025-09-10,1227870.27,1,0,-0.0971746388956578,-0.018330926051883134
AVGO,2025-12-22,325129.0,1,0,-0.05280173436332036,-0.037666113006804
AXP,2020-02-13,132870.0,1,0,-0.05828613874659094,-0.23318549398624755
AXP,2022-11-10,149270.0,1,0,-0.0019203062823767159,0.11626756337390165
AXP,2023-10-25,143930.0,1,0,0.051496915168605106,0.13109150574027217
AXP,2025-03-11,998593.0,1,0,0.012947937023745859,0.09206489874252965
AXP,2026-03-13,4054.07,1,0,0.043592920755859854,-0.05147287642801568
AZN,2019-10-09,8075000.0,1,0,0.03643521087296242,0.038174756378352104
AZN,2020-02-07,0.0,1,0,0.09009035579269098,0.22088956703805074
BA,2020-08-07,199710.72000000003,1,0,-0.0178531783068816,-0.11292363653396198
BA,2022-02-03,100027.2,1,0,-0.09148396484232046,-0.2080342419308988
BA,2022-02-16,1044550.0,1,0,-0.11889239156473053,-0.3184997611536089
BA,2022-11-08,4173889.1100000003,2,1,0.011346594883172578,0.14640140171655647
BA,2023-08-02,201450.0,1,0,-0.012889384418612204,-0.14250488219136015
BA,2025-08-21,497420.0,1,0,-0.0835421001802854,-0.19062855408089163
BA,2025-11-25,99102.29,1,0,0.17303551550594842,0.26100377150428766
BA,2026-03-05,499966.0,1,0,-0.02492695656733157,-0.1032677902659227
BA,2026-05-22,299345.0,1,0,,
BETR,2021-04-19,25695.0,1,1,-0.5271813927577769,-0.6762142865370379
BETR,2023-08-24,0.0,2,0,-0.5116255628966401,-0.657381006262645
BETR,2024-10-02,0.0,1,0,-0.05193593405952557,-0.44656793364015557
BETR,2025-05-20,597163.2,1,0,0.007183111179364987,0.1545918148986869
BETR,2026-01-02,50910.0,1,0,-0.2444564891111889,0.07338641936141932
BETR,2026-03-11,1212688.54,1,0,-0.19788030129123557,-0.4488951024546085
BETR,2026-03-13,1006335.2799999999,1,0,-0.017663645431678532,-0.3860305562038002
BETR,2026-03-16,738750.0,1,0,0.17279114007741492,-0.25747188412200694
BETR,2026-03-19,1509440.0,1,0,0.34591870951727244,
BETR,2026-03-23,1184000.0,1,0,0.5314180774194592,
BETR,2026-03-24,618931.895,1,1,0.516264401347122,
BETR,2026-03-25,66298.27649999999,1,1,0.22979628075484593,
BETR,2026-04-06,176218.0,1,0,-0.0596803318266661,
BETR,2026-04-08,440442.81000000006,5,1,0.13400878658180915,
BETR,2026-04-09,164431.5,1,0,-0.12934522825656447,
BETR,2026-04-10,1792496.6400000001,1,0,-0.16742944722829967,
BETR,2026-05-07,197485.0,1,1,-0.16871087862866097,
BETR,2026-05-11,91290.0,1,0,-0.19051535671664,
BETR,2026-05-13,15345.0,1,1,,
BETR,2026-05-18,387988.86,1,1,,
BETR,2026-05-20,389994.0,1,1,,
BETR,2026-05-21,388327.68,1,1,,
BETR,2026-05-26,126696.00000000001,1,0,,
BRKR,2020-05-13,97775.0,1,1,-0.026830926889737317,-0.02249355055107305
BRKR,2022-05-16,98559.27,1,1,0.07561082131835206,-0.008596911202955804
