CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
04/20/2015,F (Jan 16),0.00,18.95,0.00,0.00,18.9750,18.98,0,0,0
04/21/2015,F (Jan 16),0.00,19.05,19.65,0.00,19.3500,0.38,0,0,0
04/22/2015,F (Jan 16),0.00,19.20,19.25,0.00,19.1500,-0.20,0,0,0
04/23/2015,F (Jan 16),0.00,19.10,19.25,0.00,19.1750,0.02,0,0,0
04/24/2015,F (Jan 16),19.15,19.15,19.15,19.15,19.1750,0.00,2,0,2
04/27/2015,F (Jan 16),19.25,19.30,19.15,19.25,19.3500,0.18,1,0,3
04/28/2015,F (Jan 16),19.45,19.45,19.10,19.10,19.1250,-0.22,3,0,4
04/29/2015,F (Jan 16),19.05,19.25,19.05,19.25,19.1750,0.05,3,0,6
04/30/2015,F (Jan 16),19.27,19.45,19.23,19.30,19.3750,0.20,9,0,10
05/01/2015,F (Jan 16),19.20,19.25,19.05,19.05,19.1000,-0.28,4,0,10
05/04/2015,F (Jan 16),19.15,19.20,19.07,19.20,19.1750,0.08,6,0,14
05/05/2015,F (Jan 16),19.30,19.31,19.25,19.25,19.2750,0.10,9,0,22
05/06/2015,F (Jan 16),19.30,19.52,19.25,19.35,19.3250,0.05,126,0,253
05/07/2015,F (Jan 16),19.55,19.56,19.25,19.30,19.3000,-0.02,81,0,250
05/08/2015,F (Jan 16),19.20,19.25,18.95,19.10,19.1250,-0.18,41,0,218
05/11/2015,F (Jan 16),19.09,19.35,19.08,19.33,19.3750,0.25,543,0,736
05/12/2015,F (Jan 16),19.45,19.55,19.28,19.30,19.2500,-0.12,133,0,809
05/13/2015,F (Jan 16),19.20,19.25,19.10,19.15,19.1250,-0.12,436,0,1132
05/14/2015,F (Jan 16),19.10,19.10,19.03,19.04,19.1000,-0.02,152,0,1058
05/15/2015,F (Jan 16),19.05,19.05,18.98,19.00,19.0000,-0.10,446,0,1692
05/18/2015,F (Jan 16),18.95,19.00,18.65,18.71,18.6500,-0.35,88,0,1371
05/19/2015,F (Jan 16),18.64,18.66,18.50,18.59,18.6000,-0.05,73,0,1434
05/20/2015,F (Jan 16),18.60,18.70,18.50,18.63,18.6500,0.05,93,0,1445
05/21/2015,F (Jan 16),18.67,18.70,18.45,18.50,18.4750,-0.18,606,0,1857
05/22/2015,F (Jan 16),18.45,18.63,18.45,18.60,18.6250,0.15,315,0,2066
05/26/2015,F (Jan 16),18.60,18.85,18.55,18.63,18.6500,0.02,624,0,2346
05/27/2015,F (Jan 16),18.60,18.70,18.41,18.55,18.5750,-0.08,61,0,2100
05/28/2015,F (Jan 16),18.57,18.67,18.55,18.60,18.6000,0.02,302,0,2256
05/29/2015,F (Jan 16),18.57,18.80,18.57,18.71,18.6750,0.08,375,0,2301
06/01/2015,F (Jan 16),18.65,18.70,18.54,18.56,18.5500,-0.12,33,0,2252
06/02/2015,F (Jan 16),18.75,18.79,18.60,18.79,18.7750,0.22,159,0,2346
06/03/2015,F (Jan 16),18.70,18.70,18.60,18.63,18.6500,-0.12,300,0,2520
06/04/2015,F (Jan 16),18.67,18.95,18.66,18.84,18.8750,0.22,481,0,2685
06/05/2015,F (Jan 16),18.85,18.91,18.68,18.85,18.8750,0.00,1440,0,3289
06/08/2015,F (Jan 16),18.85,19.04,18.83,19.04,19.0000,0.12,351,0,3367
06/09/2015,F (Jan 16),18.98,19.04,18.87,18.90,18.9250,-0.08,436,0,3532
06/10/2015,F (Jan 16),18.92,18.92,18.55,18.55,18.5750,-0.35,1030,0,4281
06/11/2015,F (Jan 16),18.55,18.59,18.40,18.45,18.4250,-0.15,524,0,4631
06/12/2015,F (Jan 16),18.47,18.67,18.47,18.55,18.5750,0.15,397,0,4676
06/15/2015,F (Jan 16),18.65,18.88,18.55,18.85,18.8750,0.30,916,0,5049
06/16/2015,F (Jan 16),18.81,18.93,18.65,18.75,18.7250,-0.15,2016,0,6017
06/17/2015,F (Jan 16),18.70,18.90,18.62,18.75,18.7250,0.00,2481,0,6947
06/18/2015,F (Jan 16),18.73,18.82,18.42,18.46,18.4750,-0.25,3729,0,8394
06/19/2015,F (Jan 16),18.46,18.61,18.43,18.61,18.6250,0.15,1960,0,8648
06/22/2015,F (Jan 16),18.50,18.50,18.12,18.18,18.1750,-0.45,1445,0,8557
06/23/2015,F (Jan 16),18.21,18.21,18.00,18.05,18.0750,-0.10,921,0,8564
06/24/2015,F (Jan 16),18.05,18.20,17.95,18.15,18.1500,0.08,1742,0,8657
06/25/2015,F (Jan 16),18.15,18.18,17.92,18.18,18.1750,0.02,1297,0,8614
06/26/2015,F (Jan 16),18.05,18.17,17.93,18.05,18.0250,-0.15,1677,0,8681
06/29/2015,F (Jan 16),18.25,19.00,18.18,18.82,18.8250,0.80,3327,0,9146
06/30/2015,F (Jan 16),18.79,18.98,18.30,18.70,18.6750,-0.15,3863,0,9851
07/01/2015,F (Jan 16),18.59,18.60,17.95,17.97,17.9750,-0.70,2081,0,10386
07/02/2015,F (Jan 16),18.02,18.50,17.93,18.35,18.3750,0.40,4258,0,11198
07/06/2015,F (Jan 16),18.55,18.95,18.40,18.65,18.6750,0.30,3200,0,11262
07/07/2015,F (Jan 16),18.60,19.05,18.27,18.30,18.3250,-0.35,6261,0,11908
07/08/2015,F (Jan 16),18.23,19.00,18.23,18.90,18.8750,0.55,4030,0,12390
07/09/2015,F (Jan 16),18.89,19.22,18.37,19.22,19.2250,0.35,3180,0,12943
07/10/2015,F (Jan 16),19.15,19.18,18.37,18.65,18.6750,-0.55,5183,0,12693
07/13/2015,F (Jan 16),18.85,18.86,17.80,17.85,17.8250,-0.85,2639,0,12457
07/14/2015,F (Jan 16),17.85,18.02,17.72,17.90,17.9250,0.10,2512,0,12709
07/15/2015,F (Jan 16),17.92,18.10,17.73,17.75,17.7750,-0.15,1863,0,13269
07/16/2015,F (Jan 16),17.75,17.83,17.45,17.45,17.4750,-0.30,2141,0,13530
07/17/2015,F (Jan 16),17.50,17.55,17.35,17.50,17.4750,0.00,1718,0,14037
07/20/2015,F (Jan 16),17.50,17.50,17.25,17.40,17.3750,-0.10,1826,0,14258
07/21/2015,F (Jan 16),17.40,17.56,17.35,17.45,17.4250,0.05,2329,0,14886
07/22/2015,F (Jan 16),17.50,17.70,17.45,17.50,17.5250,0.10,2687,0,15263
07/23/2015,F (Jan 16),17.50,17.78,17.45,17.50,17.5250,0.00,3784,0,15553
07/24/2015,F (Jan 16),17.60,17.83,17.46,17.65,17.6750,0.15,4285,0,15168
07/27/2015,F (Jan 16),17.70,18.11,17.65,17.85,17.8750,0.20,3318,0,15099
07/28/2015,F (Jan 16),17.89,17.93,17.45,17.55,17.5250,-0.35,3404,0,15285
07/29/2015,F (Jan 16),17.50,17.55,17.35,17.50,17.5250,0.00,3566,0,15169
07/30/2015,F (Jan 16),17.55,17.65,17.45,17.49,17.5250,0.00,3056,0,15153
07/31/2015,F (Jan 16),17.50,17.63,17.35,17.45,17.4750,-0.05,2253,0,15288
08/03/2015,F (Jan 16),17.50,17.70,17.25,17.25,17.2750,-0.20,3559,0,15397
08/04/2015,F (Jan 16),17.25,17.40,17.18,17.35,17.3750,0.10,3187,0,15754
08/05/2015,F (Jan 16),17.39,17.39,17.07,17.30,17.3250,-0.05,2618,0,16152
08/06/2015,F (Jan 16),17.33,17.76,17.20,17.40,17.4250,0.10,5552,0,16828
08/07/2015,F (Jan 16),17.44,17.60,17.25,17.25,17.2750,-0.15,3395,0,16988
08/10/2015,F (Jan 16),17.27,17.27,16.95,17.18,17.1750,-0.10,2741,0,17384
08/11/2015,F (Jan 16),17.20,17.64,17.15,17.45,17.4750,0.30,3867,0,18027
08/12/2015,F (Jan 16),17.45,18.11,17.35,17.35,17.3750,-0.10,7985,0,18488
08/13/2015,F (Jan 16),17.38,17.54,17.20,17.35,17.3250,-0.05,3979,0,18174
08/14/2015,F (Jan 16),17.33,17.42,17.10,17.25,17.2000,-0.12,4131,0,18916
08/17/2015,F (Jan 16),17.15,17.33,17.09,17.20,17.2250,0.02,3869,0,18429
08/18/2015,F (Jan 16),17.20,17.45,17.16,17.35,17.3750,0.15,3123,0,18772
08/19/2015,F (Jan 16),17.40,17.62,17.22,17.55,17.5750,0.20,5766,0,19293
08/20/2015,F (Jan 16),17.57,18.15,17.45,18.15,18.1250,0.55,11028,0,19043
08/21/2015,F (Jan 16),18.15,18.70,17.92,18.70,18.6750,0.55,25748,0,21776
08/24/2015,F (Jan 16),18.73,21.40,18.63,20.63,20.6500,1.98,26437,0,20810
08/25/2015,F (Jan 16),20.70,21.32,19.31,20.75,20.8000,0.15,14886,0,21027
08/26/2015,F (Jan 16),20.70,21.35,20.03,20.15,20.1250,-0.68,10085,0,21104
08/27/2015,F (Jan 16),19.95,20.86,19.45,20.34,20.3750,0.25,9868,0,20199
08/28/2015,F (Jan 16),20.25,21.85,20.05,21.15,21.2000,0.82,8749,0,21451
08/31/2015,F (Jan 16),21.10,22.25,21.10,22.25,22.2250,1.02,6792,0,21241
09/01/2015,F (Jan 16),22.21,24.50,22.20,23.98,23.9500,1.72,11856,0,22788
09/02/2015,F (Jan 16),23.97,24.14,22.90,22.90,22.9250,-1.02,9219,0,24106
09/03/2015,F (Jan 16),22.86,23.60,22.30,23.10,23.1000,0.18,8320,0,23817
09/04/2015,F (Jan 16),23.14,24.30,23.05,23.90,23.9500,0.85,6324,0,24002
09/08/2015,F (Jan 16),23.75,23.90,22.75,22.85,22.8000,-1.15,6129,0,24055
09/09/2015,F (Jan 16),22.90,23.20,22.15,23.15,23.1000,0.30,8281,0,24413
09/10/2015,F (Jan 16),23.30,23.70,22.60,22.65,22.6750,-0.42,6560,0,24737
09/11/2015,F (Jan 16),22.80,23.10,22.45,22.60,22.5250,-0.15,4961,0,24989
09/14/2015,F (Jan 16),22.49,23.08,22.30,22.50,22.4750,-0.05,6203,0,25613
09/15/2015,F (Jan 16),22.47,22.65,20.85,20.95,20.9250,-1.55,12673,0,27305
09/16/2015,F (Jan 16),20.91,21.00,19.60,19.60,19.6250,-1.30,14243,0,26880
09/17/2015,F (Jan 16),19.60,20.30,18.88,20.20,20.2250,0.60,14545,0,25440
09/18/2015,F (Jan 16),20.00,21.25,19.97,21.00,21.0250,0.80,12462,0,23948
09/21/2015,F (Jan 16),20.95,21.38,20.15,20.20,20.1750,-0.85,8037,0,22714
09/22/2015,F (Jan 16),20.15,21.68,20.09,21.05,21.0750,0.90,11017,0,21981
09/23/2015,F (Jan 16),21.20,21.69,20.58,20.75,20.7250,-0.35,7879,0,21358
09/24/2015,F (Jan 16),20.76,21.90,20.60,21.20,21.2250,0.50,7400,0,21254
09/25/2015,F (Jan 16),21.20,21.70,20.38,21.55,21.5750,0.35,5928,0,21574
09/28/2015,F (Jan 16),21.50,22.65,21.25,22.25,22.2250,0.65,9713,0,21792
09/29/2015,F (Jan 16),22.29,22.62,21.78,22.35,22.3250,0.10,8793,0,21138
09/30/2015,F (Jan 16),22.37,22.37,21.67,22.00,21.9750,-0.35,8594,0,21673
10/01/2015,F (Jan 16),21.95,22.28,21.39,21.55,21.5250,-0.45,6552,0,21325
10/02/2015,F (Jan 16),21.55,22.22,20.75,20.75,20.7750,-0.75,6704,0,20977
10/05/2015,F (Jan 16),20.90,21.00,19.90,19.90,19.9250,-0.85,8302,0,21051
10/06/2015,F (Jan 16),19.95,20.41,19.75,20.35,20.3250,0.40,4992,0,21452
10/07/2015,F (Jan 16),20.35,20.45,19.65,19.65,19.6750,-0.65,4579,0,21252
10/08/2015,F (Jan 16),19.74,20.05,19.05,19.25,19.2750,-0.40,7462,0,21828
10/09/2015,F (Jan 16),19.25,19.74,19.15,19.30,19.3250,0.05,6885,0,21024
10/12/2015,F (Jan 16),19.40,19.47,18.35,18.35,18.3250,-1.00,10021,0,22099
10/13/2015,F (Jan 16),18.40,19.53,18.30,19.50,19.4750,1.15,9133,0,22131
10/14/2015,F (Jan 16),19.40,20.05,19.25,19.74,19.7250,0.25,7906,4,22407
10/15/2015,F (Jan 16),19.70,19.74,18.43,18.45,18.4750,-1.25,8779,0,22823
10/16/2015,F (Jan 16),18.45,19.07,18.40,18.55,18.5250,0.05,7328,0,22334
10/19/2015,F (Jan 16),18.50,18.75,17.65,17.70,17.6750,-0.85,11234,0,24143
10/20/2015,F (Jan 16),17.70,18.45,17.55,18.45,18.4250,0.75,10788,0,23664
10/21/2015,F (Jan 16),18.45,19.25,17.95,19.25,19.2250,0.80,11883,0,23533
10/22/2015,F (Jan 16),19.20,19.20,17.65,17.69,17.7000,-1.52,12409,0,23940
10/23/2015,F (Jan 16),17.70,18.10,17.30,18.05,18.0250,0.32,12299,0,23520
10/26/2015,F (Jan 16),18.02,18.48,17.95,18.33,18.3250,0.30,9057,0,23820
10/27/2015,F (Jan 16),18.30,18.60,17.95,18.03,18.0000,-0.32,12167,400,24460
10/28/2015,F (Jan 16),18.10,18.50,17.63,17.70,17.7250,-0.28,13202,0,25135
10/29/2015,F (Jan 16),17.75,18.15,17.68,17.84,17.8250,0.10,8429,0,24998
10/30/2015,F (Jan 16),17.95,18.30,17.67,18.18,18.1750,0.35,10492,0,24943
11/02/2015,F (Jan 16),18.15,18.40,17.27,17.51,17.5250,-0.65,9976,0,25231
11/03/2015,F (Jan 16),17.55,17.80,17.31,17.80,17.7750,0.25,9394,0,26054
11/04/2015,F (Jan 16),17.75,18.20,17.48,18.16,18.1750,0.40,11489,0,27535
11/05/2015,F (Jan 16),18.15,18.27,17.68,17.70,17.6750,-0.50,12222,0,28377
11/06/2015,F (Jan 16),17.70,18.06,17.37,17.37,17.4000,-0.28,21025,0,29118
11/09/2015,F (Jan 16),17.45,18.25,17.33,18.09,18.0750,0.68,21526,0,29462
11/10/2015,F (Jan 16),18.05,18.30,17.55,17.70,17.6750,-0.40,15164,0,29681
11/11/2015,F (Jan 16),17.70,18.00,17.48,18.00,17.9750,0.30,13126,0,31775
11/12/2015,F (Jan 16),18.00,19.25,17.73,19.12,19.1250,1.15,20309,0,30555
11/13/2015,F (Jan 16),19.10,20.23,19.00,20.15,20.1250,1.00,26171,0,27951
11/16/2015,F (Jan 16),20.25,20.65,18.45,18.45,18.4750,-1.65,25588,0,29562
11/17/2015,F (Jan 16),18.50,19.35,18.10,18.77,18.7750,0.30,33777,0,34076
11/18/2015,F (Jan 16),18.75,18.99,18.10,18.35,18.3250,-0.45,38749,0,35544
11/19/2015,F (Jan 16),18.30,19.00,18.00,18.85,18.8250,0.50,31884,0,39209
11/20/2015,F (Jan 16),18.85,18.88,18.25,18.30,18.2750,-0.55,33678,0,46437
11/23/2015,F (Jan 16),18.30,18.60,17.80,17.80,17.8250,-0.45,34629,0,53474
