CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
04/24/2017,F (Jan 18),0.00,16.65,17.40,0.00,17.0000,17.00,0,0,0
04/25/2017,F (Jan 18),16.40,16.77,16.40,16.76,16.7500,-0.25,90,0,73
04/26/2017,F (Jan 18),16.70,16.91,16.65,16.91,16.8750,0.12,69,0,137
04/27/2017,F (Jan 18),16.90,16.97,16.40,16.97,16.9250,0.05,34,0,164
04/28/2017,F (Jan 18),16.95,17.05,16.90,16.95,16.9250,0.00,36,0,189
05/01/2017,F (Jan 18),16.80,16.85,16.65,16.70,16.7000,-0.22,15,0,191
05/02/2017,F (Jan 18),16.66,16.70,16.60,16.65,16.6500,-0.05,14,0,194
05/03/2017,F (Jan 18),16.70,16.80,16.68,16.75,16.7500,0.10,74,0,252
05/04/2017,F (Jan 18),16.80,16.80,16.65,16.65,16.7000,-0.05,10,0,253
05/05/2017,F (Jan 18),16.70,16.85,16.68,16.85,16.9000,0.20,265,0,496
05/08/2017,F (Jan 18),16.75,16.95,16.75,16.95,16.9500,0.05,444,0,924
05/09/2017,F (Jan 18),16.95,17.00,16.85,16.95,16.9750,0.02,22,0,943
05/10/2017,F (Jan 18),16.95,17.05,16.95,17.05,17.0750,0.10,28,0,962
05/11/2017,F (Jan 18),17.05,17.25,17.05,17.05,17.0500,-0.02,142,0,1056
05/12/2017,F (Jan 18),17.10,17.15,17.05,17.15,17.1750,0.12,233,0,1247
05/15/2017,F (Jan 18),17.12,17.20,17.05,17.17,17.1500,-0.02,125,0,1281
05/16/2017,F (Jan 18),17.15,17.35,17.15,17.23,17.2250,0.08,585,0,1614
05/17/2017,F (Jan 18),17.30,17.92,17.25,17.70,17.7000,0.48,1014,0,2054
