CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/23/2016,G (Feb 17),0.00,18.00,24.00,0.00,21.0000,21.00,0,0,0
05/24/2016,G (Feb 17),21.30,21.30,21.30,21.30,24.0000,3.00,3,0,3
05/25/2016,G (Feb 17),21.50,21.50,21.08,21.08,20.9750,-3.02,7,0,5
05/26/2016,G (Feb 17),0.00,19.90,21.45,0.00,20.7250,-0.25,0,0,5
05/27/2016,G (Feb 17),0.00,20.15,21.15,0.00,20.6500,-0.08,0,0,5
05/31/2016,G (Feb 17),20.90,21.05,20.75,20.75,20.9250,0.28,4,0,9
06/01/2016,G (Feb 17),20.30,21.40,20.30,20.80,20.8750,-0.05,6,0,10
06/02/2016,G (Feb 17),20.95,20.95,20.72,20.75,20.6500,-0.22,24,0,32
06/03/2016,G (Feb 17),0.00,20.80,20.90,0.00,20.7000,0.05,0,0,32
06/06/2016,G (Feb 17),20.59,20.65,20.55,20.55,20.7000,0.00,4,0,34
06/07/2016,G (Feb 17),0.00,20.65,20.75,0.00,20.7250,0.02,0,0,34
06/08/2016,G (Feb 17),20.85,20.88,20.82,20.88,20.7750,0.05,33,0,53
06/09/2016,G (Feb 17),20.90,21.10,20.90,21.05,21.0000,0.22,49,0,93
06/10/2016,G (Feb 17),21.10,21.73,21.10,21.69,21.7250,0.72,24,0,103
06/13/2016,G (Feb 17),21.95,22.59,21.90,22.59,22.3250,0.60,14,0,113
06/14/2016,G (Feb 17),22.70,22.96,22.30,22.33,22.2250,-0.10,25,0,131
06/15/2016,G (Feb 17),22.53,22.55,21.85,22.01,22.1500,-0.08,49,0,155
06/16/2016,G (Feb 17),22.83,22.85,21.75,21.86,21.8500,-0.30,49,0,155
06/17/2016,G (Feb 17),21.90,22.00,21.70,21.89,21.8750,0.02,71,0,178
06/20/2016,G (Feb 17),21.50,21.55,21.08,21.30,21.2250,-0.65,184,0,276
06/21/2016,G (Feb 17),21.10,21.35,20.95,21.20,21.2000,-0.02,345,0,472
06/22/2016,G (Feb 17),21.10,21.31,20.93,20.98,21.0250,-0.18,367,0,617
06/23/2016,G (Feb 17),21.08,21.10,20.40,20.43,20.3250,-0.70,65,0,637
06/24/2016,G (Feb 17),20.30,23.80,20.25,22.40,22.3250,2.00,763,0,808
06/27/2016,G (Feb 17),22.67,23.00,21.90,22.95,22.9250,0.60,988,0,1286
06/28/2016,G (Feb 17),22.67,23.00,21.65,21.65,21.6750,-1.25,584,0,1392
06/29/2016,G (Feb 17),21.65,21.65,21.20,21.31,21.2000,-0.48,757,0,1449
06/30/2016,G (Feb 17),21.20,21.31,21.00,21.12,21.0750,-0.12,210,0,1502
07/01/2016,G (Feb 17),21.05,21.37,21.00,21.15,21.1750,0.10,57,0,1538
07/05/2016,G (Feb 17),21.15,21.60,20.95,21.12,21.1750,0.00,582,0,1845
07/06/2016,G (Feb 17),21.20,21.45,21.05,21.14,21.1000,-0.08,263,0,1921
07/07/2016,G (Feb 17),21.05,21.45,20.95,21.10,21.1000,0.00,281,0,2068
07/08/2016,G (Feb 17),21.10,21.20,20.55,20.65,20.6750,-0.42,247,0,2031
07/11/2016,G (Feb 17),20.50,20.65,20.40,20.65,20.6000,-0.08,322,0,2145
07/12/2016,G (Feb 17),20.50,20.60,20.38,20.40,20.3750,-0.22,298,0,2177
07/13/2016,G (Feb 17),20.35,20.45,20.24,20.30,20.2500,-0.12,193,0,2288
07/14/2016,G (Feb 17),20.20,20.25,19.95,20.20,20.1750,-0.08,317,0,2508
07/15/2016,G (Feb 17),20.25,20.40,20.15,20.35,20.3250,0.15,183,0,2583
07/18/2016,G (Feb 17),20.30,20.36,20.08,20.09,20.1250,-0.20,321,0,2683
07/19/2016,G (Feb 17),20.20,20.36,20.10,20.22,20.2250,0.10,1191,0,3146
07/20/2016,G (Feb 17),20.25,20.25,20.05,20.10,20.1250,-0.10,824,0,3343
07/21/2016,G (Feb 17),20.10,20.50,20.07,20.50,20.4500,0.32,1473,0,4247
07/22/2016,G (Feb 17),20.45,20.45,20.06,20.20,20.1750,-0.28,1090,0,4203
07/25/2016,G (Feb 17),20.25,20.45,20.05,20.35,20.3250,0.15,1155,0,4511
07/26/2016,G (Feb 17),20.25,20.48,20.18,20.25,20.2750,-0.05,552,0,4577
07/27/2016,G (Feb 17),20.30,20.43,20.09,20.20,20.1750,-0.10,1202,0,4724
07/28/2016,G (Feb 17),20.10,20.30,19.90,19.95,19.9250,-0.25,1315,0,4833
07/29/2016,G (Feb 17),19.85,20.01,19.55,19.60,19.5750,-0.35,1335,0,5073
08/01/2016,G (Feb 17),19.60,19.75,19.37,19.55,19.5250,-0.05,1411,0,5625
08/02/2016,G (Feb 17),19.53,20.11,19.45,19.90,19.8750,0.35,2119,0,6262
08/03/2016,G (Feb 17),19.85,20.05,19.74,19.80,19.7750,-0.10,943,0,6375
08/04/2016,G (Feb 17),19.83,19.85,19.60,19.75,19.7250,-0.05,1662,0,7075
08/05/2016,G (Feb 17),19.70,19.71,19.35,19.50,19.4750,-0.25,963,0,6914
08/08/2016,G (Feb 17),19.45,19.45,19.25,19.35,19.3250,-0.15,1115,0,7133
08/09/2016,G (Feb 17),19.25,19.30,18.93,19.10,19.1000,-0.22,906,0,7292
08/10/2016,G (Feb 17),19.05,19.40,18.99,19.24,19.2250,0.12,1568,0,7357
08/11/2016,G (Feb 17),19.30,19.35,19.02,19.30,19.3250,0.10,1240,0,7644
08/12/2016,G (Feb 17),19.29,19.45,19.25,19.36,19.3750,0.05,1485,0,8078
08/15/2016,G (Feb 17),19.30,19.40,19.15,19.36,19.3750,0.00,1551,0,8510
08/16/2016,G (Feb 17),19.30,19.65,19.30,19.65,19.6250,0.25,1272,0,8819
08/17/2016,G (Feb 17),19.63,19.88,19.43,19.50,19.4750,-0.15,3172,0,9070
08/18/2016,G (Feb 17),19.45,19.65,19.40,19.50,19.5250,0.05,1579,0,9229
08/19/2016,G (Feb 17),19.45,19.75,19.45,19.61,19.6250,0.10,1418,0,9524
08/22/2016,G (Feb 17),19.68,19.75,19.56,19.67,19.6750,0.05,2634,0,10142
08/23/2016,G (Feb 17),19.65,19.75,19.54,19.75,19.7250,0.05,1190,0,10176
08/24/2016,G (Feb 17),19.75,19.87,19.70,19.85,19.8250,0.10,3007,0,11294
08/25/2016,G (Feb 17),19.85,19.90,19.60,19.70,19.6750,-0.15,1641,0,11497
08/26/2016,G (Feb 17),19.65,19.98,19.40,19.75,19.7750,0.10,2604,0,11571
08/29/2016,G (Feb 17),19.82,19.85,19.60,19.70,19.6750,-0.10,2079,0,12014
08/30/2016,G (Feb 17),19.73,19.78,19.59,19.70,19.6750,0.00,2088,0,12751
08/31/2016,G (Feb 17),19.65,19.86,19.63,19.64,19.6250,-0.05,2088,0,13156
09/01/2016,G (Feb 17),19.65,19.88,19.55,19.68,19.6750,0.05,3864,0,13635
09/02/2016,G (Feb 17),19.65,19.80,19.50,19.55,19.5750,-0.10,4002,0,13594
09/06/2016,G (Feb 17),19.50,19.60,19.30,19.30,19.2750,-0.30,1969,0,13881
09/07/2016,G (Feb 17),19.30,19.41,19.25,19.25,19.2750,0.00,2379,0,14574
09/08/2016,G (Feb 17),19.35,19.47,19.22,19.42,19.4250,0.15,1887,0,15141
09/09/2016,G (Feb 17),19.45,20.50,19.45,20.43,20.4250,1.00,6527,0,15789
09/12/2016,G (Feb 17),20.40,20.69,19.82,19.97,19.9750,-0.45,6995,0,16023
