CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/22/2017,G (Feb 18),0.00,17.10,18.00,0.00,17.5500,17.55,0,0,0
05/23/2017,G (Feb 18),17.10,17.43,17.10,17.43,17.4250,-0.12,83,0,70
05/24/2017,G (Feb 18),17.45,17.60,17.41,17.45,17.4000,-0.02,90,0,148
05/25/2017,G (Feb 18),17.45,17.55,17.45,17.54,17.5000,0.10,88,0,202
05/26/2017,G (Feb 18),17.63,17.63,17.50,17.54,17.4750,-0.02,98,0,260
05/30/2017,G (Feb 18),17.49,17.60,17.40,17.40,17.3750,-0.10,29,0,271
05/31/2017,G (Feb 18),17.30,17.40,17.30,17.30,17.3750,0.00,30,0,297
06/01/2017,G (Feb 18),17.30,17.38,17.30,17.35,17.3250,-0.05,36,0,319
06/02/2017,G (Feb 18),17.35,17.40,17.34,17.35,17.3250,0.00,59,0,372
06/05/2017,G (Feb 18),17.30,17.30,17.23,17.28,17.2500,-0.08,47,0,395
06/06/2017,G (Feb 18),17.30,17.41,17.30,17.40,17.3750,0.12,158,0,496
06/07/2017,G (Feb 18),17.45,17.55,17.38,17.45,17.4250,0.05,104,0,546
06/08/2017,G (Feb 18),17.45,17.45,17.30,17.33,17.3250,-0.10,63,0,568
06/09/2017,G (Feb 18),17.30,17.56,17.25,17.35,17.3750,0.05,48,0,565
06/12/2017,G (Feb 18),17.35,17.50,17.30,17.44,17.3750,0.00,28,0,576
06/13/2017,G (Feb 18),17.35,17.37,17.23,17.23,17.2250,-0.15,174,0,559
06/14/2017,G (Feb 18),17.20,17.25,17.20,17.25,17.2000,-0.02,10,0,556
06/15/2017,G (Feb 18),17.25,17.30,17.20,17.25,17.2750,0.08,17,0,563
06/16/2017,G (Feb 18),17.20,17.25,17.12,17.12,17.1500,-0.12,89,0,591
06/19/2017,G (Feb 18),17.10,17.10,16.90,16.92,17.0250,-0.12,282,0,697
06/20/2017,G (Feb 18),16.95,17.13,16.90,16.96,16.9500,-0.08,100,0,739
06/21/2017,G (Feb 18),17.00,17.00,16.85,16.97,16.9500,0.00,292,0,873
06/22/2017,G (Feb 18),16.95,17.00,16.88,16.97,16.9500,0.00,590,0,1157
06/23/2017,G (Feb 18),16.95,17.00,16.85,16.87,16.8750,-0.08,361,0,1322
06/26/2017,G (Feb 18),16.80,16.90,16.65,16.65,16.6750,-0.20,421,0,1526
06/27/2017,G (Feb 18),16.70,16.82,16.60,16.67,16.6750,0.00,395,0,1672
06/28/2017,G (Feb 18),16.62,16.70,16.53,16.63,16.6500,-0.02,374,0,1731
06/29/2017,G (Feb 18),16.60,17.23,16.57,16.70,16.6750,0.02,771,0,1931
06/30/2017,G (Feb 18),16.70,16.80,16.60,16.68,16.7000,0.02,323,0,2044
07/03/2017,G (Feb 18),16.60,16.87,16.43,16.83,16.8500,0.15,691,0,2327
07/05/2017,G (Feb 18),16.86,16.89,16.68,16.77,16.7750,-0.08,862,0,2740
07/06/2017,G (Feb 18),16.80,17.07,16.70,16.96,16.9500,0.18,1125,0,3111
07/07/2017,G (Feb 18),16.90,16.98,16.85,16.92,16.9250,-0.02,907,0,3602
07/10/2017,G (Feb 18),16.85,16.91,16.65,16.69,16.6750,-0.25,384,0,3793
07/11/2017,G (Feb 18),16.65,16.89,16.57,16.57,16.5750,-0.10,736,0,4123
07/12/2017,G (Feb 18),16.55,16.55,16.35,16.39,16.4000,-0.18,1176,0,4821
07/13/2017,G (Feb 18),16.38,16.40,16.23,16.30,16.3250,-0.08,616,0,5067
07/14/2017,G (Feb 18),16.30,16.33,16.00,16.00,16.0250,-0.30,698,0,5325
07/17/2017,G (Feb 18),16.04,16.06,15.95,16.02,16.0500,0.02,1087,0,5886
07/18/2017,G (Feb 18),16.03,16.20,16.02,16.09,16.0750,0.02,1237,0,6529
07/19/2017,G (Feb 18),16.05,16.15,15.92,16.09,16.0750,0.00,2862,0,7482
07/20/2017,G (Feb 18),16.05,16.15,16.02,16.05,16.0250,-0.05,1839,0,8164
07/21/2017,G (Feb 18),16.10,16.20,15.94,15.95,15.9250,-0.10,3563,0,9588
07/24/2017,G (Feb 18),16.00,16.00,15.72,15.73,15.7250,-0.20,1816,0,9931
