CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
06/22/2015,H (Mar 16),0.00,17.90,19.45,0.00,18.6750,18.68,0,0,0
06/23/2015,H (Mar 16),0.00,18.70,19.10,0.00,18.9000,0.22,0,0,0
06/24/2015,H (Mar 16),0.00,18.60,18.85,0.00,18.7250,-0.18,0,0,0
06/25/2015,H (Mar 16),0.00,18.60,18.70,0.00,18.6750,-0.05,0,0,0
06/26/2015,H (Mar 16),0.00,18.50,18.60,0.00,18.5500,-0.12,0,0,0
06/29/2015,H (Mar 16),18.80,19.25,18.80,19.25,19.2500,0.70,6,0,3
06/30/2015,H (Mar 16),19.35,19.35,19.20,19.30,19.0500,-0.20,6,0,7
07/01/2015,H (Mar 16),18.85,18.85,18.60,18.75,18.5000,-0.55,5,0,12
07/02/2015,H (Mar 16),18.90,18.95,18.75,18.80,18.6750,0.18,8,0,17
07/06/2015,H (Mar 16),19.25,19.25,18.93,19.15,18.9500,0.28,84,0,106
07/07/2015,H (Mar 16),19.20,19.30,18.84,18.84,18.8000,-0.15,31,0,95
07/08/2015,H (Mar 16),18.92,19.30,18.90,19.30,19.1750,0.38,127,0,203
07/09/2015,H (Mar 16),19.10,19.30,18.85,19.30,19.3750,0.20,79,0,240
07/10/2015,H (Mar 16),19.34,19.34,18.73,18.95,18.9000,-0.48,45,0,201
07/13/2015,H (Mar 16),19.10,19.10,18.32,18.36,18.3000,-0.60,42,0,214
07/14/2015,H (Mar 16),18.30,18.45,18.18,18.45,18.4000,0.10,152,0,288
07/15/2015,H (Mar 16),18.35,18.55,18.25,18.35,18.3250,-0.08,88,0,338
07/16/2015,H (Mar 16),18.25,18.30,18.04,18.05,18.0250,-0.30,77,0,387
07/17/2015,H (Mar 16),18.05,18.05,17.96,18.00,17.9750,-0.05,117,0,439
07/20/2015,H (Mar 16),18.00,18.00,17.85,17.97,17.9500,-0.02,220,0,553
