CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
06/26/2017,H (Mar 18),0.00,0.00,0.00,0.00,16.6750,16.68,0,0,0
06/27/2017,H (Mar 18),16.98,17.15,16.95,17.15,17.1250,0.45,32,0,32
06/28/2017,H (Mar 18),17.15,17.15,16.90,17.00,17.0000,-0.12,13,0,39
06/29/2017,H (Mar 18),16.90,17.55,16.90,17.18,17.1500,0.15,218,0,218
06/30/2017,H (Mar 18),17.15,17.22,17.05,17.20,17.2000,0.05,81,0,289
07/03/2017,H (Mar 18),17.12,17.35,16.95,17.34,17.3000,0.10,405,0,568
07/05/2017,H (Mar 18),17.17,17.36,17.10,17.28,17.2500,-0.05,169,0,673
07/06/2017,H (Mar 18),17.20,17.46,17.04,17.46,17.4000,0.15,690,0,1078
07/07/2017,H (Mar 18),17.35,17.45,17.30,17.40,17.4000,0.00,228,0,1225
07/10/2017,H (Mar 18),17.30,17.36,17.15,17.17,17.1500,-0.25,159,0,1309
07/11/2017,H (Mar 18),17.15,17.35,17.15,17.17,17.1000,-0.05,97,0,1384
07/12/2017,H (Mar 18),17.05,17.06,16.95,17.02,17.0000,-0.10,698,0,1942
07/13/2017,H (Mar 18),16.95,16.95,16.79,16.87,16.8500,-0.15,45,0,1942
07/14/2017,H (Mar 18),16.86,16.86,16.55,16.55,16.5750,-0.28,403,0,2129
07/17/2017,H (Mar 18),16.50,16.65,16.50,16.65,16.6000,0.02,409,0,2389
07/18/2017,H (Mar 18),16.65,16.80,16.60,16.70,16.6750,0.08,1116,0,2951
07/19/2017,H (Mar 18),16.70,16.75,16.53,16.65,16.6250,-0.05,1321,0,3650
07/20/2017,H (Mar 18),16.67,16.80,16.62,16.62,16.6250,0.00,758,0,3840
07/21/2017,H (Mar 18),16.60,16.74,16.53,16.55,16.5500,-0.08,797,0,4282
