CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/27/2015,J (Apr 16),0.00,17.50,19.00,0.00,18.2500,18.25,0,0,0
07/28/2015,J (Apr 16),0.00,18.40,18.35,0.00,18.2750,0.02,0,0,0
07/29/2015,J (Apr 16),0.00,18.20,18.25,0.00,18.1750,-0.10,0,0,0
07/30/2015,J (Apr 16),0.00,18.30,18.45,0.00,18.3250,0.15,0,0,0
07/31/2015,J (Apr 16),0.00,18.30,18.40,0.00,18.2750,-0.05,0,0,0
08/03/2015,J (Apr 16),18.40,18.40,18.20,18.40,18.3250,0.05,5,0,5
08/04/2015,J (Apr 16),18.15,18.25,18.15,18.25,18.2500,-0.08,3,0,5
08/05/2015,J (Apr 16),0.00,18.15,18.15,0.00,18.2000,-0.05,0,0,5
08/06/2015,J (Apr 16),18.30,18.40,18.30,18.40,18.3750,0.18,2,0,6
08/07/2015,J (Apr 16),18.55,18.55,18.45,18.55,18.3250,-0.05,1,0,6
08/10/2015,J (Apr 16),18.15,18.15,18.10,18.10,18.1750,-0.15,4,0,8
08/11/2015,J (Apr 16),18.30,18.50,18.20,18.35,18.4500,0.28,26,0,26
08/12/2015,J (Apr 16),18.50,18.90,18.39,18.39,18.4000,-0.05,35,0,35
08/13/2015,J (Apr 16),18.25,18.40,18.25,18.34,18.3000,-0.10,12,0,40
08/14/2015,J (Apr 16),18.20,18.30,18.20,18.20,18.2000,-0.10,9,0,39
08/17/2015,J (Apr 16),18.20,18.25,18.20,18.25,18.2500,0.05,29,0,66
08/18/2015,J (Apr 16),18.30,18.40,18.30,18.40,18.3500,0.10,81,0,141
08/19/2015,J (Apr 16),18.50,18.55,18.30,18.55,18.5750,0.22,256,0,362
08/20/2015,J (Apr 16),18.60,19.00,18.50,19.00,18.9750,0.40,210,0,533
08/21/2015,J (Apr 16),18.89,19.45,18.84,19.45,19.4750,0.50,368,0,779
08/24/2015,J (Apr 16),19.60,21.60,19.45,20.70,20.7750,1.30,844,0,975
08/25/2015,J (Apr 16),21.95,21.95,19.80,20.90,20.9000,0.12,1502,0,1585
08/26/2015,J (Apr 16),21.25,21.30,20.34,20.40,20.3250,-0.58,475,0,1632
08/27/2015,J (Apr 16),20.35,20.90,19.90,20.62,20.6250,0.30,913,0,2530
08/28/2015,J (Apr 16),20.40,21.85,20.40,21.30,21.4750,0.85,763,0,2917
08/31/2015,J (Apr 16),21.85,22.30,21.50,22.20,22.3500,0.88,692,0,3139
09/01/2015,J (Apr 16),22.38,24.35,22.35,23.88,23.9000,1.55,1973,0,4746
09/02/2015,J (Apr 16),23.95,23.99,23.05,23.05,23.0500,-0.85,1437,0,5031
09/03/2015,J (Apr 16),22.00,23.55,22.00,23.20,23.2000,0.15,768,0,4784
09/04/2015,J (Apr 16),22.90,24.06,22.90,23.80,23.7750,0.58,704,0,4810
09/08/2015,J (Apr 16),23.50,23.70,22.90,23.00,22.8750,-0.90,582,0,5063
09/09/2015,J (Apr 16),22.75,23.15,22.40,23.05,23.1000,0.22,745,0,5564
09/10/2015,J (Apr 16),23.15,23.55,22.75,22.90,22.8000,-0.30,917,0,5538
09/11/2015,J (Apr 16),23.40,23.40,22.65,22.75,22.7750,-0.02,194,0,5470
09/14/2015,J (Apr 16),22.75,23.19,22.50,22.74,22.6500,-0.12,191,0,5633
09/15/2015,J (Apr 16),22.52,22.75,21.40,21.40,21.4500,-1.20,1005,0,5726
09/16/2015,J (Apr 16),21.45,21.53,20.34,20.36,20.3500,-1.10,1617,0,5690
09/17/2015,J (Apr 16),20.20,20.85,19.70,20.77,20.7750,0.42,3204,0,6535
09/18/2015,J (Apr 16),20.70,21.60,20.55,21.45,21.4500,0.68,2392,0,7429
09/21/2015,J (Apr 16),21.50,21.60,20.79,20.80,20.7750,-0.68,1477,0,7676
09/22/2015,J (Apr 16),20.73,21.98,20.73,21.50,21.5250,0.75,2615,0,7927
09/23/2015,J (Apr 16),21.90,21.93,21.08,21.20,21.2250,-0.30,1097,0,7880
09/24/2015,J (Apr 16),21.15,22.10,21.05,21.65,21.6750,0.45,1521,0,7898
09/25/2015,J (Apr 16),21.60,22.00,21.03,21.92,21.9250,0.25,934,0,8040
09/28/2015,J (Apr 16),21.95,22.72,21.70,22.44,22.4250,0.50,1933,0,8320
09/29/2015,J (Apr 16),22.47,22.75,22.13,22.60,22.6250,0.20,2510,0,9157
09/30/2015,J (Apr 16),22.60,22.65,22.14,22.45,22.4250,-0.20,1839,0,9646
10/01/2015,J (Apr 16),22.30,22.60,21.94,22.05,22.0500,-0.38,1275,0,9941
10/02/2015,J (Apr 16),22.01,22.48,21.40,21.50,21.4750,-0.58,1719,0,10572
10/05/2015,J (Apr 16),21.63,21.65,20.65,20.70,20.7250,-0.75,1440,0,10580
10/06/2015,J (Apr 16),20.74,21.05,20.55,21.05,21.0250,0.30,997,0,10600
10/07/2015,J (Apr 16),20.80,21.05,20.45,20.45,20.4750,-0.55,1088,0,10797
