CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/24/2017,J (Apr 18),0.00,16.65,16.95,0.00,16.8250,16.82,0,0,0
07/25/2017,J (Apr 18),16.60,16.74,16.60,16.73,16.7000,-0.12,25,0,19
07/26/2017,J (Apr 18),16.74,16.74,16.50,16.60,16.6250,-0.08,163,0,170
07/27/2017,J (Apr 18),16.55,16.65,16.47,16.55,16.5250,-0.10,49,0,197
07/28/2017,J (Apr 18),16.45,16.55,16.40,16.46,16.4500,-0.08,25,0,215
07/31/2017,J (Apr 18),16.40,16.55,16.40,16.51,16.4250,-0.02,26,0,237
08/01/2017,J (Apr 18),16.40,16.41,16.24,16.24,16.2250,-0.20,11,0,242
08/02/2017,J (Apr 18),16.25,16.35,16.15,16.28,16.3000,0.08,154,0,348
08/03/2017,J (Apr 18),16.35,16.40,16.30,16.39,16.3750,0.08,25,0,359
08/04/2017,J (Apr 18),16.45,16.50,16.35,16.48,16.4750,0.10,77,0,388
08/07/2017,J (Apr 18),16.45,16.50,16.45,16.45,16.4250,-0.05,5,0,390
08/08/2017,J (Apr 18),16.48,16.75,16.48,16.70,16.7000,0.28,354,0,591
08/09/2017,J (Apr 18),16.70,16.87,16.65,16.75,16.7000,0.00,280,0,630
08/10/2017,J (Apr 18),16.70,17.45,16.63,17.42,17.4500,0.75,345,0,738
08/11/2017,J (Apr 18),17.50,17.65,17.10,17.62,17.6250,0.18,201,0,786
08/14/2017,J (Apr 18),17.60,17.60,16.70,16.71,16.7000,-0.92,175,0,811
08/15/2017,J (Apr 18),16.75,16.77,16.47,16.72,16.7250,0.02,273,0,917
08/16/2017,J (Apr 18),16.70,16.75,16.48,16.63,16.6250,-0.10,605,0,1100
08/17/2017,J (Apr 18),16.60,17.35,16.60,17.16,17.2000,0.58,616,0,1355
08/18/2017,J (Apr 18),17.15,17.25,16.85,17.24,17.2500,0.05,569,0,1497
08/21/2017,J (Apr 18),17.20,17.29,17.03,17.03,17.0500,-0.20,360,0,1584
08/22/2017,J (Apr 18),17.00,17.05,16.60,16.60,16.5750,-0.48,540,0,1731
08/23/2017,J (Apr 18),16.55,16.85,16.50,16.75,16.7500,0.18,505,0,1767
08/24/2017,J (Apr 18),16.80,16.91,16.58,16.82,16.8000,0.05,402,0,1796
08/25/2017,J (Apr 18),16.79,16.88,16.70,16.75,16.7500,-0.05,342,0,1936
08/28/2017,J (Apr 18),16.80,16.95,16.69,16.71,16.7000,-0.05,267,0,2062
08/29/2017,J (Apr 18),16.70,17.25,16.68,16.82,16.8000,0.10,612,0,2094
08/30/2017,J (Apr 18),16.75,16.88,16.70,16.85,16.8500,0.05,359,0,2158
08/31/2017,J (Apr 18),16.85,16.95,16.70,16.70,16.7000,-0.15,805,0,2183
09/01/2017,J (Apr 18),16.72,16.77,16.63,16.75,16.7250,0.02,410,0,2256
09/05/2017,J (Apr 18),16.75,19.00,16.65,16.71,16.7250,0.00,740,0,2283
09/06/2017,J (Apr 18),16.80,17.00,16.70,17.00,16.9750,0.25,642,0,2668
09/07/2017,J (Apr 18),17.00,17.07,16.85,16.96,16.9500,-0.02,599,0,2898
