CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
08/21/2017,K (May 18),0.00,17.20,17.80,0.00,17.5000,17.50,0,0,0
08/22/2017,K (May 18),17.00,17.25,16.90,16.90,16.8750,-0.62,126,0,124
08/23/2017,K (May 18),16.90,17.05,16.90,16.95,16.9500,0.08,39,0,151
08/24/2017,K (May 18),16.95,17.06,16.88,17.05,17.0250,0.08,81,0,191
08/25/2017,K (May 18),17.00,17.05,16.90,17.00,17.0000,-0.02,73,0,242
08/28/2017,K (May 18),17.05,17.05,16.92,16.92,16.9500,-0.05,9,0,243
08/29/2017,K (May 18),17.00,17.34,17.00,17.00,16.9750,0.02,99,0,267
08/30/2017,K (May 18),16.95,17.15,16.93,17.11,17.1000,0.12,106,0,326
08/31/2017,K (May 18),17.10,17.20,16.98,16.98,16.9750,-0.12,252,0,525
09/01/2017,K (May 18),16.96,17.00,16.94,16.95,16.9500,-0.02,28,0,534
09/05/2017,K (May 18),17.00,17.31,17.00,17.01,17.0000,0.05,235,0,665
09/06/2017,K (May 18),17.05,17.21,16.99,17.18,17.2000,0.20,316,0,840
09/07/2017,K (May 18),17.20,17.30,17.10,17.15,17.1500,-0.05,231,0,996
09/08/2017,K (May 18),17.20,17.36,17.19,17.30,17.2750,0.12,135,0,1090
09/11/2017,K (May 18),17.25,17.25,17.05,17.10,17.1000,-0.18,119,0,1082
09/12/2017,K (May 18),17.10,17.16,16.94,16.94,16.9500,-0.15,39,0,1076
09/13/2017,K (May 18),16.90,17.02,16.75,16.80,16.7750,-0.18,175,0,1139
09/14/2017,K (May 18),16.70,16.90,16.60,16.90,16.8500,0.08,194,0,1144
09/15/2017,K (May 18),16.90,17.00,16.81,16.83,16.8250,-0.02,196,0,1233
09/18/2017,K (May 18),16.80,16.90,16.55,16.60,16.6500,-0.18,313,0,1267
09/19/2017,K (May 18),16.60,16.75,16.60,16.73,16.7250,0.08,520,0,1517
09/20/2017,K (May 18),16.71,16.85,16.60,16.60,16.6250,-0.10,675,0,1896
09/21/2017,K (May 18),16.70,16.75,16.58,16.73,16.7250,0.10,378,0,2026
09/22/2017,K (May 18),16.71,16.90,16.70,16.83,16.8250,0.10,495,0,2168
09/25/2017,K (May 18),16.80,17.02,16.70,16.80,16.8000,-0.02,579,0,2318
09/26/2017,K (May 18),16.75,16.85,16.70,16.75,16.7250,-0.08,477,0,2521
09/27/2017,K (May 18),16.70,16.85,16.65,16.75,16.7500,0.02,452,0,2725
09/28/2017,K (May 18),16.70,16.80,16.67,16.74,16.7250,-0.02,485,0,2950
09/29/2017,K (May 18),16.70,16.77,16.60,16.60,16.6250,-0.10,420,0,3128
10/02/2017,K (May 18),16.53,16.62,16.37,16.38,16.4000,-0.22,330,0,3216
10/03/2017,K (May 18),16.35,16.42,16.30,16.33,16.3500,-0.05,396,0,3370
10/04/2017,K (May 18),16.35,16.40,16.33,16.37,16.3500,0.00,340,0,3499
10/05/2017,K (May 18),16.35,16.39,16.18,16.19,16.2000,-0.15,487,0,3664
10/06/2017,K (May 18),16.20,16.34,16.20,16.24,16.2250,0.02,480,0,3860
10/09/2017,K (May 18),16.25,16.42,16.17,16.35,16.3500,0.12,621,0,4002
10/10/2017,K (May 18),16.33,16.43,16.25,16.25,16.2250,-0.12,393,0,4117
10/11/2017,K (May 18),16.25,16.35,16.15,16.15,16.1750,-0.05,1154,0,4542
10/12/2017,K (May 18),16.20,16.30,16.12,16.22,16.2250,0.05,491,0,4659
10/13/2017,K (May 18),16.20,16.20,16.00,16.08,16.0500,-0.18,727,0,5096
10/16/2017,K (May 18),16.03,16.05,15.85,15.85,15.9000,-0.15,329,0,5246
10/17/2017,K (May 18),15.90,16.05,15.80,15.87,15.8500,-0.05,1658,0,5735
