CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
09/26/2016,M (Jun 17),0.00,20.00,20.90,0.00,20.4500,20.45,0,0,0
09/27/2016,M (Jun 17),20.25,20.52,20.20,20.20,20.2500,-0.20,6,0,3
09/28/2016,M (Jun 17),20.40,20.45,20.15,20.15,20.2000,-0.05,6,0,5
09/29/2016,M (Jun 17),20.50,20.60,20.25,20.30,20.3000,0.10,10,0,5
09/30/2016,M (Jun 17),20.50,20.50,20.10,20.23,20.3000,0.00,50,0,25
10/03/2016,M (Jun 17),0.00,20.10,20.25,0.00,20.3000,0.00,0,0,25
10/04/2016,M (Jun 17),20.23,20.25,20.00,20.00,19.9750,-0.32,74,0,74
10/05/2016,M (Jun 17),19.90,20.05,19.90,20.02,20.0250,0.05,12,0,81
10/06/2016,M (Jun 17),20.10,20.10,19.90,19.90,19.9750,-0.05,34,0,110
10/07/2016,M (Jun 17),20.00,20.15,19.90,20.06,20.1250,0.15,46,0,145
10/10/2016,M (Jun 17),19.95,19.95,19.85,19.85,19.9000,-0.22,49,0,189
10/11/2016,M (Jun 17),19.93,20.30,19.92,20.05,20.0500,0.15,41,0,213
10/12/2016,M (Jun 17),20.00,20.15,19.95,20.05,20.0500,0.00,34,0,229
10/13/2016,M (Jun 17),20.30,20.60,20.19,20.20,20.3500,0.30,126,0,324
10/14/2016,M (Jun 17),20.18,20.30,20.15,20.21,20.2250,-0.12,56,0,378
10/17/2016,M (Jun 17),20.25,20.30,20.18,20.18,20.1750,-0.05,13,0,379
10/18/2016,M (Jun 17),20.10,20.12,19.97,20.00,20.0750,-0.10,39,0,396
10/19/2016,M (Jun 17),20.07,20.07,19.80,19.90,19.9000,-0.18,123,0,488
10/20/2016,M (Jun 17),19.88,20.08,19.88,20.00,20.0000,0.10,134,0,516
10/21/2016,M (Jun 17),20.00,20.10,19.83,19.83,19.8750,-0.12,140,0,544
10/24/2016,M (Jun 17),19.88,19.88,19.55,19.62,19.5750,-0.30,107,0,592
10/25/2016,M (Jun 17),19.60,19.75,19.49,19.49,19.5250,-0.05,368,0,782
10/26/2016,M (Jun 17),19.50,19.67,19.47,19.65,19.6750,0.15,421,0,1122
10/27/2016,M (Jun 17),19.65,19.85,19.50,19.83,19.8250,0.15,262,0,1322
10/28/2016,M (Jun 17),19.76,20.05,19.69,19.85,19.8250,0.00,310,0,1545
10/31/2016,M (Jun 17),19.86,19.97,19.79,19.82,19.8250,0.00,179,0,1670
11/01/2016,M (Jun 17),19.81,20.25,19.75,20.00,20.0250,0.20,673,0,2172
11/02/2016,M (Jun 17),20.03,20.10,19.87,20.10,20.1250,0.10,259,0,2312
11/03/2016,M (Jun 17),20.15,20.57,20.00,20.55,20.5750,0.45,452,0,2595
11/04/2016,M (Jun 17),20.60,20.60,20.16,20.40,20.4250,-0.15,309,0,2796
11/07/2016,M (Jun 17),20.30,20.30,19.25,19.25,19.2750,-1.15,295,0,2747
11/08/2016,M (Jun 17),19.24,19.50,19.09,19.35,19.3750,0.10,185,0,2727
11/09/2016,M (Jun 17),19.40,21.00,19.00,19.00,19.0000,-0.38,1400,0,3010
11/10/2016,M (Jun 17),19.03,19.50,18.80,19.38,19.3750,0.38,442,0,3025
11/11/2016,M (Jun 17),19.40,19.70,19.34,19.35,19.3000,-0.08,463,0,3173
11/14/2016,M (Jun 17),19.37,19.82,19.17,19.45,19.4250,0.12,461,0,3115
11/15/2016,M (Jun 17),19.40,19.55,19.22,19.52,19.5250,0.10,868,0,3255
11/16/2016,M (Jun 17),19.50,19.78,19.47,19.53,19.5250,0.00,1178,0,3824
11/17/2016,M (Jun 17),19.55,19.55,19.30,19.32,19.3250,-0.20,1037,0,4009
11/18/2016,M (Jun 17),19.30,19.53,19.20,19.35,19.3750,0.05,1641,0,4344
11/21/2016,M (Jun 17),19.35,19.44,19.10,19.25,19.2250,-0.15,1420,0,4694
11/22/2016,M (Jun 17),19.15,19.37,19.10,19.25,19.2250,0.00,824,0,4918
11/23/2016,M (Jun 17),19.25,19.36,19.18,19.30,19.3250,0.10,969,0,5098
11/25/2016,M (Jun 17),19.31,19.38,19.25,19.30,19.3000,-0.02,693,0,5255
11/28/2016,M (Jun 17),19.38,19.49,19.30,19.35,19.3250,0.02,906,0,5297
11/29/2016,M (Jun 17),19.30,19.40,19.25,19.40,19.3750,0.05,1974,0,6225
11/30/2016,M (Jun 17),19.40,19.40,19.15,19.30,19.2750,-0.10,1881,0,7070
12/01/2016,M (Jun 17),19.30,19.64,19.17,19.44,19.4250,0.15,2814,0,7762
12/02/2016,M (Jun 17),19.42,19.63,19.30,19.50,19.5250,0.10,2195,0,7992
12/05/2016,M (Jun 17),19.65,19.70,19.10,19.12,19.1250,-0.40,1651,0,8110
12/06/2016,M (Jun 17),19.10,19.15,18.91,18.95,18.9500,-0.18,1621,0,8514
12/07/2016,M (Jun 17),18.93,19.05,18.80,19.03,19.0250,0.08,1705,0,8566
12/08/2016,M (Jun 17),19.04,19.25,18.90,19.12,19.1250,0.10,1954,0,8706
12/09/2016,M (Jun 17),19.15,19.21,18.94,18.95,18.9750,-0.15,1439,0,9251
12/12/2016,M (Jun 17),18.95,19.25,18.90,19.15,19.1750,0.20,1555,0,9757
12/13/2016,M (Jun 17),19.15,19.26,19.01,19.15,19.1750,0.00,1896,0,10383
12/14/2016,M (Jun 17),19.10,19.30,18.92,18.99,18.9750,-0.20,2137,0,11684
12/15/2016,M (Jun 17),18.95,19.09,18.85,19.00,19.0250,0.05,1717,0,10924
