CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
09/25/2017,M (Jun 18),0.00,16.95,17.40,0.00,17.1750,17.18,0,0,0
09/26/2017,M (Jun 18),17.00,17.00,16.90,16.95,17.0000,-0.18,11,0,11
09/27/2017,M (Jun 18),16.90,17.05,16.90,17.04,17.0250,0.02,26,0,27
09/28/2017,M (Jun 18),17.00,17.05,16.99,17.00,17.0000,-0.02,47,0,54
09/29/2017,M (Jun 18),17.00,17.05,16.95,16.95,16.9750,-0.02,11,0,60
10/02/2017,M (Jun 18),16.95,16.95,16.77,16.85,16.7750,-0.20,35,0,87
10/03/2017,M (Jun 18),16.76,16.82,16.63,16.70,16.7000,-0.08,81,0,133
10/04/2017,M (Jun 18),16.70,16.70,16.67,16.70,16.6750,-0.02,17,0,150
10/05/2017,M (Jun 18),16.65,16.65,16.50,16.50,16.5000,-0.18,4,0,152
10/06/2017,M (Jun 18),16.60,16.60,16.55,16.55,16.5500,0.05,5,0,156
10/09/2017,M (Jun 18),16.55,16.70,16.55,16.70,16.7000,0.15,6,0,159
10/10/2017,M (Jun 18),16.65,16.70,16.60,16.60,16.5750,-0.12,19,0,163
10/11/2017,M (Jun 18),16.65,16.70,16.50,16.50,16.5250,-0.05,87,0,203
10/12/2017,M (Jun 18),16.50,16.60,16.45,16.55,16.5500,0.02,98,0,265
10/13/2017,M (Jun 18),16.50,16.52,16.40,16.40,16.4000,-0.15,31,0,285
10/16/2017,M (Jun 18),16.40,16.40,16.27,16.30,16.2750,-0.12,11,0,281
10/17/2017,M (Jun 18),16.20,16.50,16.18,16.20,16.2000,-0.08,119,0,311
10/18/2017,M (Jun 18),16.20,16.29,16.07,16.28,16.2750,0.08,621,0,691
10/19/2017,M (Jun 18),16.25,16.60,16.19,16.19,16.1750,-0.10,277,0,763
10/20/2017,M (Jun 18),16.10,16.20,16.05,16.07,16.0750,-0.10,281,0,873
10/23/2017,M (Jun 18),16.05,16.27,15.95,16.26,16.2500,0.18,356,0,1038
10/24/2017,M (Jun 18),16.20,16.35,16.09,16.31,16.3000,0.05,336,0,1183
