CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
10/23/2017,N (Jul 18),0.00,0.00,0.00,0.00,16.2500,16.25,0,0,0
10/24/2017,N (Jul 18),16.40,16.56,16.35,16.50,16.5750,0.32,38,0,24
10/25/2017,N (Jul 18),16.50,17.10,16.50,16.85,16.7500,0.18,53,0,64
10/26/2017,N (Jul 18),16.80,16.80,16.80,16.80,16.8500,0.10,1,0,65
10/27/2017,N (Jul 18),16.70,16.70,16.60,16.63,16.5500,-0.30,4,0,69
10/30/2017,N (Jul 18),16.57,16.57,16.40,16.46,16.4500,-0.10,35,0,82
10/31/2017,N (Jul 18),16.45,16.55,16.38,16.41,16.4000,-0.05,71,0,134
11/01/2017,N (Jul 18),16.25,16.46,16.25,16.46,16.4750,0.08,43,0,162
11/02/2017,N (Jul 18),16.50,16.62,16.48,16.57,16.5500,0.08,87,0,209
11/03/2017,N (Jul 18),16.52,16.65,16.49,16.64,16.6500,0.10,106,0,269
11/06/2017,N (Jul 18),16.63,16.75,16.40,16.70,16.6750,0.02,240,0,336
11/07/2017,N (Jul 18),16.70,16.82,16.63,16.80,16.8000,0.12,108,0,365
11/08/2017,N (Jul 18),16.80,16.85,16.60,16.85,16.8250,0.02,281,0,496
11/09/2017,N (Jul 18),16.85,17.17,16.80,16.87,16.8750,0.05,272,0,615
11/10/2017,N (Jul 18),16.95,17.17,16.90,17.10,17.1000,0.22,132,0,668
11/13/2017,N (Jul 18),17.05,17.26,17.05,17.19,17.1750,0.08,727,0,970
11/14/2017,N (Jul 18),17.20,17.50,17.15,17.44,17.4000,0.22,248,0,1085
11/15/2017,N (Jul 18),17.42,17.85,17.40,17.64,17.6000,0.20,590,0,1410
11/16/2017,N (Jul 18),17.54,17.60,17.20,17.38,17.3500,-0.25,438,0,1628
11/17/2017,N (Jul 18),17.40,17.45,17.20,17.25,17.3000,-0.05,585,0,1859
11/20/2017,N (Jul 18),17.25,17.30,16.90,17.02,17.0000,-0.30,448,0,2048
11/21/2017,N (Jul 18),17.00,17.00,16.78,16.80,16.7750,-0.22,223,0,2179
11/22/2017,N (Jul 18),16.76,16.78,16.60,16.70,16.7000,-0.08,423,0,2377
11/24/2017,N (Jul 18),16.73,16.80,16.60,16.62,16.6250,-0.08,541,0,2680
11/27/2017,N (Jul 18),16.65,16.80,16.60,16.72,16.7500,0.12,456,0,2942
11/28/2017,N (Jul 18),16.71,16.80,16.60,16.62,16.6250,-0.12,811,0,3316
11/29/2017,N (Jul 18),16.66,16.85,16.60,16.75,16.7750,0.15,429,0,3504
11/30/2017,N (Jul 18),16.75,16.85,16.64,16.73,16.7250,-0.05,697,0,3681
12/01/2017,N (Jul 18),16.75,17.35,16.75,16.84,16.8500,0.12,3111,0,4777
12/04/2017,N (Jul 18),16.75,16.77,16.50,16.77,16.7750,-0.08,874,0,4998
12/05/2017,N (Jul 18),16.70,16.76,16.54,16.69,16.7000,-0.08,987,0,5004
12/06/2017,N (Jul 18),16.73,16.80,16.55,16.62,16.6250,-0.08,616,0,5159
12/07/2017,N (Jul 18),16.55,16.65,16.40,16.41,16.4250,-0.20,419,0,5309
12/08/2017,N (Jul 18),16.40,16.45,16.30,16.32,16.3500,-0.08,853,0,5341
12/11/2017,N (Jul 18),16.31,16.48,16.25,16.27,16.2500,-0.10,673,0,5383
12/12/2017,N (Jul 18),16.25,16.35,16.20,16.33,16.3000,0.05,706,0,5385
12/13/2017,N (Jul 18),16.30,16.35,16.20,16.25,16.2500,-0.05,874,0,5336
12/14/2017,N (Jul 18),16.23,16.33,16.15,16.25,16.2250,-0.02,528,0,5395
12/15/2017,N (Jul 18),16.30,16.30,15.99,15.99,16.0000,-0.22,671,0,5578
12/18/2017,N (Jul 18),15.90,15.95,15.79,15.79,15.8000,-0.20,623,0,5660
12/19/2017,N (Jul 18),15.80,15.95,15.70,15.87,15.8250,0.02,1133,0,5802
12/20/2017,N (Jul 18),15.80,15.90,15.70,15.90,15.8750,0.05,1553,0,6195
12/21/2017,N (Jul 18),15.85,15.85,15.69,15.70,15.7250,-0.15,1473,0,6687
12/22/2017,N (Jul 18),15.75,15.75,15.62,15.69,15.6750,-0.05,2085,0,7057
12/26/2017,N (Jul 18),15.69,15.71,15.48,15.55,15.5750,-0.10,2002,0,7390
12/27/2017,N (Jul 18),15.54,15.55,15.43,15.43,15.4250,-0.15,1523,0,7707
12/28/2017,N (Jul 18),15.43,15.47,15.38,15.42,15.4250,0.00,1168,0,8045
12/29/2017,N (Jul 18),15.46,15.47,15.30,15.45,15.4250,0.00,2256,0,8549
01/02/2018,N (Jul 18),15.40,15.45,15.13,15.14,15.1250,-0.30,2159,0,8727
01/03/2018,N (Jul 18),15.10,15.13,14.90,14.95,14.9250,-0.20,2938,0,9685
01/04/2018,N (Jul 18),14.95,15.05,14.81,14.98,14.9750,0.05,2137,0,10283
01/05/2018,N (Jul 18),15.01,15.03,14.80,14.80,14.8250,-0.15,2836,0,11149
01/08/2018,N (Jul 18),14.65,14.87,14.65,14.83,14.8250,0.00,1923,0,11676
01/09/2018,N (Jul 18),14.85,14.85,14.70,14.75,14.7750,-0.05,2423,0,12058
01/10/2018,N (Jul 18),14.83,14.95,14.65,14.70,14.6750,-0.10,2593,0,12634
01/11/2018,N (Jul 18),14.60,14.65,14.52,14.55,14.5250,-0.15,3054,0,13815
01/12/2018,N (Jul 18),14.50,14.55,14.40,14.51,14.5250,0.00,3617,0,14302
01/16/2018,N (Jul 18),14.48,15.08,14.40,14.92,14.9250,0.40,6572,0,14729
01/17/2018,N (Jul 18),14.92,14.97,14.75,14.82,14.8250,-0.10,5725,0,15762
01/18/2018,N (Jul 18),14.85,15.08,14.65,14.86,14.8750,0.05,5671,0,16998
01/19/2018,N (Jul 18),14.90,14.93,14.71,14.85,14.8250,-0.05,3560,0,17235
01/22/2018,N (Jul 18),14.88,14.95,14.65,14.68,14.6750,-0.15,3436,0,18192
01/23/2018,N (Jul 18),14.65,14.93,14.64,14.88,14.8750,0.20,5350,0,18384
01/24/2018,N (Jul 18),14.90,15.23,14.84,15.04,15.0750,0.20,6078,0,19403
01/25/2018,N (Jul 18),15.10,15.23,14.93,15.18,15.1750,0.10,5655,0,20173
01/26/2018,N (Jul 18),15.16,15.17,14.98,15.07,15.0750,-0.10,3862,0,20295
01/29/2018,N (Jul 18),15.08,15.49,15.07,15.42,15.4250,0.35,7322,0,20110
01/30/2018,N (Jul 18),15.50,15.86,15.43,15.58,15.5750,0.15,6204,0,20940
01/31/2018,N (Jul 18),15.58,15.63,15.25,15.34,15.3250,-0.25,4959,0,21113
02/01/2018,N (Jul 18),15.31,15.55,15.00,15.20,15.2250,-0.10,6063,0,21711
02/02/2018,N (Jul 18),15.20,15.89,14.95,15.83,15.8250,0.60,10892,0,22912
02/05/2018,N (Jul 18),15.95,20.05,15.55,19.75,19.4250,3.60,21227,0,26434
02/06/2018,N (Jul 18),28.50,28.50,17.50,18.70,18.7500,-0.68,24562,0,26688
02/07/2018,N (Jul 18),18.25,18.50,17.20,18.05,18.0250,-0.72,14861,0,29334
02/08/2018,N (Jul 18),18.00,19.55,17.74,18.95,19.0500,1.02,16401,0,28825
