CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/20/2017,Q (Aug 18),17.30,17.40,17.30,17.30,17.2750,17.28,9,0,8
11/21/2017,Q (Aug 18),17.50,17.55,17.20,17.20,17.2250,-0.05,4,0,12
11/22/2017,Q (Aug 18),16.85,17.15,16.85,17.00,17.0000,-0.22,86,0,88
11/24/2017,Q (Aug 18),17.10,17.15,16.95,16.95,16.9500,-0.05,33,0,118
11/27/2017,Q (Aug 18),16.97,17.06,16.97,17.03,17.0250,0.08,90,0,199
11/28/2017,Q (Aug 18),17.10,17.15,16.95,17.05,16.9750,-0.05,178,0,340
11/29/2017,Q (Aug 18),16.96,17.15,16.95,17.15,17.1500,0.18,53,0,386
11/30/2017,Q (Aug 18),17.13,17.13,16.94,16.99,16.9500,-0.20,110,0,463
12/01/2017,Q (Aug 18),17.10,17.51,17.00,17.06,17.0250,0.08,345,0,651
12/04/2017,Q (Aug 18),16.90,16.95,16.75,16.95,16.9500,-0.08,204,0,778
12/05/2017,Q (Aug 18),16.90,16.95,16.78,16.85,16.9000,-0.05,110,0,831
12/06/2017,Q (Aug 18),16.94,16.95,16.79,16.79,16.7500,-0.15,205,0,966
12/07/2017,Q (Aug 18),16.79,16.79,16.63,16.70,16.7250,-0.02,156,0,1059
12/08/2017,Q (Aug 18),16.60,16.63,16.55,16.60,16.6250,-0.10,161,0,955
12/11/2017,Q (Aug 18),16.57,16.65,16.55,16.57,16.5250,-0.10,174,0,1022
12/12/2017,Q (Aug 18),16.50,16.55,16.40,16.55,16.5500,0.02,162,0,1045
12/13/2017,Q (Aug 18),16.52,16.57,16.45,16.48,16.5000,-0.05,123,0,1108
12/14/2017,Q (Aug 18),16.43,16.55,16.40,16.55,16.4750,-0.02,104,0,1145
12/15/2017,Q (Aug 18),16.43,16.45,16.23,16.23,16.2250,-0.25,113,0,1160
12/18/2017,Q (Aug 18),16.20,16.20,16.05,16.08,16.1000,-0.12,149,0,1152
12/19/2017,Q (Aug 18),16.00,16.21,15.98,16.15,16.1500,0.05,254,0,1262
12/20/2017,Q (Aug 18),16.00,16.25,16.00,16.22,16.2000,0.05,339,0,1361
12/21/2017,Q (Aug 18),16.15,16.20,16.08,16.11,16.1000,-0.10,636,0,1694
12/22/2017,Q (Aug 18),16.08,16.13,16.00,16.06,16.0750,-0.02,585,0,1778
12/26/2017,Q (Aug 18),16.07,16.07,15.89,15.97,15.9500,-0.12,507,0,1965
12/27/2017,Q (Aug 18),15.90,15.97,15.83,15.83,15.8250,-0.12,451,0,2185
12/28/2017,Q (Aug 18),15.80,15.89,15.80,15.85,15.8500,0.02,359,0,2367
12/29/2017,Q (Aug 18),15.80,15.90,15.63,15.83,15.8000,-0.05,937,0,2746
01/02/2018,Q (Aug 18),15.80,15.80,15.55,15.59,15.5750,-0.22,673,0,3093
01/03/2018,Q (Aug 18),15.55,15.55,15.34,15.37,15.3500,-0.22,726,0,3393
01/04/2018,Q (Aug 18),15.40,15.44,15.26,15.40,15.3750,0.02,905,0,3817
01/05/2018,Q (Aug 18),15.40,15.45,15.21,15.23,15.2250,-0.15,929,0,4302
01/08/2018,Q (Aug 18),15.20,15.25,15.10,15.19,15.2000,-0.02,785,0,4661
01/09/2018,Q (Aug 18),15.25,15.25,15.08,15.18,15.1750,-0.02,726,0,4992
01/10/2018,Q (Aug 18),15.19,15.28,15.07,15.08,15.0750,-0.10,641,0,5198
01/11/2018,Q (Aug 18),15.02,15.07,14.95,14.95,14.9500,-0.12,789,0,5539
01/12/2018,Q (Aug 18),14.90,14.96,14.80,14.85,14.9000,-0.05,1109,0,6109
01/16/2018,Q (Aug 18),14.83,15.45,14.80,15.35,15.3250,0.42,1236,0,6542
01/17/2018,Q (Aug 18),15.37,15.37,15.10,15.20,15.1750,-0.15,5161,0,8163
01/18/2018,Q (Aug 18),15.15,15.44,15.02,15.18,15.1750,0.00,3045,0,8934
01/19/2018,Q (Aug 18),15.25,15.28,15.04,15.16,15.1250,-0.05,2185,0,9336
01/22/2018,Q (Aug 18),15.18,15.29,15.00,15.02,15.0250,-0.10,1867,0,9961
01/23/2018,Q (Aug 18),15.02,15.24,14.97,15.19,15.1750,0.15,5115,0,10882
01/24/2018,Q (Aug 18),15.20,15.50,15.15,15.29,15.2750,0.10,5338,0,11315
01/25/2018,Q (Aug 18),15.35,15.40,15.17,15.35,15.3250,0.05,5937,0,13188
01/26/2018,Q (Aug 18),15.35,15.37,15.20,15.26,15.2750,-0.05,4588,0,14329
01/29/2018,Q (Aug 18),15.27,15.65,15.27,15.58,15.5750,0.30,4209,0,14514
01/30/2018,Q (Aug 18),15.65,15.99,15.58,15.72,15.7250,0.15,5454,0,15239
01/31/2018,Q (Aug 18),15.74,15.77,15.42,15.48,15.4750,-0.25,3896,0,16062
02/01/2018,Q (Aug 18),15.49,15.67,15.23,15.40,15.3750,-0.10,3793,0,16498
02/02/2018,Q (Aug 18),15.40,16.00,15.15,15.92,15.9250,0.55,5409,0,17416
02/05/2018,Q (Aug 18),16.10,23.00,15.68,22.85,20.4250,4.50,10109,0,20151
02/06/2018,Q (Aug 18),20.00,20.25,17.40,18.72,18.1500,-2.28,14257,0,21486
02/07/2018,Q (Aug 18),18.40,18.47,17.20,17.85,18.1750,0.02,9211,0,22364
02/08/2018,Q (Aug 18),17.85,19.25,17.65,18.73,18.7500,0.58,12036,0,23976
02/09/2018,Q (Aug 18),18.75,19.72,17.69,17.69,17.7000,-1.05,7674,0,22911
02/12/2018,Q (Aug 18),17.67,18.20,17.45,17.94,17.9250,0.22,5925,0,22693
02/13/2018,Q (Aug 18),17.94,18.50,17.90,18.10,18.1250,0.20,3676,0,23195
02/14/2018,Q (Aug 18),18.15,18.60,17.63,17.75,17.7250,-0.40,5477,0,23404
02/15/2018,Q (Aug 18),17.85,17.85,17.28,17.35,17.3750,-0.35,4400,0,23206
02/16/2018,Q (Aug 18),17.38,17.49,17.13,17.39,17.3750,0.00,4105,0,23700
02/20/2018,Q (Aug 18),17.27,17.85,17.15,17.51,17.5250,0.15,3565,0,23798
02/21/2018,Q (Aug 18),17.55,17.92,17.18,17.75,17.7500,0.22,3405,0,24265
02/22/2018,Q (Aug 18),17.77,18.05,17.42,17.43,17.4250,-0.32,2288,0,24122
02/23/2018,Q (Aug 18),17.46,17.50,16.85,16.90,16.8750,-0.55,2453,0,24331
