ticker,etf
A,XLK
AA,XLB
AAAU,XLF
AAL,XLI
AAMI,XLF
AAOI,XLK
AAON,XLI
AAP,XLY
AAPL,XLK
ABBNY,XLI
ABBV,XLV
ABCB,XLF
ABCL,XLV
ABG,XLY
ABNB,XLI
ABSI,XLV
ABT,XLV
ABVX,XLV
ACA,XLI
ACAD,XLV
ACGL,XLF
ACHC,XLV
ACHR,XLI
ACI,XLP
ACIW,XLK
ACLS,XLI
ACM,XLI
ACMR,XLI
ACN,XLI
ADBE,XLK
ADC,XLRE
ADEA,XLC
ADI,XLK
ADM,XLP
ADP,XLK
ADPT,XLV
ADSK,XLK
ADT,XLI
AEE,XLU
AEG,XLF
AEHR,XLK
AEIS,XLK
AEM,XLB
AEO,XLY
AEP,XLU
AER,XLI
AES,XLU
AESI,XLE
AEVA,XLY
AFG,XLF
AFL,XLF
AFRM,XLF
AG,XLB
AGCO,XLI
AGI,XLB
AGIO,XLV
AGL,XLV
AGNC,XLRE
AGO,XLF
AGX,XLI
AGYS,XLK
AHR,XLRE
AI,XLK
AIG,XLF
AIP,XLK
AIR,XLI
AIT,XLI
AIZ,XLF
AJG,XLF
AKAM,XLI
AKR,XLRE
ALAB,XLK
ALB,XLB
ALC,XLV
ALGM,XLK
ALGN,XLV
ALGT,XLI
ALHC,XLV
ALK,XLI
ALKS,XLV
ALKT,XLK
ALL,XLF
ALLE,XLI
ALLY,XLF
ALM,XLB
ALMS,XLV
ALNY,XLV
ALSN,XLY
ALV,XLY
AM,XLU
AMAT,XLK
AMBA,XLK
AMBQ,XLK
AMCR,XLY
AMD,XLK
AME,XLK
AMG,XLF
AMGN,XLV
AMH,XLRE
AMKR,XLK
AMLX,XLV
AMN,XLI
AMP,XLF
AMPX,XLK
AMR,XLB
AMRX,XLV
AMRZ,XLB
AMSC,XLI
AMT,XLRE
AMTM,XLI
AMX,XLC
AMZN,XLY
AN,XLY
ANAB,XLV
ANET,XLK
ANF,XLY
ANIP,XLV
AON,XLF
AOS,XLY
APA,XLE
APAM,XLF
APD,XLB
APG,XLI
APGE,XLV
APH,XLK
APLD,XLK
APLE,XLRE
APO,XLF
APP,XLK
APPF,XLK
APPS,XLF
APTV,XLY
AR,XLE
ARCB,XLI
ARE,XLRE
ARES,XLF
ARGX,XLV
ARI,XLRE
ARM,XLK
ARMK,XLY
AROC,XLU
ARQT,XLV
ARR,XLRE
ARW,XLI
ARWR,XLV
ARX,XLF
AS,XLY
ASAN,XLK
ASB,XLF
ASH,XLI
ASML,XLI
ASND,XLV
ASO,XLY
ASST,XLF
ASTS,XLC
ASX,XLK
ATAI,XLV
ATAT,XLY
ATEN,XLK
ATEX,XLC
ATEYY,XLK
ATI,XLB
ATKR,XLK
ATMU,XLY
ATO,XLU
ATR,XLB
ATRC,XLV
ATRO,XLI
AU,XLB
AUB,XLF
AUGO,XLB
AUR,XLK
AVA,XLU
AVAH,XLV
AVAV,XLI
AVGO,XLK
AVNT,XLB
AVPT,XLK
AVT,XLI
AVTR,XLK
AVY,XLB
AWI,XLB
AWK,XLU
AX,XLF
AXGN,XLV
AXON,XLI
AXP,XLF
AXS,XLF
AXSM,XLV
AXTA,XLB
AXTI,XLK
AYI,XLY
AZN,XLV
AZO,XLY
AZZ,XLI
B,XLB
BA,XLI
BABA,XLI
BAC,XLF
BAH,XLI
BALL,XLI
BAM,XLF
BANC,XLF
BAND,XLK
BAP,XLF
BATRK,XLY
BAX,XLV
BB,XLK
BBIO,XLV
BBVA,XLF
BBWI,XLY
BBY,XLY
BC,XLI
BCC,XLI
BCE,XLC
BCO,XLI
BCPC,XLB
BCRX,XLV
BCS,XLF
BDC,XLB
BDX,XLV
BE,XLI
BEAM,XLV
BEKE,XLRE
BELFA,XLK
BELFB,XLK
BEN,XLF
BEP,XLU
BEPC,XLU
BETR,XLF
BFAM,XLV
BFH,XLF
BFLY,XLV
BG,XLP
BGC,XLF
BH,XLY
BHE,XLK
BHF,XLF
BHP,XLB
BHVN,XLV
BIDU,XLK
BIIB,XLV
BILI,XLK
BILL,XLK
BIO,XLK
BIP,XLI
BIPC,XLU
BIRK,XLB
BJ,XLY
BJRI,XLY
BKD,XLV
BKH,XLU
BKNG,XLI
BKR,XLI
BKSY,XLY
BKU,XLF
BL,XLK
BLBD,XLY
BLDR,XLY
BLFS,XLV
BLK,XLF
BLSH,XLF
BLTE,XLV
BLZE,XLK
BMI,XLK
BMNR,XLF
BMO,XLF
BMRN,XLV
BMY,XLV
BN,XLRE
BNL,XLRE
BNS,XLF
BNTX,XLV
BNY,XLF
BOH,XLF
BOKF,XLF
BOOT,XLY
BOX,XLK
BP,XLE
BPOP,XLF
BR,XLI
BRBR,XLP
BRKR,XLK
BRO,XLF
BROS,XLY
BRX,XLRE
BRZE,XLK
BSX,XLV
BSY,XLK
BTDR,XLF
BTI,XLP
BTSG,XLV
BTU,XLB
BUD,XLP
BULL,XLF
BULZ,XLF
BURL,XLY
BVN,XLB
BW,XLI
BWA,XLY
BWIN,XLF
BWXT,XLI
BX,XLF
BXMT,XLRE
BXP,XLRE
BYD,XLY
BYND,XLP
BZ,XLK
C,XLF
CACC,XLF
CACI,XLK
CAG,XLP
CAH,XLI
CAI,XLV
CAKE,XLY
CALM,XLB
CALX,XLC
CALY,XLY
CAMT,XLK
CAPR,XLV
CAR,XLY
CARG,XLK
CARR,XLI
CART,XLI
CASY,XLY
CAT,XLI
CATY,XLF
CAVA,XLY
CB,XLF
CBOE,XLF
CBRE,XLRE
CBRL,XLY
CBSH,XLF
CBT,XLB
CBZ,XLI
CC,XLB
CCC,XLK
CCEP,XLP
CCI,XLRE
CCJ,XLB
CCK,XLI
CCL,XLI
CCXI,XLI
CDE,XLB
CDNA,XLV
CDNS,XLK
CDP,XLRE
CDW,XLY
CE,XLB
CECO,XLI
CEG,XLU
CELC,XLV
CELH,XLP
CENX,XLB
CERT,XLK
CEVA,XLK
CF,XLB
CFG,XLF
CFR,XLF
CG,XLF
CGAU,XLB
CGNX,XLK
CGON,XLV
CHD,XLP
CHDN,XLY
CHE,XLV
CHEF,XLI
CHH,XLY
CHKP,XLK
CHRD,XLE
CHRW,XLI
CHTR,XLC
CHWY,XLY
CHYM,XLF
CI,XLV
CIB,XLF
CIEN,XLY
CIFR,XLF
CINF,XLF
CL,XLP
CLBK,XLF
CLBT,XLK
CLDX,XLV
CLF,XLB
CLH,XLU
CLMT,XLE
CLRO,XLY
CLS,XLK
CLSK,XLF
CLX,XLP
CM,XLF
CMC,XLB
CMCSA,XLC
CME,XLF
CMG,XLY
CMI,XLI
CMPS,XLV
CMS,XLU
CNC,XLV
CNH,XLI
CNI,XLI
CNK,XLY
CNM,XLI
CNO,XLF
CNP,XLU
CNQ,XLE
CNR,XLB
CNX,XLE
CNXC,XLI
COCO,XLP
COF,XLF
COGT,XLV
COHR,XLK
COHU,XLK
COIN,XLF
COKE,XLP
COLB,XLF
COLD,XLRE
COLM,XLY
COMP,XLRE
CON,XLV
COO,XLV
COP,XLE
COR,XLI
CORT,XLV
CORZ,XLF
COST,XLY
COUR,XLK
CP,XLI
CPA,XLI
CPAY,XLI
CPB,XLP
CPNG,XLY
CPRI,XLB
CPRT,XLY
CPT,XLRE
CR,XLI
CRBG,XLF
CRC,XLE
CRCL,XLF
CRDO,XLK
CRGY,XLE
CRH,XLB
CRI,XLY
CRK,XLE
CRL,XLV
CRM,XLK
CRML,XLB
CRNX,XLV
CROX,XLY
CRS,XLB
CRSP,XLV
CRUS,XLK
CRWD,XLK
CRWV,XLK
CSCO,XLK
CSGP,XLI
CSIQ,XLK
CSL,XLB
CSTM,XLB
CSW,XLB
CSX,XLI
CTAS,XLY
CTRE,XLRE
CTRI,XLU
CTSH,XLK
CTVA,XLB
CUBE,XLRE
CURB,XLRE
CUZ,XLRE
CVBF,XLF
CVCO,XLI
CVE,XLE
CVI,XLE
CVLT,XLK
CVNA,XLY
CVS,XLP
CVX,XLE
CW,XLI
CWEN,XLU
CWK,XLRE
CWST,XLU
CX,XLB
CXT,XLI
CXW,XLRE
CYTK,XLV
CZR,XLY
D,XLU
DAL,XLI
DAN,XLY
DAR,XLP
DASH,XLI
DAVE,XLF
DB,XLF
DBA,XLF
DBRG,XLF
DBX,XLK
DCI,XLI
DCO,XLI
DD,XLB
DDOG,XLK
DDS,XLY
DE,XLI
DECK,XLY
DELL,XLK
DEO,XLP
DFNS,XLI
DG,XLY
DGII,XLK
DGX,XLV
DHI,XLI
DHR,XLK
DHT,XLI
DINO,XLE
DIOD,XLK
DIS,XLC
DJCO,XLC
DJT,XLK
DK,XLE
DKNG,XLY
DKS,XLY
DLB,XLF
DLO,XLI
DLR,XLRE
DLTR,XLY
DNA,XLV
DNLI,XLV
DNOW,XLI
DNTH,XLV
DOC,XLRE
DOCN,XLK
DOCS,XLK
DOCU,XLK
DORM,XLY
DOV,XLI
DOW,XLB
DOX,XLK
DPZ,XLI
DRH,XLRE
DRI,XLY
DRS,XLK
DSGX,XLK
DT,XLK
DTE,XLU
DTM,XLU
DUK,XLU
DUOL,XLK
DV,XLK
DVA,XLV
DVN,XLE
DX,XLRE
DXC,XLK
DXCM,XLV
DY,XLI
DYN,XLV
EAT,XLY
EBAY,XLI
EBC,XLF
EC,XLE
ECG,XLI
ECHO,XLC
ECL,XLP
ECO,XLI
ECPG,XLF
ED,XLU
EDU,XLI
EEFT,XLF
EFX,XLI
EG,XLF
EGO,XLB
EGP,XLRE
EHC,XLV
EIX,XLU
EL,XLP
ELAN,XLV
ELF,XLP
ELS,XLRE
ELV,XLV
ELVN,XLV
EME,XLI
EMN,XLB
EMR,XLI
ENB,XLE
ENOV,XLV
ENPH,XLK
ENS,XLK
ENSG,XLV
ENTG,XLB
ENVA,XLF
EOG,XLE
EPAM,XLK
EPD,XLU
EPR,XLRE
EPRT,XLRE
EQH,XLF
EQIX,XLRE
EQNR,XLE
EQT,XLE
EQX,XLB
ERAS,XLV
ERIC,XLY
ERIE,XLF
ERO,XLB
ES,XLU
ESAB,XLI
ESE,XLY
ESI,XLB
ESLT,XLI
ESNT,XLF
ESS,XLRE
ESTA,XLV
ESTC,XLK
ET,XLU
ETN,XLI
ETOR,XLF
ETR,XLU
ETSY,XLI
EVR,XLF
EVRG,XLU
EW,XLV
EWBC,XLF
EWTX,XLV
EXC,XLU
EXE,XLE
EXEL,XLV
EXK,XLB
EXLS,XLI
EXP,XLB
EXPD,XLI
EXPE,XLI
EXPO,XLI
EXR,XLRE
EXTR,XLK
EYE,XLV
EZPW,XLP
F,XLY
FA,XLK
FAF,XLF
FANG,XLE
FAST,XLY
FBIN,XLI
FBP,XLF
FBRX,XLV
FCEL,XLI
FCFS,XLP
FCN,XLI
FCNCA,XLF
FCUV,XLK
FCX,XLB
FDS,XLK
FDX,XLI
FE,XLU
FELE,XLI
FER,XLI
FERG,XLI
FETH,XLF
FFBC,XLF
FFIN,XLF
FFIV,XLK
FHB,XLF
FHI,XLF
FHN,XLF
FIBK,XLF
FICO,XLI
FIG,XLK
FIGS,XLY
FIS,XLI
FISV,XLI
FITB,XLF
FIVE,XLY
FIVN,XLK
FIX,XLI
FLEX,XLK
FLG,XLF
FLNC,XLK
FLO,XLP
FLR,XLI
FLS,XLI
FLUT,XLK
FLY,XLI
FLYW,XLI
FMC,XLB
FMX,XLP
FN,XLY
FNB,XLF
FND,XLY
FNF,XLF
FNGU,XLF
FNV,XLB
FORM,XLK
FOUR,XLI
FOX,XLC
FOXA,XLC
FR,XLRE
FRO,XLI
FROG,XLK
FRPT,XLP
FRSH,XLK
FRT,XLRE
FSLR,XLK
FSLY,XLK
FSM,XLB
FSS,XLY
FSV,XLRE
FTAI,XLI
FTDR,XLI
FTI,XLI
FTNT,XLK
FTS,XLU
FTV,XLK
FUL,XLB
FULT,XLF
FUN,XLY
FUTU,XLF
FVRR,XLI
FWONK,XLC
G,XLI
GAP,XLY
GATX,XLI
GBCI,XLF
GCT,XLY
GD,XLI
GDDY,XLK
GDS,XLK
GDXD,XLF
GDXU,XLF
GE,XLI
GEHC,XLV
GEN,XLK
GENI,XLY
GEO,XLI
GEV,XLI
GFF,XLI
GFI,XLB
GFL,XLU
GFS,XLK
GGAL,XLF
GGG,XLI
GH,XLV
GHC,XLI
GIB,XLI
GIL,XLY
GILD,XLV
GIS,XLP
GKOS,XLV
GL,XLF
GLBE,XLK
GLD,XLF
GLNG,XLI
GLOB,XLK
GLPI,XLRE
GLUE,XLV
GLW,XLB
GLXY,XLF
GM,XLY
GMAB,XLV
GME,XLY
GMED,XLV
GNRC,XLI
GNTX,XLY
GNW,XLF
GO,XLP
GOLF,XLY
GOOG,XLK
GOOGL,XLK
GPC,XLI
GPCR,XLV
GPI,XLY
GPK,XLB
GPN,XLI
GPOR,XLE
GRAL,XLV
GRMN,XLK
GRPN,XLI
GS,XLF
GSAT,XLC
GSHD,XLF
GSK,XLV
GT,XLB
GTES,XLI
GTLB,XLK
GTX,XLY
GVA,XLI
GWRE,XLK
GWW,XLI
GXO,XLI
H,XLY
HAE,XLV
HAL,XLE
HALO,XLV
HAS,XLY
HASI,XLF
HAYW,XLI
HBAN,XLF
HBM,XLB
HCA,XLV
HCC,XLB
HCI,XLF
HD,XLY
HDB,XLF
HEI,XLI
HESM,XLE
HGV,XLY
HHH,XLRE
HIG,XLF
HII,XLI
HIMS,XLV
HIMX,XLK
HIW,XLRE
HL,XLB
HLI,XLF
HLIO,XLI
HLN,XLP
HLNE,XLF
HLT,XLY
HMC,XLY
HMY,XLB
HNGE,XLK
HNI,XLI
HOG,XLI
HOMB,XLF
HON,XLI
HOOD,XLF
HP,XLE
HPE,XLK
HPQ,XLK
HQY,XLI
HR,XLRE
HRI,XLI
HRL,XLP
HRMY,XLV
HSAI,XLI
HSBC,XLF
HSIC,XLI
HST,XLRE
HSY,XLP
HTFL,XLV
HTHT,XLY
HTO,XLU
HUBB,XLK
