ticker,name,gics_sector,source,rank
AFL,Aflac,Financials,SP500,1
ALL,Allstate,Financials,SP500,2
AIG,American International Group,Financials,SP500,3
AMP,Ameriprise Financial,Financials,SP500,4
AON,Aon plc,Financials,SP500,5
APO,Apollo Global Management,Financials,SP500,6
ACGL,Arch Capital Group,Financials,SP500,7
ARES,Ares Management,Financials,SP500,8
AJG,Arthur J. Gallagher & Co.,Financials,SP500,9
AIZ,Assurant,Financials,SP500,10
BAC,Bank of America,Financials,SP500,11
BLK,BlackRock,Financials,SP500,12
BX,Blackstone Inc.,Financials,SP500,13
BNY,BNY Mellon,Financials,SP500,14
BRO,Brown & Brown,Financials,SP500,15
COF,Capital One,Financials,SP500,16
CBOE,Cboe Global Markets,Financials,SP500,17
SCHW,Charles Schwab Corporation,Financials,SP500,18
CB,Chubb Limited,Financials,SP500,19
CINF,Cincinnati Financial,Financials,SP500,20
C,Citigroup,Financials,SP500,21
CFG,Citizens Financial Group,Financials,SP500,22
CME,CME Group,Financials,SP500,23
CPAY,Corpay,Financials,SP500,24
ERIE,Erie Indemnity,Financials,SP500,25
EG,Everest Group,Financials,SP500,26
FDS,FactSet,Financials,SP500,27
FIS,Fidelity National Information Services,Financials,SP500,28
FITB,Fifth Third Bancorp,Financials,SP500,29
FISV,Fiserv,Financials,SP500,30
BEN,Franklin Resources,Financials,SP500,31
GPN,Global Payments,Financials,SP500,32
GL,Globe Life,Financials,SP500,33
GS,Goldman Sachs,Financials,SP500,34
HIG,Hartford (The),Financials,SP500,35
HBAN,Huntington Bancshares,Financials,SP500,36
IBKR,Interactive Brokers,Financials,SP500,37
ICE,Intercontinental Exchange,Financials,SP500,38
IVZ,Invesco,Financials,SP500,39
JKHY,Jack Henry & Associates,Financials,SP500,40
ABBV,AbbVie,Health Care,SP500,41
A,Agilent Technologies,Health Care,SP500,42
ALGN,Align Technology,Health Care,SP500,43
AMGN,Amgen,Health Care,SP500,44
BAX,Baxter International,Health Care,SP500,45
BDX,Becton Dickinson,Health Care,SP500,46
TECH,Bio-Techne,Health Care,SP500,47
BIIB,Biogen,Health Care,SP500,48
BMY,Bristol Myers Squibb,Health Care,SP500,49
CAH,Cardinal Health,Health Care,SP500,50
COR,Cencora,Health Care,SP500,51
CRL,Charles River Laboratories,Health Care,SP500,52
COO,Cooper Companies (The),Health Care,SP500,53
CVS,CVS Health,Health Care,SP500,54
DHR,Danaher Corporation,Health Care,SP500,55
DVA,DaVita,Health Care,SP500,56
DXCM,Dexcom,Health Care,SP500,57
