feature,corr_with_actual_up,abs_corr_class,corr_with_actual_return,n_obs,severity
fear_greed,-0.1048,0.1048,-0.0857,6687,ELEVATED
return_1d,0.0983,0.0983,0.0805,6687,OK
vix_ret,-0.0944,0.0944,-0.0699,6687,OK
sector_rel_ret,0.0784,0.0784,0.074,6687,OK
obv_trend,0.0778,0.0778,0.0136,6687,OK
iv_skew_snap,0.0749,0.0749,0.0699,6687,OK
oil_ret,-0.0727,0.0727,-0.0426,6687,OK
spy_ret,0.0723,0.0723,0.0369,6685,OK
xlk_ret,0.066,0.066,0.0328,6687,OK
yield_10y,-0.0512,0.0512,-0.0844,6687,OK
premarket_gap,0.049,0.049,-0.0072,6687,OK
macd,-0.0433,0.0433,-0.0285,6687,OK
return_20d,-0.0358,0.0358,-0.0436,6687,OK
bb_pct,0.029,0.029,-0.0141,6687,OK
vix_close,0.0241,0.0241,0.007,6687,OK
vix_term_structure,0.0178,0.0178,-0.0009,6687,OK
pc_ratio_snap,0.0155,0.0155,0.0107,6687,OK
vol_surge_eod,-0.0098,0.0098,-0.0094,6687,OK
rsi_14,0.0091,0.0091,-0.0182,6687,OK
oil_spy_corr,-0.0089,0.0089,-0.0051,6687,OK
atr,-0.0081,0.0081,-0.0047,6687,OK
monday_sentiment,-0.0071,0.0071,-0.0264,6687,OK
intraday_momentum,-0.0043,0.0043,-0.0185,6687,OK
return_5d,-0.0039,0.0039,-0.0694,6687,OK
beta_60d,0.0027,0.0027,0.0245,6687,OK
dxy_ret,0.0015,0.0015,0.0246,6687,OK
short_ratio,-0.0013,0.0013,0.0081,6687,OK
