feature,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,mean
vix_term_structure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pc_ratio_snap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyst_upside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyst_buy_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyst_mult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_pct_float,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv_skew_snap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentiment_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vol_x_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_squeeze_setup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fear_greed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_earnings_week,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_earnings_drift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre_earnings_drift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monday_sentiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rev_surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expected_move_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finbert_mult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.01
finbert_sentiment_earnings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.01
finbert_sentiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.01
eightk_material_agreement_30d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.2,0.15,0.05
eightk_exec_change_30d,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.16,0.25,0.05,0.06
eightk_reg_fd_30d,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.16,0.25,0.15,0.07
inst_auction_imbal_5d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.09
risk_next_3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09
is_pandemic,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.09
risk_today,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09
risk_next_1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09
inst_signed_flow_5d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09
eightk_other_events_30d,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.26,0.3,0.25,0.09
inst_signed_flow_30d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09
inst_block_buy_sell_7d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.09
eightk_days_since_last,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.16,0.26,0.3,0.3,0.1
insider_net_shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.3,0.8,0.1
insider_7d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.3,0.8,0.1
insider_21d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.3,0.8,0.1
insider_60d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.3,0.8,0.1
eightk_filings_30d,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.16,0.26,0.3,0.3,0.1
insider_90d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.3,0.8,0.11
vix_5d_above_25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.95,1.0,0.54
fund_op_equity,0.64,0.64,0.67,0.65,0.68,0.63,0.53,0.53,0.53,0.55,0.5,0.6
fund_gp_assets,0.5,0.5,0.53,0.65,0.68,0.68,0.68,0.68,0.74,0.75,0.75,0.65
risk_prev_1d,0.0,0.0,0.0,1.0,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.72
rsi_below_30,0.36,0.43,0.93,0.59,0.95,0.79,0.95,0.84,0.89,0.85,0.85,0.77
xlc_ret_5d,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82
rev_growth_yoy,0.86,0.86,0.8,0.82,0.79,0.84,0.89,0.89,0.89,0.9,0.95,0.86
rev_x_low52w,0.86,0.86,0.8,0.82,0.79,0.84,0.89,0.89,0.89,0.9,0.95,0.86
fund_ep,0.71,0.79,0.87,0.88,0.89,0.89,0.89,0.89,0.95,0.9,0.9,0.87
fund_ni_margin,0.71,0.79,0.8,0.88,0.89,0.89,0.89,0.89,0.95,0.95,0.95,0.87
fund_bm,0.79,0.79,0.87,0.88,0.89,0.89,0.89,0.89,0.95,0.9,0.9,0.88
