,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
AAPL_target_1d,0.040901255,0.04991083,0.05345541,0.053709343,0.04684113,0.064679965,0.049142733,0.045326892,0.044634413,0.04632391,0.043849032,0.0485385,0.04918235,0.053073402,0.05110151,0.05028916,0.04970924,0.0,0.0,0.0,0.0460375,0.05812976,0.05516368
AAPL_target_3d,0.045923017,0.029882718,0.03196701,0.03266148,0.03985136,0.053313743,0.058367774,0.051361885,0.03910432,0.0427594,0.042026374,0.040876266,0.03590657,0.043746408,0.04929497,0.033861794,0.031432763,0.0,0.0,0.19090867,0.04769773,0.0077721206,0.051283587
AAPL_target_5d,0.050371505,0.040709652,0.030446753,0.029403584,0.045198478,0.08277132,0.07622185,0.067915216,0.04429806,0.0482899,0.034009792,0.053552393,0.06257014,0.09401572,0.051107325,0.04439912,0.03401632,0.0,0.0,0.013909933,0.04784079,0.014373793,0.03457836
AMD_target_1d,0.03992658,0.05369418,0.05053709,0.047419146,0.050493278,0.046634305,0.05611934,0.05890435,0.048077706,0.051165085,0.04475344,0.048124168,0.043658532,0.038359474,0.05928312,0.043749403,0.048069436,0.0,0.0,0.033592213,0.035356715,0.04410219,0.057980247
AMD_target_3d,0.04373052,0.046702947,0.038735207,0.03566612,0.03512398,0.040381175,0.05533227,0.05420723,0.043968152,0.04638613,0.045190036,0.040996008,0.04499386,0.059767216,0.053503674,0.04477146,0.03393795,0.0,0.0,0.094966374,0.026918087,0.047183562,0.06753802
AMD_target_5d,0.054442294,0.040906493,0.03009152,0.034165423,0.03830006,0.050339215,0.05139582,0.07536871,0.026439505,0.045092247,0.04026792,0.047397774,0.060974054,0.07557118,0.055152766,0.040846556,0.03258223,0.0,0.0,0.1154015,0.02646314,0.034621555,0.024180075
AXP_target_1d,0.051029265,0.046159886,0.05303414,0.041617386,0.049245004,0.052094415,0.048912633,0.045327086,0.04857765,0.046158098,0.046643257,0.048211638,0.043811295,0.054789606,0.039810088,0.044402786,0.045080993,0.0,0.0,0.0807883,0.025620162,0.024518568,0.06416773
AXP_target_3d,0.05019096,0.040255688,0.040344894,0.03812739,0.042061273,0.057002634,0.05287067,0.04677658,0.045224942,0.04840745,0.038411513,0.05155672,0.044445578,0.05761504,0.062257804,0.04344724,0.040701017,0.0,0.0,0.058331266,0.051256355,0.04750162,0.043213405
AXP_target_5d,0.06655069,0.044875596,0.032135244,0.036201842,0.035774134,0.058093898,0.061316703,0.064788796,0.048153277,0.037305355,0.03477586,0.044055197,0.058358014,0.074148975,0.06860829,0.044132225,0.029065358,0.0,0.0,0.01761261,0.064394295,0.05029657,0.029357087
BSX_target_1d,0.047950227,0.043029293,0.046954017,0.050248753,0.050820135,0.05104626,0.057240266,0.050945565,0.045148276,0.047409516,0.045132488,0.046012487,0.046751294,0.047687635,0.044027586,0.039830692,0.05438655,0.0,0.0,0.043158907,0.061426144,0.038067322,0.04272652
