feature,status,n_obs,corr_target_1d,corr_target_3d,corr_target_5d,max_abs_corr,severity
vix_term_structure,OK,39264,0.0215,0.028,0.0378,0.0378,OK
iv_skew_snap,OK,39264,0.0175,0.0225,0.0361,0.0361,OK
vix_close,OK,39264,0.0137,0.0237,0.0345,0.0345,OK
lqd_hyg_spread,OK,39264,0.0197,0.0309,0.0293,0.0309,OK
vix_5d_above_25,OK,39264,0.0079,0.0288,0.0306,0.0306,OK
monday_sentiment,OK,39264,0.0185,0.025,0.0267,0.0267,OK
spy_ret,OK,39264,-0.0251,-0.0056,-0.0165,0.0251,OK
semi_etf_momentum_60d,OK,39264,-0.0122,-0.0167,-0.0241,0.0241,OK
return_60d,OK,38444,-0.011,-0.0147,-0.0229,0.0229,OK
es_overnight,OK,39264,-0.0227,-0.006,-0.0194,0.0227,OK
xlk_ret,OK,39264,-0.0217,-0.0045,-0.0159,0.0217,OK
short_pct_float,OK,39264,-0.013,-0.0178,-0.0201,0.0201,OK
short_ratio,OK,39264,0.0149,0.0192,0.0188,0.0192,OK
oil_spy_corr,OK,39264,0.0106,0.0154,0.018,0.018,OK
return_1d,OK,39264,-0.0176,-0.0016,-0.009,0.0176,OK
analyst_buy_pct,OK,39264,0.0126,0.0156,0.0174,0.0174,OK
return_5d,OK,39264,-0.0172,-0.0102,-0.0066,0.0172,OK
rsi_below_30,OK,39264,-0.0006,0.0145,0.017,0.017,OK
oil_ret,OK,39264,-0.01,0.0058,-0.0167,0.0167,OK
post_earnings_5d,OK,39264,0.0067,0.0142,0.0163,0.0163,OK
volume_zscore,OK,39264,-0.008,-0.0162,-0.0099,0.0162,OK
obv,OK,39264,0.0071,0.015,0.0153,0.0153,OK
volatility_10d,OK,39264,-0.0012,0.0078,0.0149,0.0149,OK
is_pandemic,OK,39264,-0.011,-0.0139,-0.0145,0.0145,OK
vol_surge_eod,OK,39264,-0.0077,-0.0135,-0.0076,0.0135,OK
post_earnings_1d,OK,39264,0.0131,0.0081,0.0038,0.0131,OK
igv_vs_sp500_ret_30d,OK,39264,0.0123,0.0099,0.013,0.013,OK
volume_spike,OK,39264,-0.01,-0.0125,-0.004,0.0125,OK
pc_ratio_snap,OK,39264,0.003,0.0093,0.0122,0.0122,OK
analyst_mult,OK,39264,0.0054,0.0111,0.0121,0.0121,OK
beta_60d,OK,39264,-0.0057,-0.011,-0.0097,0.011,OK
macd_signal,OK,39264,0.0003,-0.0088,-0.0105,0.0105,OK
return_20d,OK,39244,-0.0045,-0.0032,-0.0102,0.0102,OK
intraday_momentum,OK,39264,0.0101,0.0084,0.0098,0.0101,OK
post_earnings_3d,OK,39264,0.0088,0.0095,0.0096,0.0096,OK
return_3d,OK,39264,-0.0095,-0.0095,-0.0083,0.0095,OK
bb_width,OK,39264,-0.0019,0.0036,0.0095,0.0095,OK
premarket_gap,OK,39264,-0.0094,0.0043,-0.0007,0.0094,OK
vwap_dev_eod,OK,39264,0.0091,0.0081,0.0075,0.0091,OK
vix_ret,OK,39264,0.0052,-0.0091,0.0021,0.0091,OK
high_52w_ratio,OK,34624,0.008,0.0087,-0.0039,0.0087,OK
day_of_week,OK,39264,0.0052,0.0086,-0.0019,0.0086,OK
macd,OK,39264,-0.0013,-0.0073,-0.0083,0.0083,OK
ma20_above_ma50,OK,39264,0.002,-0.0031,-0.0079,0.0079,OK
finbert_mult,OK,39264,0.0015,0.0051,0.0077,0.0077,OK
analyst_upside,OK,39264,-0.0003,0.0061,0.0076,0.0076,OK
yield_10y,OK,39264,0.0076,0.0014,0.005,0.0076,OK
rsi_above_70,OK,39264,-0.0075,-0.0003,0.0039,0.0075,OK
ma_50,OK,38664,0.0049,0.0045,0.0071,0.0071,OK
is_month_end,OK,39264,0.0032,-0.0068,0.0046,0.0068,OK
volatility_5d,OK,39264,-0.0061,0.0019,0.0066,0.0066,OK
bb_upper,OK,39264,0.0039,0.0032,0.0066,0.0066,OK
low_52w_ratio,OK,34624,-0.0062,-0.0024,-0.0061,0.0062,OK
ma_20,OK,39264,0.0041,0.003,0.0061,0.0061,OK
atr,OK,39264,-0.0048,-0.0061,-0.0057,0.0061,OK
ma5_above_ma20,OK,39264,-0.0052,-0.0006,-0.006,0.006,OK
ma_5,OK,39264,0.0039,0.0028,0.0059,0.0059,OK
ma_10,OK,39264,0.0041,0.0027,0.0058,0.0058,OK
rsi_14,OK,39264,-0.0057,-0.002,-0.0043,0.0057,OK
eps_surprise,OK,39264,0.0024,0.0024,0.0057,0.0057,OK
bb_pct,OK,39264,-0.0056,0.0013,-0.0002,0.0056,OK
bb_lower,OK,39264,0.0043,0.0028,0.0055,0.0055,OK
finbert_sentiment,OK,39264,0.0006,0.0032,0.0052,0.0052,OK
obv_trend,OK,39264,-0.0052,-0.0013,0.0007,0.0052,OK
dxy_ret,OK,39264,0.0039,-0.0017,0.0021,0.0039,OK
vwap,OK,39264,-0.0022,-0.0004,0.0033,0.0033,OK
sector_rel_ret,OK,39264,-0.0032,0.0017,0.002,0.0032,OK
sentiment_score,OK,39264,-0.0006,-0.0017,0.0014,0.0017,OK
insider_net_shares,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
insider_7d,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
insider_21d,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
congress_net_shares,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
risk_today,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
risk_next_1d,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
risk_next_3d,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
risk_prev_1d,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
rev_surprise,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
days_to_earnings,INSUFFICIENT_DATA,39264,,,,,UNKNOWN
