,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
AAPL_target_1d,0.043395635,0.046887677,0.051054925,0.057696626,0.049555216,0.05950771,0.0537393,0.049903106,0.047563445,0.049008843,0.05096697,0.04340583,0.050809655,0.055341348,0.044468656,0.05193248,0.04852519,0.0,0.0,0.015481333,0.049879614,0.042831656,0.038044743
AAPL_target_3d,0.058820765,0.03605683,0.042653996,0.03766902,0.041156016,0.054418508,0.063661635,0.0607468,0.043517884,0.05347148,0.055916205,0.05284787,0.045751013,0.06054358,0.06774538,0.047666546,0.037182458,0.0,0.0,0.045042668,0.015106078,0.016978052,0.06304719
AAPL_target_5d,0.051239755,0.037135758,0.033502948,0.032582276,0.04318633,0.07862485,0.07016824,0.06702823,0.048651963,0.049476966,0.031663526,0.05297187,0.059676908,0.07521925,0.05517646,0.042707384,0.04178136,0.0,0.0,0.03076873,0.073579915,0.0,0.024857234
AMD_target_1d,0.048901707,0.04728647,0.04065772,0.046130624,0.045140058,0.04052021,0.046463124,0.05896305,0.045121893,0.050262645,0.04374953,0.040658016,0.04582538,0.03737928,0.04880676,0.049359247,0.049101494,0.0,0.0,0.057838388,0.05437367,0.04709934,0.05636137
AMD_target_3d,0.04824267,0.044225924,0.036847375,0.036728602,0.03760767,0.046831477,0.061708864,0.058072545,0.046691477,0.044494405,0.0508602,0.04998686,0.05612455,0.069109105,0.059658483,0.048112746,0.035608705,0.0,0.0,0.06828808,0.022233544,0.030856555,0.047710225
AMD_target_5d,0.053818006,0.045160215,0.03396903,0.041684754,0.040181845,0.05664788,0.04906012,0.07531082,0.027476557,0.04765281,0.04730916,0.04513048,0.05862469,0.06610141,0.058777437,0.043392316,0.041973807,0.0,0.0,0.06756309,0.0312546,0.031237489,0.037673432
AXP_target_1d,0.05271195,0.048497926,0.050425358,0.0444344,0.04895289,0.054277454,0.04801164,0.050001267,0.051878944,0.053972173,0.05089836,0.050440364,0.04949737,0.056587413,0.043893415,0.049020413,0.05219006,0.0,0.0,0.022762526,0.033300556,0.04678015,0.041465286
AXP_target_3d,0.053302675,0.03769904,0.03655501,0.038296722,0.045648206,0.063759126,0.058899533,0.05131403,0.042095922,0.048725147,0.041998003,0.044180837,0.04723832,0.047194015,0.0703293,0.045838084,0.042329982,0.0,0.0,0.05397644,0.033827,0.037262816,0.05952982
AXP_target_5d,0.067555316,0.035683297,0.027754297,0.030857895,0.046034947,0.046385203,0.060934465,0.04804962,0.04116299,0.03958965,0.04073283,0.041432243,0.054140978,0.07047462,0.061375912,0.046857797,0.03040708,0.0,0.0,0.037123695,0.06502061,0.015451265,0.09297526
BSX_target_1d,0.03340261,0.045081757,0.052258223,0.046797257,0.051092442,0.05109942,0.044910897,0.057554338,0.04319556,0.041038517,0.05021429,0.04359714,0.049124304,0.05070387,0.05817159,0.042685248,0.049619656,0.0,0.0,0.052160263,0.049065456,0.044629205,0.043597966
BSX_target_3d,0.051760167,0.042647224,0.03797462,0.046006873,0.044504978,0.053966455,0.05135734,0.04561931,0.04615885,0.04933097,0.05016308,0.050839465,0.049983956,0.0713023,0.039112266,0.047334082,0.03555092,0.0,0.0,0.050071854,0.034933433,0.05319553,0.04818642
BSX_target_5d,0.06126426,0.038215797,0.028163234,0.037783735,0.048931044,0.04873512,0.037884638,0.06591177,0.042572867,0.054851454,0.050180208,0.059006266,0.06102715,0.07872732,0.05426213,0.05059871,0.031203862,0.0,0.0,0.037524026,0.036692284,0.03511835,0.04134582
CNC_target_1d,0.04748901,0.051035043,0.04397811,0.046038475,0.04622571,0.044464678,0.038785752,0.048491597,0.042784464,0.0458995,0.046559483,0.04644406,0.04107325,0.051882084,0.044515364,0.044778045,0.038038973,0.0,0.0,0.05835567,0.05800581,0.06274779,0.052407052
CNC_target_3d,0.049738973,0.03537398,0.03523547,0.03143283,0.040227268,0.055961393,0.045161873,0.047692258,0.038866926,0.04378763,0.043844953,0.05294051,0.04351324,0.052316695,0.052973486,0.044373106,0.032597672,0.0,0.0,0.050089017,0.065569215,0.081259385,0.05704404
CNC_target_5d,0.04656223,0.03377426,0.03210148,0.039730832,0.0429119,0.06536273,0.055070985,0.058660455,0.044752266,0.05180387,0.04262076,0.05385872,0.051172327,0.071846895,0.06707508,0.04740861,0.0475759,0.0,0.0,0.031142553,0.029895168,0.025280878,0.06139214
CRWD_target_1d,0.0579512,0.049970124,0.04462108,0.045248773,0.04621745,0.0528044,0.04699724,0.0627833,0.046839036,0.04221466,0.043469716,0.052013516,0.04927776,0.039145384,0.055118296,0.049518935,0.046985634,0.0,0.0,0.0,0.040310573,0.071664676,0.05684816
