ticker,horizon,status,error,accuracy,roc_auc,brier_score,n_train,elapsed_s
CRCL,1,OK,,0.5588,0.5,0.2465,134,1.0
CRCL,3,OK,,0.5,0.5,0.25,132,1.0
CRCL,5,OK,,0.5455,0.5,0.2479,131,1.0
MSFT,1,OK,,0.8968,0.9876,0.1933,1627,2.5
MSFT,3,OK,,0.774,0.9662,0.2239,1625,2.5
MSFT,5,OK,,0.6478,0.9761,0.1991,1624,2.4
RZLV,1,OK,,0.8732,0.9932,0.1486,849,2.2
RZLV,3,OK,,0.7783,0.9646,0.1736,848,2.1
RZLV,5,OK,,0.7406,0.9531,0.1764,846,2.0
SLV,1,OK,,0.8673,0.9928,0.1438,1627,2.5
SLV,3,OK,,0.6609,0.9118,0.2006,1625,2.5
SLV,5,OK,,0.6872,0.9591,0.1665,1624,2.4
