n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
400,101,63,0.3968,0.4913,1.8399,0.2922,0.4444,0.381,42,0.5882,17,0.5882,17,AAPL,3,0,501,504
451,113,63,0.3968,0.4881,0.9671,0.2778,0.6667,0.6667,12,0.6364,11,,0,AAPL,3,1,564,567
501,126,63,0.3492,0.3168,4.1808,0.4473,0.619,0.4722,36,,0,,0,AAPL,3,2,627,630
552,138,63,0.6032,0.4805,0.6772,0.2419,0.6032,0.6032,63,0.6032,63,0.6032,63,AAPL,3,3,690,693
602,151,63,0.5397,0.6592,0.6871,0.2472,0.5397,0.5397,63,0.5397,63,0.6667,30,AAPL,3,4,753,756
652,164,63,0.5714,0.4812,0.7034,0.2542,0.5397,0.5574,61,0.5593,59,0.2857,7,AAPL,3,5,816,819
703,176,63,0.381,0.5,0.7038,0.2553,0.619,,0,,0,,0,AAPL,3,6,879,882
753,189,63,0.4921,0.5167,0.7032,0.255,0.4762,0.45,20,0.45,20,,0,AAPL,3,7,942,945
804,201,63,0.5079,0.5547,1.9344,0.3151,0.6032,0.6296,27,0.6154,26,,0,AAPL,3,8,1005,1008
400,101,63,0.5873,0.5442,0.6831,0.245,0.5873,0.5873,63,1.0,1,1.0,1,ABNB,3,0,501,504
451,113,63,0.4444,0.5347,1.785,0.3491,0.4444,0.4444,63,0.4655,58,0.4655,58,ABNB,3,1,564,567
501,126,63,0.6032,0.6084,0.6794,0.2428,0.6032,0.6032,63,0.6032,63,0.6032,63,ABNB,3,2,627,630
552,138,63,0.5079,0.5122,0.7101,0.2582,0.4444,0.4634,41,0.4722,36,0.3333,12,ABNB,3,3,690,693
602,151,63,0.5873,0.5899,0.897,0.2474,0.4762,0.7,10,0.75,4,,0,ABNB,3,4,753,756
652,164,63,0.5238,0.5117,1.1753,0.2724,0.5397,0.75,8,0.8333,6,0.8333,6,ABNB,3,5,816,819
703,176,63,0.4444,0.3342,0.8145,0.3054,0.4444,0.3333,21,0.3333,21,0.3333,21,ABNB,3,6,879,882
753,189,63,0.5079,0.5617,0.6862,0.2468,0.5714,0.619,21,1.0,1,1.0,1,ABNB,3,7,942,945
804,201,63,0.5556,0.5413,0.6893,0.2481,0.5556,0.5556,63,,0,,0,ABNB,3,8,1005,1008
400,101,63,0.3968,0.4779,0.7794,0.2914,0.3968,0.3968,63,0.381,42,0.381,42,ABT,3,0,501,504
451,113,63,0.5238,0.6121,6.3228,0.4624,0.4603,0.4912,57,0.4909,55,0.4909,55,ABT,3,1,564,567
501,126,63,0.4603,0.5873,0.7759,0.2869,0.5873,0.8,5,0.8,5,,0,ABT,3,2,627,630
552,138,63,0.5397,0.4843,1.4255,0.2902,0.4603,,0,,0,,0,ABT,3,3,690,693
602,151,63,0.3968,0.4426,0.7208,0.2637,0.6032,,0,,0,,0,ABT,3,4,753,756
652,164,63,0.5714,0.604,0.6815,0.2442,0.5238,0.5938,32,0.6429,28,,0,ABT,3,5,816,819
703,176,63,0.5238,0.4768,0.7041,0.2553,0.4762,0.5,46,0.5,46,,0,ABT,3,6,879,882
753,189,63,0.5556,0.5556,1.8332,0.2836,0.4444,0.5,20,0.5263,19,0.5455,11,ABT,3,7,942,945
804,201,63,0.2857,0.4282,0.7656,0.2858,0.3016,0.2903,62,0.3091,55,0.2308,13,ABT,3,8,1005,1008
400,101,63,0.3651,0.4253,0.8033,0.3024,0.3968,0.3529,51,0.3529,51,0.3529,51,ADSK,3,0,501,504
451,113,63,0.5873,0.5684,0.6625,0.2384,0.5714,0.5806,62,0.8333,6,0.8,5,ADSK,3,1,564,567
501,126,63,0.3016,0.4276,8.7479,0.6489,0.6984,0.5,2,0.5,2,,0,ADSK,3,2,627,630
552,138,63,0.5714,0.5,0.6832,0.245,0.5714,0.5714,63,0.5714,63,,0,ADSK,3,3,690,693
602,151,63,0.5079,0.5857,0.7263,0.265,0.5079,0.5079,63,0.5079,63,0.5814,43,ADSK,3,4,753,756
652,164,63,0.619,0.5759,0.6714,0.2392,0.619,0.619,63,0.75,4,0.75,4,ADSK,3,5,816,819
703,176,63,0.4921,0.4667,0.7568,0.2804,0.4921,0.4921,63,0.4921,63,0.4655,58,ADSK,3,6,879,882
753,189,63,0.3175,0.4924,0.7671,0.2862,0.3175,0.3175,63,0.3167,60,0.3,10,ADSK,3,7,942,945
804,201,63,0.4444,0.5286,0.6976,0.2522,0.4444,0.4444,63,,0,,0,ADSK,3,8,1005,1008
400,101,63,0.6349,0.672,0.6543,0.2315,0.4127,0.5556,27,,0,,0,AI,3,0,501,504
451,113,63,0.5079,0.5045,0.7227,0.2641,0.4921,0.5,18,0.5,18,,0,AI,3,1,564,567
501,126,63,0.5079,0.6313,0.6936,0.2502,0.5397,1.0,3,1.0,3,1.0,3,AI,3,2,627,630
552,138,63,0.5714,0.6199,4.8398,0.3896,0.5556,0.8333,12,,0,,0,AI,3,3,690,693
