n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
399,100,63,0.5079,0.6658,2.1761,0.2509,0.4444,0.4634,41,0.9286,14,0.9286,14,AAPL,5,0,499,504
449,113,63,0.619,0.7195,0.6858,0.2472,0.6032,0.8182,22,0.6667,9,0.7143,7,AAPL,5,1,562,567
500,125,63,0.3492,0.3408,0.9358,0.3545,0.5556,0.3333,18,,0,,0,AAPL,5,2,625,630
550,138,63,0.5873,0.5229,0.6749,0.241,0.5873,0.5873,63,0.5833,24,1.0,5,AAPL,5,3,688,693
600,151,63,0.4762,0.6212,0.6913,0.2491,0.4762,0.4762,63,0.5625,32,0.5806,31,AAPL,5,4,751,756
651,163,63,0.4603,0.4483,0.7211,0.2631,0.5397,0.5,30,0.5,30,0.25,4,AAPL,5,5,814,819
701,176,63,0.2857,0.558,8.3053,0.5846,0.7143,,0,,0,,0,AAPL,5,6,877,882
752,188,63,0.5079,0.4844,0.7083,0.2575,0.4127,0.439,41,0.45,40,,0,AAPL,5,7,940,945
802,201,63,0.7302,0.7682,2.4419,0.2684,0.5873,0.8333,30,0.92,25,,0,AAPL,5,8,1003,1008
399,100,63,0.4127,0.3724,0.7974,0.3,0.5714,0.4865,37,0.4865,37,0.4722,36,ABNB,5,0,499,504
449,113,63,0.4444,0.3898,1.419,0.3703,0.4444,0.4444,63,0.4444,63,0.3226,31,ABNB,5,1,562,567
500,125,63,0.6667,0.4167,1.6301,0.2836,0.6667,0.6667,63,0.2,5,0.2,5,ABNB,5,2,625,630
550,138,63,0.4921,0.501,0.7064,0.2565,0.4921,0.4921,63,0.4921,63,0.5,4,ABNB,5,3,688,693
600,151,63,0.4921,0.4354,0.7053,0.2561,0.4762,0.4833,60,,0,,0,ABNB,5,4,751,756
651,163,63,0.6349,0.6328,0.6905,0.2467,0.5238,0.6087,46,1.0,2,,0,ABNB,5,5,814,819
701,176,63,0.4286,0.5,0.7035,0.2551,0.4286,0.4286,63,,0,,0,ABNB,5,6,877,882
752,188,63,0.5397,0.5588,0.9113,0.2507,0.5397,1.0,5,1.0,5,1.0,4,ABNB,5,7,940,945
802,201,63,0.6825,0.6592,0.8654,0.2307,0.5556,0.6744,43,0.6667,36,,0,ABNB,5,8,1003,1008
399,100,63,0.5556,0.4959,0.6878,0.2473,0.4286,0.4,5,0.5,2,0.5,2,ABT,5,0,499,504
449,113,63,0.4603,0.5862,6.0158,0.4429,0.4921,0.4754,61,0.4833,60,0.4833,60,ABT,5,1,562,567
500,125,63,0.3968,0.5333,2.8866,0.3648,0.6508,0.6667,9,0.6667,9,0.8,5,ABT,5,2,625,630
