ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
AAPL,5,26,0.5183,0.1069,0.5284,0.2609,0.5981,651,0.5598
ABNB,5,14,0.5238,0.0737,0.5302,0.2798,0.5512,367,0.5408
ABT,5,26,0.4713,0.1267,0.5398,0.2748,0.5428,614,0.5232
ADSK,5,26,0.5055,0.1127,0.5317,0.2641,0.6252,684,0.5238
AI,5,25,0.52,0.1,0.5176,0.2825,0.5323,267,0.4476
ALK,5,26,0.4695,0.1421,0.5607,0.288,0.5796,721,0.5146
AMD,5,26,0.5177,0.0917,0.5167,0.2685,0.6175,450,0.5403
AMPX,5,7,0.4762,0.1639,0.5333,0.3082,0.5933,184,0.5125
AMZN,5,26,0.5104,0.124,0.5331,0.2908,0.5512,699,0.5446
APLD,5,10,0.5032,0.077,0.5472,0.2754,0.6302,283,0.5286
ARM,5,3,0.4921,0.1746,0.6195,0.3054,0.617,47,0.5132
ASAN,5,15,0.5037,0.1097,0.5508,0.2838,0.4668,262,0.4773
ASTS,5,13,0.4432,0.0967,0.5132,0.3049,0.4141,270,0.503
AXP,5,26,0.5165,0.0812,0.5433,0.2861,0.6089,861,0.5629
AZN,5,26,0.5488,0.1023,0.5389,0.258,0.5722,782,0.5317
BA,5,26,0.5116,0.1249,0.5455,0.272,0.6587,378,0.4963
BETR,5,3,0.5132,0.1021,0.4968,0.2837,0.4869,32,0.5026
BRKR,5,26,0.5025,0.0818,0.517,0.2726,0.552,540,0.5336
BSX,5,26,0.5165,0.12,0.5619,0.2841,0.5989,860,0.5421
CAVA,5,4,0.5794,0.1017,0.5911,0.2547,0.5664,102,0.4722
CI,5,26,0.5147,0.1018,0.5586,0.2707,0.584,566,0.525
CNC,5,26,0.5049,0.1071,0.5721,0.2677,0.5761,658,0.5183
COST,5,26,0.536,0.1334,0.5221,0.2833,0.5731,1117,0.5775
CRM,5,26,0.5202,0.1298,0.5395,0.2842,0.5937,656,0.5336
CRWD,5,20,0.5309,0.0938,0.5564,0.2602,0.6407,679,0.5548
DDOG,5,19,0.4486,0.1012,0.505,0.2809,0.6051,447,0.5154
DNA,5,11,0.5527,0.1287,0.513,0.2597,0.5505,74,0.4387
DUOL,5,11,0.518,0.1703,0.491,0.2802,0.5855,248,0.4661
ETSY,5,26,0.4951,0.1106,0.5276,0.2765,0.4755,409,0.5153
FIVN,5,26,0.5073,0.1147,0.5522,0.2715,0.5862,544,0.5037
FSLY,5,20,0.5111,0.1226,0.5185,0.2692,0.6264,393,0.4762
FTNT,5,26,0.5482,0.135,0.5388,0.2574,0.6076,838,0.5714
GM,5,26,0.4829,0.0951,0.5453,0.2698,0.5417,314,0.5098
GME,5,26,0.5342,0.0865,0.5426,0.2718,0.5685,212,0.4615
GOOG,5,26,0.5501,0.1177,0.5262,0.2644,0.5881,812,0.569
HUM,5,26,0.4585,0.0777,0.4904,0.2761,0.5742,567,0.5256
HY,5,26,0.486,0.1296,0.4999,0.2944,0.4863,699,0.4927
INSM,5,26,0.4908,0.1114,0.5336,0.2775,0.5653,398,0.5
INTC,5,26,0.4902,0.1011,0.5849,0.2735,0.5746,733,0.5012
IREN,5,10,0.5746,0.1187,0.5483,0.2621,0.5191,266,0.5301
JNJ,5,26,0.5232,0.0956,0.5368,0.2719,0.5843,549,0.5171
KVUE,5,4,0.4881,0.0782,0.5624,0.3001,0.5106,115,0.4603
LLY,5,26,0.5269,0.1133,0.5104,0.2633,0.5816,897,0.5604
LULU,5,26,0.4982,0.1141,0.5231,0.2684,0.5688,761,0.514
LYFT,5,21,0.4959,0.0981,0.5193,0.2682,0.5459,282,0.4626
META,5,10,0.4953,0.1129,0.4381,0.2662,0.5614,328,0.5603
MP,5,14,0.5397,0.1146,0.5373,0.2806,0.5421,280,0.4955
MRNA,5,22,0.5108,0.1326,0.5716,0.2684,0.5296,335,0.4971
MSFT,5,26,0.5397,0.1012,0.5111,0.271,0.5689,1017,0.5659
MU,5,26,0.533,0.0973,0.5377,0.2688,0.6581,495,0.5336
NET,5,19,0.4887,0.0979,0.4979,0.2654,0.5404,558,0.5347
NFLX,5,26,0.467,0.1051,0.5318,0.2736,0.5899,415,0.5311
NIO,5,23,0.5135,0.0972,0.5084,0.2618,0.4257,277,0.4458
NOK,5,26,0.5269,0.1172,0.5785,0.2848,0.5883,624,0.5348
NVDA,5,26,0.547,0.1208,0.5145,0.2821,0.582,953,0.5836
NVMI,5,26,0.5122,0.1169,0.539,0.264,0.6316,674,0.558
NVO,5,26,0.5055,0.0996,0.5164,0.27,0.5849,744,0.5421
ONTO,5,18,0.5221,0.0878,0.5307,0.2667,0.5201,581,0.5406
OPEN,5,14,0.5522,0.1046,0.5301,0.2773,0.4817,147,0.4376
ORIC,5,16,0.5159,0.0965,0.5252,0.2645,0.5155,94,0.4881
PFE,5,26,0.4829,0.0786,0.515,0.2773,0.5557,590,0.4896
PL,5,10,0.5254,0.1083,0.5085,0.2971,0.4692,304,0.5429
PLTR,5,15,0.5407,0.1105,0.5267,0.2792,0.5107,461,0.5608
PUBM,5,14,0.441,0.0849,0.4742,0.3038,0.5546,235,0.5136
PYPL,5,26,0.5159,0.1246,0.5435,0.278,0.5618,802,0.5165
QS,5,14,0.4841,0.1118,0.5553,0.2848,0.6243,140,0.4853
QUBT,5,11,0.5296,0.1077,0.4908,0.2693,0.7571,61,0.4632
QURE,5,26,0.5122,0.1093,0.533,0.2863,0.5018,322,0.4774
ROKU,5,26,0.5366,0.1199,0.5161,0.2615,0.5393,468,0.5104
ROST,5,26,0.5147,0.1166,0.5529,0.2725,0.5905,581,0.5403
S,5,21,0.4845,0.0803,0.5427,0.2743,0.4757,244,0.5178
SHOP,5,26,0.5397,0.0997,0.5443,0.2696,0.529,629,0.5214
SLV,5,26,0.5183,0.1243,0.521,0.2625,0.5764,513,0.5525
SMCI,5,20,0.5286,0.1096,0.5671,0.2697,0.631,566,0.5341
SMMT,5,26,0.5208,0.0968,0.5649,0.2623,0.6701,356,0.4719
SNOW,5,15,0.4677,0.1093,0.5196,0.2987,0.4564,186,0.5101
TEAM,5,26,0.467,0.1064,0.5257,0.2674,0.5825,571,0.5128
TGT,5,26,0.4939,0.1362,0.5248,0.2706,0.4705,536,0.5214
TJX,5,26,0.5098,0.0526,0.5366,0.2825,0.6023,648,0.547
TPR,5,26,0.4799,0.1545,0.5319,0.2923,0.6419,591,0.5372
TSLA,5,26,0.5287,0.1233,0.536,0.2743,0.5192,634,0.5092
TSM,5,26,0.544,0.1155,0.5403,0.2701,0.6394,929,0.5488
UAL,5,26,0.4872,0.1071,0.5647,0.2864,0.5423,441,0.5165
UNH,5,26,0.5202,0.0811,0.5318,0.2591,0.5797,618,0.5299
V,5,26,0.5116,0.1349,0.5276,0.2767,0.5435,928,0.558
VKTX,5,26,0.5177,0.1276,0.5231,0.2884,0.5217,328,0.4799
VZ,5,26,0.5214,0.0781,0.5659,0.2737,0.5382,407,0.4835
WMT,5,26,0.569,0.0878,0.5743,0.2679,0.6815,660,0.5501
ZM,5,20,0.5071,0.108,0.5085,0.2651,0.431,149,0.4738
