n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
402,101,63,0.5079,0.5378,0.7317,0.2685,0.4444,0.4737,57,0.4643,56,0.4643,56,AAPL,1,0,503,504
452,114,63,0.5238,0.5522,0.6879,0.2471,0.6349,0.6923,26,0.68,25,0.7083,24,AAPL,1,1,566,567
503,126,63,0.4921,0.4224,0.7242,0.2628,0.5556,0.5306,49,0.5319,47,0.5,6,AAPL,1,2,629,630
553,139,63,0.5238,0.3778,1.1956,0.2844,0.5238,0.5238,63,0.5082,61,0.4,15,AAPL,1,3,692,693
604,151,63,0.4762,0.4439,0.7308,0.2678,0.4762,0.4762,63,0.3,10,0.3,10,AAPL,1,4,755,756
654,164,63,0.4762,0.4265,0.6889,0.2494,0.5397,0.5085,59,1.0,1,1.0,1,AAPL,1,5,818,819
704,177,63,0.4127,0.394,0.6923,0.2509,0.5397,0.4667,45,0.4,5,,0,AAPL,1,6,881,882
755,189,63,0.5397,0.5167,1.1531,0.2629,0.5238,0.5345,58,,0,,0,AAPL,1,7,944,945
805,202,63,0.4127,0.4234,0.7354,0.2654,0.4603,0.4231,52,0.0,1,0.0,1,AAPL,1,8,1007,1008
856,214,63,0.619,0.5954,0.6789,0.2429,0.5556,0.5965,57,0.5,4,0.5,4,AAPL,1,9,1070,1071
906,227,63,0.4762,0.5598,0.716,0.2604,0.4603,0.46,50,0.4516,31,0.6667,15,AAPL,1,10,1133,1134
956,240,63,0.4762,0.4047,1.1801,0.2767,0.5079,0.4918,61,0.4412,34,0.3333,3,AAPL,1,11,1196,1197
1007,252,63,0.5397,0.5404,0.6986,0.2526,0.5238,0.5435,46,0.0,2,0.0,2,AAPL,1,12,1259,1260
1057,265,63,0.3968,0.4199,0.9595,0.2733,0.5397,0.0,4,,0,,0,AAPL,1,13,1322,1323
1108,277,63,0.5556,0.5143,0.7067,0.2558,0.5556,0.566,53,,0,,0,AAPL,1,14,1385,1386
1158,290,63,0.4762,0.5,0.6961,0.2515,0.4762,0.4762,63,,0,,0,AAPL,1,15,1448,1449
1208,303,63,0.4444,0.551,0.7025,0.2546,0.4444,0.4444,63,0.4286,14,,0,AAPL,1,16,1511,1512
1259,315,63,0.3968,0.4982,0.7113,0.259,0.6984,0.7143,14,,0,,0,AAPL,1,17,1574,1575
1309,328,63,0.5714,0.5051,0.6849,0.2459,0.5714,0.6098,41,,0,,0,AAPL,1,18,1637,1638
1360,340,63,0.5079,0.4842,0.6929,0.2499,0.5556,0.54,50,0.5417,48,,0,AAPL,1,19,1700,1701
1410,353,63,0.5079,0.3763,0.6934,0.2516,0.5238,0.5172,58,0.4,35,,0,AAPL,1,20,1763,1764
1460,366,63,0.5556,0.4327,0.688,0.2474,0.5556,0.5556,63,0.5556,63,,0,AAPL,1,21,1826,1827
1511,378,63,0.5556,0.4738,1.162,0.2677,0.5714,0.5667,60,0.5263,19,,0,AAPL,1,22,1889,1890
1561,391,63,0.4921,0.5818,0.6865,0.2482,0.4762,0.4839,62,0.5333,30,,0,AAPL,1,23,1952,1953
1612,403,63,0.5397,0.5404,0.6934,0.2501,0.5238,0.5333,60,0.5385,52,,0,AAPL,1,24,2015,2016
402,101,63,0.5238,0.5283,0.928,0.2603,0.5238,0.5714,21,,0,,0,ABNB,1,0,503,504
452,114,63,0.4444,0.5521,0.7151,0.2608,0.6032,0.8,5,1.0,4,,0,ABNB,1,1,566,567
503,126,63,0.3968,0.4913,1.9139,0.3184,0.4286,0.4,55,0.3846,52,0.5385,13,ABNB,1,2,629,630
553,139,63,0.5079,0.5207,0.6944,0.2506,0.5079,0.5079,63,0.5227,44,,0,ABNB,1,3,692,693
604,151,63,0.5079,0.5,0.6977,0.2522,0.4921,0.5,2,0.5,2,0.5,2,ABNB,1,4,755,756
654,164,63,0.5238,0.5141,0.6954,0.2511,0.4921,0.5152,33,0.5,8,0.4286,7,ABNB,1,5,818,819
704,177,63,0.5397,0.3874,1.0594,0.295,0.5397,0.5397,63,0.25,12,0.25,12,ABNB,1,6,881,882
755,189,63,0.5873,0.64,0.6631,0.2353,0.5397,0.5769,52,0.7368,19,0.7368,19,ABNB,1,7,944,945
