ticker,score_date,headlines,actual_return,haiku,sonnet,opus,fwd_ret
A,2026-06-16,"[""IREN Ltd (IREN) Is A Stock That Can Skyrocket On The New Cloud Boom"", ""A stock market crash might not be bad news for everyone"", ""Worried About a Stock Market Crash? 2 Magnificant Dividend Stocks You Can Buy Today and Hold Forever"", ""Indian shares extend gains on US-Iran peace deal"", ""What Applied Materials Stock Was Shouting Before the Surge"", ""Berkshire Hathaway (BRK.A) Stock Valuation Review After Cooling Momentum And Undervaluation Debate"", ""Quantum Computing Stock Rallies 12% Ahead of Major June Conference Schedule and Photonics Platform Showcase"", ""The 5 Best Stocks To Buy And Watch Right Now"", ""Could The Vanguard S&P 500 ETF Be Your Ticket to Becoming a Stock Market Millionaire? History Offers a Clear Answer."", ""Jones Lang LaSalle (JLL) Stock After Strong 3-Year Rally Is The Price Still Attractive""]",-0.014414824114927196,42.0,72.0,15.0,-0.014414824114927196
ABBV,2026-06-16,"[""AbbVie (ABBV) Stock Could Be 12.6% Undervalued After CLL14 Trial Update"", ""AbbVie (ABBV) Stock Weighs DCF Upside Against Elevated P/E At US$227.73"", ""AbbVie Stock in 2026: Skyrizi and Rinvoq Drive 12% Revenue Growth as Margins Begin to Inflect"", ""AbbVie (ABBV) Stock After Steady Gains Can DCF Upside Offset A Lofty P/E Ratio"", ""SCHD Now Concentrates 42 Percent of Your Money in Just 10 Stocks. Here Is Who Should Still Own It"", ""The Retiree Who Chose $65,000 Instead of $120,000 and Ended Up Richer"", ""3 Stocks Estimated To Be Up To 46.2% Below Fair Value Offering A 12.2% Discount Opportunity"", ""64 Years of Raises: How DGRO Finds Companies That Never Cut Dividends"", ""Is Pfizer's Discounted Valuation a Buying Opportunity or a Value Trap?"", ""June 2026's Noteworthy Stocks Estimated Below Intrinsic Value""]",0.033892179820922026,42.0,65.0,35.0,0.033892179820922026
ABT,2026-06-16,"[""Abbott Laboratories Stock Capital Return Hits $28 Bil"", ""Abbott Laboratories (ABT): One of the Best Bargain Stocks to Buy in June"", ""How Investors Are Reacting To Abbott (ABT) Pairing Libre Duo Launch With Its Latest Dividend Approval"", ""Is STERIS Stock Underperforming the Dow?"", ""How Investors May Respond To Abbott (ABT) Dividend And CE Mark For Dual Glucose\u2011Ketone Sensor"", ""Abbott Laboratories\u00a0(ABT): One of the Best Bargain Stocks to Buy in June""]",-0.030787914709399806,72.0,72.0,35.0,-0.030787914709399806
ACN,2026-06-16,"[""Accenture (ACN) Stock After 44% Slide Are Cash Flows Pointing To A Rebound?"", ""AI twins are reshaping how Dove soap and Hellmann\u2019s mayo are made"", ""What's Going On With Accenture Stock Tuesday?"", ""Accenture (ACN) Stock Price Slide Raises Questions About Long-Term Valuation Outlook"", ""Accenture Stock Price: ACN Stock Chart, Market Cap & News Today"", ""Down 46% in Last 12 Months, Can Accenture Stock Bounce Back in 2026?"", ""ACN Downgraded by Morgan Stanley -- Price Target Lowered to $177"", ""Accenture Stock Rebounds Before Q3 Earnings as AI Growth Test Looms for ACN"", ""Accenture Set to Report Q3 Earnings: Here's What You Should Know"", ""Accenture (ACN) Downgraded by Morgan Stanley Amid AI Spending Co""]",-0.24583132788244022,-35.0,-25.0,-15.0,-0.24583132788244022
ADI,2026-06-16,"[""Analog Devices (ADI) director Golz sells 1,000 shares under 10b5-1 plan"", ""3 AI Stocks With Moats That Could Outlast Summer Volatility"", ""Analog Devices Inc Stock (ADI) Moved Up by 3.09% on Jun 15: Drivers Behind the Movement"", ""Has Analog Devices (ADI) Outpaced Other Computer and Technology Stocks This Year?"", ""Analog Devices, Inc. $ADI Shares Purchased by Focus Partners Wealth""]",0.07086541102482723,42.0,35.0,25.0,0.07086541102482723
ADP,2026-06-16,"[""ADP data: U.S. hiring slows for 4th week, 25,500 jobs added"", ""Forget the Labor Market Noise: This Essential Business Utility Stock Is the Ultimate \u201cSet-It-and-Forget-It\u201d Cash Cow"", ""ADP Stock Rises 3%, Boosted by Easing Tensions in the Middle East"", ""Intuit Stock's Real Growth Story Isn't The One You're Watching"", ""Automatic Data Processing And 2 Other Reliable Dividend Stocks To Consider"", ""1 Unpopular Stock That Should Get More Attention and 2 We Find Risky""]",-0.03333330584001971,-15.0,15.0,15.0,-0.03333330584001971
AEE,2026-06-16,"[""Utility Ameren Missouri raises $500M in long-term bond sale"", ""Will Ameren's (AEE) Data Center Buildout and 2.2 GW ESAs Reshape Its Risk\u2011Reward Narrative""]",-0.007060159168998196,35.0,60.0,15.0,-0.007060159168998196
AES,2026-06-16,"[""Why Is AES Stock Falling Today?"", ""Is The AES Corporation (AES) A Good Stock To Buy Now?""]",0.0006830105855892388,-25.0,-35.0,-10.0,0.0006830105855892388
AI,2026-06-16,"[""Goldman Sachs has blunt message for AI stock investors"", ""C3.ai and Dynatrace Shares Are Soaring, What You Need To Know"", ""AI Stock Rally Is in Boom Phase Not Euphoria, BofA Survey Shows"", ""Are You Missing the Boat on This AI Stock That's Up 104% This Year?"", ""Zhipu AI\u2019s stock rockets after Chinese firm launches GLM-5.2 model"", ""Baidu: AI Stock With A High Safety Margin"", ""New Research Warns AI Stock Advice Heavily Favors Tech and May Heighten Investment Risks"", ""CoreWeave Just Raised $3.5 Billion. How to Play the AI Stock Here."", ""CEA Anantha Nageswaran says AI stock valuations definitely in a bubble"", ""A Place Where Some AI Stocks Are Still Cheap: China""]",-0.1125343514700719,35.0,65.0,35.0,-0.1125343514700719
AIZ,2026-06-16,"[""Old phones, new money: $1.63B in upgrades from trade-ins"", ""Assurant (AIZ) Stock Valuation After New Embedded Insurance Role In Swan Card Partnership"", ""Is Assurant, Inc. (AIZ) A Good Stock To Buy Now?"", ""1 Unpopular Stock That Should Get More Attention and 2 We Find Risky"", ""Discipline and Rules-Based Execution in AIZ Response""]",0.003953171474010219,45.0,25.0,25.0,0.003953171474010219
AKAM,2026-06-16,"[""Akamai Technologies (AKAM) Stock After New AI Agentic Framework And Partnerships What Is The Valuation Signal"", ""[Form 4] AKAMAI TECHNOLOGIES INC Insider Trading Activity"", ""AI \u2018shoppers\u2019 online: Akamai builds identity checks for agent traffic""]",-0.08744614850212223,42.0,35.0,20.0,-0.08744614850212223
ALB,2026-06-16,"[""Albemarle (ALB) Stock After 184% One Year Surge Are Recent Gains Already Priced In"", ""This Lithium Company Surged To A 52-Week High Today \u2014 Here\u2019s Why"", ""Is Albemarle (ALB) Outperforming Other Basic Materials Stocks This Year?"", ""Albemarle (ALB) Is Considered a Good Investment by Brokers: Is That True?"", ""The Zacks Analyst Blog Highlights Albemarle, Dycom Industries and Murphy USA"", ""BASF's Tinosorb S Gets FDA Nod as First New UV Filter in 27 Years""]",-0.0567093981959704,68.0,65.0,45.0,-0.0567093981959704
ALK,2026-06-16,"[""Alaska Air Group (ALK) Stock After Mike Sievert Board Appointment And Hawaiian Integration Progress"", ""Stocks Rally as US-Iran Peace Deal Sinks Oil and Bond Yields"", ""Stocks Soar on US-Iran Peace Agreement""]",-0.006312387893264912,35.0,35.0,35.0,-0.006312387893264912
ALLE,2026-06-16,"[""Allegion (ALLE) Stock And The Value Question After New Access Control Launches"", ""University of Texas Texas AM Investment Management Co. Buys New Shares in Allegion PLC $ALLE"", ""Allegion (ALLE) Stock Valuation Check After Recent IoT Growth Narrative And Undervaluation Claim"", ""Panagora Asset Management Inc. Buys 410,346 Shares of Allegion PLC $ALLE"", ""How Allegion\u2019s New Multifamily Access Control Ecosystem Could Impact Allegion (ALLE) Investors""]",-0.029213335686583308,42.0,60.0,35.0,-0.029213335686583308
AMC,2026-06-16,"[""AMC STOCK NEWS: How AMC Became The Center Of Wall Street's Greatest Cover-Up Aston Villa Vs Nottm Forest (xWwf5DWHki)"", ""AMC Entertainment Holdings (AMC) Is Up 26.7% After $150 Million Equity Raise - Has The Bull Case Changed?"", ""AMC Stock Eyes Best Month Since 2021 Meme Mania \u2014 CEO Backs Paramount-Warner Deal To Boost Theatrical Releases"", ""AMC Stock Rises Premarket: \u2018Project Hail Mary\u2019 Breakout Opening Fuels 70% Ticket Revenue Jump"", ""AMC Stock Update And GME Stock Update / 05-22-26 Modena (zdKXBQIYxC)""]",0.1084337268644213,42.0,62.0,35.0,0.1084337268644213
AMD,2026-06-16,"[""AMD Stock Soars. It\u2019s Buying MEXT to Fight Memory Shortage."", ""Is Advanced Micro Devices, Inc. (AMD) A Good Stock To Buy Now?"", ""AMD and Rackspace plan 30 MW AI cloud for regulated industries and healthcare"", ""Rackspace Technology stock surges 30% on AMD AI compute deal By Investing.com"", ""Why This AI Data Center Stock Is Surging 21% on an AMD Partnership"", ""Citi Calls AMD a Rising Force in the GPU Market, Upgrades Shares to Buy"", ""Micron, AMD Lead Chip Stocks Rally On U.S.-Iran Deal"", ""Better Artificial Intelligence (AI) Inference Stock: AMD vs. Intel"", ""AMD stock rallies after MEXT acquisition; targets AI memory bottleneck"", ""Is it Too Late to Buy AMD Stock?""]",0.08740561728206046,72.0,78.0,72.0,0.08740561728206046
AMGN,2026-06-16,"[""How Patent Setback and Drug Wins Will Impact Amgen (AMGN) Investors"", ""Amgen Stock (AMGN) Opinions on Congressional Trade Disclosure"", ""Amgen Inc. stock outperforms competitors despite losses on the day"", ""Mizuho raises Amgen stock price target to $303 on MariTide outlook"", ""Are options traders betting on a big move in Amgen stock?"", ""Amgen (AMGN) Stock Valuation Looks Split Between Analyst Targets And DCF Upside"", ""Morgan Stanley Raises Amgen (AMGN) Price Target Following a Strong Start for Uplizna"", ""Amgen Faces Dual Turning Point With IMDYLLTRA Gain And Tavneos Risk""]",-0.008969627271260511,35.0,35.0,35.0,-0.008969627271260511
AMPX,2026-06-16,"[""Amprius Technologies (AMPX) Stock Valuation After Drone Battery Deal And Short Seller Scrutiny"", ""Time to Sell? 3 Winners With Fading Technical Momentum""]",0.010329234975873701,-25.0,-35.0,-15.0,0.010329234975873701
AMZN,2026-06-16,"[""Amazon Stock (AMZN) Jumps as Founder Jeff Bezos Calls for Tax Eliminations"", ""AMZN Stock Jumps \u2014 Amazon Announces Multibillion-Dollar Data Center Expansion In Missouri"", ""What's Going On With Amazon Stock Monday?"", ""Dow Hits Record High, Nasdaq And S&P 500 Jump On US-Iran Deal And SpaceX Optimism \u2014 SPCX, NVDA, ROKU, CRM, AMZN In Focus"", ""Better Stock to Buy Now: Amazon vs. Microsoft"", ""Amazon Accelerates India Infrastructure Push: How to Play the Stock"", ""Amazon.com Inc. (AMZN) Shows How Logistics Scale Can Become a Broader E-Commerce Service"", ""Amazon (AMZN) Moves To Unlock An Entire Continent, How Big Is The Target Market?"", ""Wall Street Sees 34% Upside To Amazon.com, Inc. (AMZN)"", ""Meet the E-Commerce Stock That's Up 25% in 2026. Is It a Better Buy Than Amazon?""]",-0.053699214284012954,72.0,72.0,45.0,-0.053699214284012954
