generated_on,settlement,ticker,side,weight,usd,shares,ref_px,hold_days
2026-06-25,2026-05-29,ASML,LONG  (low DTC),0.00641,1923.08,1,1778.46,40
2026-06-25,2026-05-29,AZN,LONG  (low DTC),0.00641,1923.08,11,181.02,40
2026-06-25,2026-05-29,GFS,LONG  (low DTC),0.00641,1923.08,23,83.39,40
2026-06-25,2026-05-29,MDB,LONG  (low DTC),0.00641,1923.08,6,320.97,40
2026-06-25,2026-05-29,MU,LONG  (low DTC),0.00641,1923.08,2,1051.77,40
2026-06-25,2026-05-29,NOK,LONG  (low DTC),0.00641,1923.08,140,13.7,40
2026-06-25,2026-05-29,ZM,LONG  (low DTC),0.00641,1923.08,22,86.44,40
2026-06-25,2026-05-29,MRVL,LONG  (low DTC),0.00641,1923.08,7,279.04,40
2026-06-25,2026-05-29,AZO,LONG  (low DTC),0.00641,1923.08,1,3046.46,40
2026-06-25,2026-05-29,FLEX,LONG  (low DTC),0.00641,1923.08,13,151.85,40
2026-06-25,2026-05-29,INTC,LONG  (low DTC),0.00641,1923.08,15,132.28,40
2026-06-25,2026-05-29,RKLB,LONG  (low DTC),0.00641,1923.08,20,95.12,40
2026-06-25,2026-05-29,IREN,LONG  (low DTC),0.00641,1923.08,35,54.72,40
2026-06-25,2026-05-29,CRCL,LONG  (low DTC),0.00641,1923.08,25,75.68,40
2026-06-25,2026-05-29,ONTO,LONG  (low DTC),0.00641,1923.08,6,315.88,40
2026-06-25,2026-05-29,CCL,LONG  (low DTC),0.00641,1923.08,67,28.72,40
2026-06-25,2026-05-29,HOOD,LONG  (low DTC),0.00641,1923.08,19,103.25,40
2026-06-25,2026-05-29,USAR,LONG  (low DTC),0.00641,1923.08,84,22.89,40
2026-06-25,2026-05-29,AMD,LONG  (low DTC),0.00641,1923.08,4,519.85,40
2026-06-25,2026-05-29,DELL,LONG  (low DTC),0.00641,1923.08,4,427.78,40
2026-06-25,2026-05-29,ARM,LONG  (low DTC),0.00641,1923.08,5,366.39,40
2026-06-25,2026-05-29,APH,LONG  (low DTC),0.00641,1923.08,12,158.7,40
2026-06-25,2026-05-29,COHR,LONG  (low DTC),0.00641,1923.08,5,381.22,40
2026-06-25,2026-05-29,SNOW,LONG  (low DTC),0.00641,1923.08,8,230.41,40
2026-06-25,2026-05-29,MDT,LONG  (low DTC),0.00641,1923.08,24,80.63,40
2026-06-25,2026-05-29,F,LONG  (low DTC),0.00641,1923.08,137,14.0,40
2026-06-25,2026-05-29,GLD,LONG  (low DTC),0.00641,1923.08,5,377.32,40
2026-06-25,2026-05-29,ATO,LONG  (low DTC),0.00641,1923.08,11,171.09,40
2026-06-25,2026-05-29,NVDA,LONG  (low DTC),0.00641,1923.08,10,200.04,40
2026-06-25,2026-05-29,A,LONG  (low DTC),0.00641,1923.08,15,126.67,40
2026-06-25,2026-05-29,NOW,LONG  (low DTC),0.00641,1923.08,20,95.94,40
2026-06-25,2026-05-29,DECK,LONG  (low DTC),0.00641,1923.08,19,103.63,40
2026-06-25,2026-05-29,ADI,LONG  (low DTC),0.00641,1923.08,5,407.26,40
2026-06-25,2026-05-29,CBRE,LONG  (low DTC),0.00641,1923.08,14,133.21,40
2026-06-25,2026-05-29,CLS,LONG  (low DTC),0.00641,1923.08,5,351.2,40
2026-06-25,2026-05-29,SCHW,LONG  (low DTC),0.00641,1923.08,21,93.17,40
2026-06-25,2026-05-29,ALAB,LONG  (low DTC),0.00641,1923.08,5,397.02,40
2026-06-25,2026-05-29,S,LONG  (low DTC),0.00641,1923.08,127,15.13,40
2026-06-25,2026-05-29,SMCI,LONG  (low DTC),0.00641,1923.08,58,33.32,40
2026-06-25,2026-05-29,CME,LONG  (low DTC),0.00641,1923.08,8,242.26,40
2026-06-25,2026-05-29,GLW,LONG  (low DTC),0.00641,1923.08,10,194.07,40
2026-06-25,2026-05-29,TSLA,LONG  (low DTC),0.00641,1923.08,5,381.61,40
2026-06-25,2026-05-29,ASTS,LONG  (low DTC),0.00641,1923.08,26,72.87,40
2026-06-25,2026-05-29,D,LONG  (low DTC),0.00641,1923.08,28,68.45,40
2026-06-25,2026-05-29,PLTR,LONG  (low DTC),0.00641,1923.08,16,116.7,40
2026-06-25,2026-05-29,EL,LONG  (low DTC),0.00641,1923.08,23,83.76,40
2026-06-25,2026-05-29,ECL,LONG  (low DTC),0.00641,1923.08,7,268.66,40
2026-06-25,2026-05-29,OKLO,LONG  (low DTC),0.00641,1923.08,34,57.19,40
