date,open,high,low,close,volume,ret_1d,ret_2d,ret_3d,gap,vol20,rvol,red,vol_max20,below_1,up_streak,FLAG_ramp,FLAG_ignition,FLAG_top
2026-01-12,0.9752,1.02,0.95,0.9826,43663970.0,,,,,,,False,False,True,0,False,False,False
2026-01-13,0.98,0.98,0.941483,0.947,35359837.0,-0.03623040911866482,,,-0.0026460411154081154,,,True,False,True,0,False,False,False
2026-01-14,0.9354,0.9874,0.9001,0.9619,46106607.0,0.01573389651531154,-0.021066558111133782,,-0.012249208025343128,,,False,False,True,2,False,False,False
2026-01-15,0.9798,1.11,0.9796,1.04,86188842.0,0.08119347125480836,0.09820485744456198,0.058416446163240376,0.018609003014866454,,,False,False,False,3,True,False,False
2026-01-16,1.035,1.04,0.975,0.9854,50788025.0,-0.05249999999999999,0.02443081401393088,0.04054910242872234,-0.004807692307692402,,,True,False,True,0,False,False,False
2026-01-20,0.9415,0.97,0.921,0.926,38315816.0,-0.06028008930383599,-0.10961538461538456,-0.03732196694043033,-0.044550436371016855,,,True,False,True,0,False,False,False
2026-01-21,0.9354,0.9753,0.902,0.9359,31633729.0,0.01069114470842325,-0.050233407753196735,-0.10009615384615389,0.010151187904967607,,,False,False,True,2,False,False,False
2026-01-22,0.93775,1.02,0.9311,0.9341,48253285.0,-0.0019232824019659311,0.0087473002159828,-0.052060077126040216,0.001976706913131787,,,True,False,True,0,False,False,False
2026-01-23,0.94,0.9543,0.91,0.9151,35520354.0,-0.02034043464297186,-0.022224596644940586,-0.01177105831533476,0.006316240231238446,,,True,False,True,0,False,False,False
2026-01-26,0.91675,0.91675,0.88,0.8828,36061356.0,-0.03529668888646054,-0.054919173536024046,-0.05673683085799752,0.0018030816304228647,45189182.1,0.7980086012665407,True,False,True,0,False,False,False
2026-01-27,0.891,0.891,0.8501,0.8501,31775328.0,-0.037041232442229344,-0.07103048847120541,-0.08992613210577038,0.009288627095604962,43969740.81818182,0.7226635274334086,True,False,True,0,False,False,False
2026-01-28,0.8645,0.91,0.83,0.83,51553055.0,-0.02364427714386541,-0.059809696420480396,-0.09299530105999354,0.01693918362545599,44601683.666666664,1.1558544602325962,True,False,True,0,False,False,False
2026-01-29,0.835,0.837,0.7704,0.7761,39456414.0,-0.06493975903614457,-0.08704858251970349,-0.1208654281830539,0.006024096385542244,44205893.692307696,0.8925600345201447,True,False,True,0,False,False,False
2026-01-30,0.7793,0.80225,0.751,0.7632,44856942.0,-0.0166215693853885,-0.08048192771084339,-0.10222326785084102,0.004123180002576943,44252397.14285714,1.0136612906006255,True,False,True,0,False,False,False
2026-02-02,0.7643,0.7643,0.7263,0.7332,25456104.0,-0.03930817610062898,-0.055276381909547756,-0.11662650602409641,0.001441299790356343,42999310.93333333,0.5920119054807056,True,False,True,0,False,False,False
2026-02-03,0.7574,0.7788,0.722,0.7554,23306194.0,0.03027823240589189,-0.010220125786163603,-0.026671820641669952,0.03300600109110752,41768491.125,0.5579850593657278,True,False,True,2,False,False,False
2026-02-04,0.7466,0.7669,0.7111,0.7123,31136350.0,-0.057055864442679294,-0.028505182760501846,-0.06669287211740038,-0.011649457241196592,41143071.058823526,0.7567823499486316,True,False,True,0,False,False,False
2026-02-05,0.69555,0.7185,0.6633,0.6661,26572004.0,-0.06486031166643269,-0.1182155149589621,-0.09151663938897969,-0.02351537273620674,40333567.333333336,0.6588061943640624,True,False,True,0,False,False,False
2026-02-06,0.689,0.7426,0.6835,0.7289,31003953.0,0.09428013811739966,0.02330478730871821,-0.035080751919512765,0.03437922233898805,39842535.0,0.7781621576036766,False,False,True,2,False,False,False
2026-02-09,0.75,0.77,0.7112,0.7698,24066771.0,0.05611194951296472,0.15568232998048348,0.08072441387056006,0.02894772945534374,39053746.8,0.6162474275067508,False,False,True,3,False,False,False
2026-02-10,0.7672,0.82,0.75,0.75,37692004.0,-0.025720966484801266,0.02894772945534374,0.1259570635039784,-0.0033775006495194715,38755148.5,0.9725676576881134,True,False,True,0,False,False,False
2026-02-11,0.7586,0.7587,0.7,0.7089,28114243.0,-0.05480000000000007,-0.07911145752143423,-0.027438606118809217,0.011466666666666736,38392868.8,0.7322777348693464,True,False,True,0,False,False,False
2026-02-12,0.71,0.7191,0.69,0.6915,19950766.0,-0.02454506982649174,-0.07799999999999996,-0.10171473109898677,0.0015516998166171803,37085076.75,0.5379728922901582,True,False,True,0,False,False,False
2026-02-13,0.70375,0.7399,0.6979,0.7108,14377254.0,0.027910339840925502,0.002680208774157089,-0.052266666666666683,0.017715112075198824,33494497.35,0.42924226776014,False,False,True,2,False,False,False
2026-02-17,0.721,0.7345,0.6815,0.6994,15814117.0,-0.016038266741699392,0.011424439624005744,-0.013401043870785667,0.014350028137310122,31745801.95,0.4981482913837683,True,False,True,0,False,False,False
2026-02-18,0.74,0.7426,0.692,0.7129,21349889.0,0.019302259079210682,0.0029544175576814435,0.030947216196673955,0.058049756934515306,30897505.6,0.6909906992621436,True,False,True,2,False,False,False
2026-02-19,0.705,0.818,0.6975,0.79,49897576.0,0.1081498106326273,0.1295396053760367,0.11142374788970177,-0.011081498106326304,31810697.95,1.5685784725135212,False,False,True,3,True,False,False
2026-02-20,0.75,0.7699,0.725,0.725,23569553.0,-0.08227848101265833,0.016972927479309785,0.03660280240205882,-0.05063291139240511,30576511.35,0.7708385279866141,True,False,True,0,False,False,False
2026-02-23,0.7177,0.7201,0.691,0.691,19645506.152989,-0.04689655172413798,-0.12531645569620264,-0.03071959601627161,-0.010068965517241346,29782768.95764945,0.6596265841139402,True,False,True,0,False,False,False
2026-02-24,0.70105,0.75,0.7,0.7237,22043447.009806,0.047322720694645604,-0.001793103448275768,-0.08392405063291142,0.014544138929088346,29081873.508139748,0.7579789178175279,False,False,True,2,False,False,False
2026-02-25,0.7444,0.8,0.7332,0.7967,39708881.972933,0.10087052646124084,0.1529667149059335,0.0988965517241378,0.02860301229791351,29478551.2067864,1.3470432008134587,False,False,True,3,True,False,False
2026-02-26,0.7852,0.82,0.75,0.82,35309617.29035,0.029245638257813455,0.13306618764681488,0.18668596237337187,-0.014434542487761992,28666379.321303897,1.2317431823037752,False,False,True,4,False,False,False
2026-02-27,0.7905,1.05,0.79,0.9456,148107242.746675,0.1531707317073172,0.1868959457763275,0.30661876468149774,-0.03597560975609748,34098920.75863765,4.34345836910858,False,True,True,5,True,True,False
2026-03-02,0.83725,0.8921,0.78,0.825,45098917.549471,-0.1275380710659899,0.0060975609756097615,0.03552152629597094,-0.11458333333333326,34111019.5361112,1.322121653435999,True,False,True,0,False,False,False
2026-03-03,0.8222,0.8498,0.766,0.7943,31546110.624006,-0.03721212121212114,-0.16000423011844334,-0.03134146341463406,-0.0033939393939392826,34415519.8673115,0.916624556177897,True,False,True,0,False,False,False
2026-03-04,0.8085,0.8297,0.79,0.79,22968396.805014,-0.005413571698350661,-0.042424242424242364,-0.1645516074450084,0.01787737630618147,34398630.007562205,0.6677125455276742,True,False,True,0,False,False,False
2026-03-05,0.7901,0.825,0.77,0.7774,31980636.569846,-0.015949367088607613,-0.021276595744680882,-0.05769696969696969,0.00012658227848105774,34440844.3360545,0.9285671471290551,True,False,True,0,False,False,False
2026-03-06,0.762,0.793,0.75,0.7928,19020529.941202,0.01980962181631063,0.0035443037974682845,-0.0018884552436108093,-0.01980962181631074,34063270.6331146,0.5583882459810303,False,False,True,2,False,False,False
2026-03-09,0.7729,0.82,0.7379,0.7629,28926477.212006,-0.03771442986881923,-0.018651916645227584,-0.034303797468354436,-0.02510090817356192,33959396.8437149,0.851795965197174,True,False,True,0,False,False,False
2026-03-10,0.76125,0.789,0.7408,0.7559,19780509.206443,-0.00917551448420506,-0.046543895055499385,-0.027656290198096123,-0.0021627998427055095,33745083.75403705,0.5861745476947167,True,False,True,0,False,False,False
2026-03-11,0.75,0.7984,0.75,0.7899,25699250.655777,0.044979494642148454,0.0353912701533623,-0.0036579212916244552,-0.007805265246725757,33145446.0868259,0.7753478589021467,False,False,True,2,False,False,False
2026-03-12,0.7787,0.7913,0.7315,0.7315,25897369.470167,-0.07393340929231551,-0.032279402037306504,-0.04115873640057677,-0.01417901000126609,33034602.410334248,0.7839467582653726,True,False,True,0,False,False,False
2026-03-13,0.7432,0.792,0.74,0.7604,27062848.881393,0.039507860560491936,-0.037346499556906054,0.005953168408519671,0.01599453178400534,33390206.5544039,0.8105025896530019,False,False,True,2,False,False,False
2026-03-16,0.76,0.8082,0.7521,0.8082,26491854.864158,0.06286165176223046,0.10485304169514698,0.023167489555639964,-0.0005260389268805232,33995936.5976118,0.7792653333168954,False,False,True,3,False,False,False
2026-03-17,0.765,0.7774,0.74,0.7486,27675300.807985,-0.07374412274189557,-0.015518148342977267,0.023376623376623273,-0.053452115812917644,34588995.78801105,0.8001186555863405,True,False,True,0,False,False,False
2026-03-18,0.75,0.75,0.7,0.7,32320925.927669,-0.06492118621426679,-0.1338777530314279,-0.079431877958969,0.0018701576275714782,35137547.634394504,0.9198401170157804,True,False,True,0,False,False,False
2026-03-19,0.7,0.7167,0.69,0.7109,18318520.668458,0.01557142857142857,-0.05036067325674598,-0.1203909923286316,0.0,33558594.8678174,0.5458667366918097,False,False,True,2,False,False,False
2026-03-20,0.71,0.7125,0.6908,0.6956,18666015.903288,-0.02152201434800949,-0.006285714285714228,-0.07079882447234842,-0.0012660008440005255,33313418.012981802,0.5603152428254013,True,False,True,0,False,False,False
2026-03-23,0.7061,0.7359,0.6887,0.72,35880877.958789,0.035077630822311745,0.01280067520045014,0.028571428571428692,0.015094882116158725,34125186.6032718,1.0514485495985206,False,False,True,2,False,False,False
