n_obs,n_days,rank_ic,ic_t,sharpe,turnover,fitness,mono,alpha,base
75147,517,0.02332,3.03,0.0465,0.6912,0.0134,0.7212,rsi_14__signed_power_p05,rsi_14
75147,517,0.02332,3.03,0.1861,0.7429,0.102,0.7212,rsi_14__scale,rsi_14
75147,517,0.02332,3.03,0.2321,0.808,0.1418,0.7212,rsi_14__cs_rank,rsi_14
75147,517,0.02332,3.03,0.2008,0.7573,0.1143,0.7212,rsi_14__cs_zscore,rsi_14
75147,517,0.02332,3.03,0.2115,0.7454,0.1239,0.7212,rsi_14__cs_demean,rsi_14
74997,516,0.02841,3.47,0.0983,0.698,0.0412,0.8061,rsi_14__ts_mean__w5,rsi_14
74547,513,0.03118,3.73,0.1204,0.7007,0.0538,0.9515,rsi_14__ts_mean__w10,rsi_14
73800,508,0.03522,4.13,0.1669,0.7045,0.088,0.8182,rsi_14__ts_mean__w20,rsi_14
75147,517,0.02856,3.51,0.1331,0.7076,0.0643,0.903,rsi_14__ts_max__w5,rsi_14
75147,517,0.0282,3.5,0.1444,0.7117,0.0717,0.7333,rsi_14__ts_max__w10,rsi_14
75147,517,0.02975,3.71,0.1328,0.721,0.0628,0.8909,rsi_14__ts_max__w20,rsi_14
75147,517,0.02659,3.38,0.0638,0.6915,0.0215,0.8545,rsi_14__ts_min__w5,rsi_14
75147,517,0.02996,3.83,0.0728,0.6821,0.0256,0.6,rsi_14__ts_min__w20,rsi_14
74547,513,0.02635,3.26,0.0866,0.6984,0.0342,0.7818,rsi_14__ts_decay_linear__w5,rsi_14
73800,508,0.03123,3.74,0.1631,0.7006,0.0871,0.8545,rsi_14__ts_decay_linear__w10,rsi_14
72303,498,0.03237,3.76,0.1588,0.7032,0.0809,0.8424,rsi_14__ts_decay_linear__w20,rsi_14
75147,517,0.0353,4.96,0.1415,0.8273,0.0672,0.7091,obv__cs_rank,obv
40190,281,0.04865,3.17,0.2063,0.3228,0.148,1.0,low_52w_ratio__ts_mean__w10,low_52w_ratio
39456,276,0.04673,3.02,0.1997,0.3231,0.1417,1.0,low_52w_ratio__ts_mean__w20,low_52w_ratio
40776,285,0.04702,3.12,0.1769,0.3274,0.1158,0.8182,low_52w_ratio__ts_min__w5,low_52w_ratio
40776,285,0.04632,3.11,0.1469,0.3286,0.0882,0.9758,low_52w_ratio__ts_min__w10,low_52w_ratio
40776,285,0.04472,3.06,0.1113,0.3318,0.0583,0.7333,low_52w_ratio__ts_min__w20,low_52w_ratio
40190,281,0.04684,3.04,0.2101,0.3237,0.1498,0.9394,low_52w_ratio__ts_decay_linear__w5,low_52w_ratio
74399,512,0.02838,3.23,0.2333,0.5186,0.1605,0.5879,return_20d__ts_mean__w10,return_20d
73651,507,0.02918,3.26,0.1302,0.5194,0.0675,0.5636,return_20d__ts_mean__w20,return_20d
74998,516,0.03913,4.07,0.0353,0.6115,0.0092,0.4424,return_20d__ts_min__w20,return_20d
74998,507,0.02389,4.18,0.0057,0.7553,0.0006,0.4303,return_20d__ts_argmax__w10,return_20d
73800,508,0.02482,3.21,0.1329,0.7359,0.0639,0.7576,ma5_above_ma20__ts_mean__w20,ma5_above_ma20
73800,508,0.0275,3.37,0.2139,0.7265,0.1292,0.6848,bb_pct__ts_mean__w20,bb_pct
75147,517,0.03617,3.95,0.1349,0.8432,0.0627,0.4788,vwap_dev_eod__cs_rank,vwap_dev_eod
75147,517,0.03617,3.95,0.0531,0.7049,0.0158,0.4788,vwap_dev_eod__cs_zscore,vwap_dev_eod
75147,517,0.03617,3.95,0.0318,0.6284,0.0076,0.4788,vwap_dev_eod__cs_demean,vwap_dev_eod
75147,517,0.03506,3.9,0.1246,0.8428,0.0557,0.4424,intraday_momentum__cs_rank,intraday_momentum
75147,517,0.03506,3.9,0.0383,0.6068,0.01,0.4424,intraday_momentum__cs_zscore,intraday_momentum
75147,517,0.03506,3.9,0.0535,0.5193,0.0171,0.4424,intraday_momentum__cs_demean,intraday_momentum
75147,517,0.03473,3.79,0.0255,0.4308,0.006,0.7333,intraday_momentum__ts_max__w5,intraday_momentum
75147,517,0.03403,3.76,0.0797,0.4067,0.0345,0.7333,intraday_momentum__ts_max__w10,intraday_momentum
75147,517,0.03355,3.73,0.0893,0.3963,0.0415,0.6848,intraday_momentum__ts_max__w20,intraday_momentum
73800,508,0.0367,3.93,0.003,0.5694,0.0002,0.6727,intraday_momentum__ts_decay_linear__w10,intraday_momentum
72303,498,0.03567,3.77,0.0024,0.589,0.0002,0.7212,intraday_momentum__ts_decay_linear__w20,intraday_momentum
73800,508,0.02405,3.59,0.2253,0.748,0.1332,0.8182,obv_trend__ts_mean__w20,obv_trend
75147,515,0.01784,3.78,0.0105,0.7864,0.0014,0.8182,obv_trend__ts_argmax__w20,obv_trend
75147,516,0.03278,4.82,0.1346,0.8208,0.0608,0.6485,oil_spy_corr__cs_rank,oil_spy_corr
75007,516,0.03278,4.82,0.1153,0.7633,0.0479,0.6485,oil_spy_corr__cs_zscore,oil_spy_corr
75147,516,0.03278,4.82,0.1056,0.7588,0.0421,0.6485,oil_spy_corr__cs_demean,oil_spy_corr
74398,512,0.01897,3.09,0.0577,0.6034,0.0184,0.6727,oil_spy_corr__ts_delta__w5,oil_spy_corr
75147,517,0.03035,6.09,0.0226,0.3317,0.0055,0.3455,rev_x_low52w__group_neutralize,rev_x_low52w
58064,515,0.01867,3.02,0.0785,0.7749,0.028,0.8061,fund_bm__ts_argmax__w20,fund_bm
