n_obs,n_days,rank_ic,ic_t,sharpe,turnover,fitness,mono,alpha,base
74403,512,0.02352,3.03,0.0486,0.6915,0.0144,0.7576,rsi_14__signed_power_p05,rsi_14
74403,512,0.02352,3.03,0.1892,0.7439,0.1046,0.7576,rsi_14__scale,rsi_14
74403,512,0.02352,3.03,0.2369,0.8092,0.1463,0.7576,rsi_14__cs_rank,rsi_14
74403,512,0.02352,3.03,0.2043,0.7581,0.1173,0.7576,rsi_14__cs_zscore,rsi_14
74403,512,0.02352,3.03,0.2147,0.7464,0.1268,0.7576,rsi_14__cs_demean,rsi_14
74253,511,0.02866,3.47,0.1023,0.6982,0.0439,0.7939,rsi_14__ts_mean__w5,rsi_14
73803,508,0.03135,3.72,0.1227,0.7008,0.0554,0.9515,rsi_14__ts_mean__w10,rsi_14
73056,503,0.03512,4.09,0.1649,0.7043,0.0865,0.8545,rsi_14__ts_mean__w20,rsi_14
74403,512,0.02879,3.51,0.1375,0.708,0.0676,0.903,rsi_14__ts_max__w5,rsi_14
74403,512,0.02823,3.48,0.1465,0.7118,0.0733,0.7333,rsi_14__ts_max__w10,rsi_14
74403,512,0.02945,3.65,0.1302,0.7203,0.0611,0.8909,rsi_14__ts_max__w20,rsi_14
74403,512,0.02681,3.38,0.0673,0.6917,0.0234,0.8545,rsi_14__ts_min__w5,rsi_14
74403,512,0.02988,3.8,0.0679,0.6818,0.0231,0.6364,rsi_14__ts_min__w20,rsi_14
73803,508,0.0266,3.26,0.0906,0.6987,0.0367,0.7818,rsi_14__ts_decay_linear__w5,rsi_14
73056,503,0.03146,3.74,0.1667,0.7007,0.0901,0.8545,rsi_14__ts_decay_linear__w10,rsi_14
71559,493,0.03247,3.74,0.1602,0.7033,0.0821,0.8424,rsi_14__ts_decay_linear__w20,rsi_14
74403,512,0.03448,4.81,0.1347,0.8283,0.0624,0.6606,obv__cs_rank,obv
39461,276,0.04744,3.04,0.1988,0.3211,0.1407,0.9879,low_52w_ratio__ts_mean__w10,low_52w_ratio
40047,280,0.04602,3.01,0.1687,0.3257,0.1082,0.8424,low_52w_ratio__ts_min__w5,low_52w_ratio
73655,507,0.02835,3.2,0.2341,0.5173,0.1616,0.5879,return_20d__ts_mean__w10,return_20d
72907,502,0.02863,3.17,0.1249,0.5178,0.0636,0.5758,return_20d__ts_mean__w20,return_20d
74254,511,0.03954,4.08,0.0377,0.6111,0.0102,0.4424,return_20d__ts_min__w20,return_20d
74254,502,0.02353,4.09,0.0007,0.7545,0.0,0.3697,return_20d__ts_argmax__w10,return_20d
73056,503,0.02461,3.16,0.1344,0.7356,0.0651,0.7576,ma5_above_ma20__ts_mean__w20,ma5_above_ma20
73056,503,0.02754,3.35,0.2164,0.726,0.1317,0.7212,bb_pct__ts_mean__w20,bb_pct
74403,512,0.03644,3.95,0.1429,0.8444,0.0684,0.4788,vwap_dev_eod__cs_rank,vwap_dev_eod
74403,512,0.03644,3.95,0.0582,0.7057,0.0182,0.4788,vwap_dev_eod__cs_zscore,vwap_dev_eod
74403,512,0.03644,3.95,0.0391,0.6298,0.0103,0.4788,vwap_dev_eod__cs_demean,vwap_dev_eod
74403,512,0.03562,3.94,0.1334,0.8442,0.0617,0.4424,intraday_momentum__cs_rank,intraday_momentum
74403,512,0.03562,3.94,0.0458,0.607,0.013,0.4424,intraday_momentum__cs_zscore,intraday_momentum
74403,512,0.03562,3.94,0.0625,0.5186,0.0216,0.4424,intraday_momentum__cs_demean,intraday_momentum
74403,512,0.03513,3.81,0.0339,0.4301,0.0093,0.7333,intraday_momentum__ts_max__w5,intraday_momentum
74403,512,0.03424,3.76,0.086,0.4056,0.0388,0.7333,intraday_momentum__ts_max__w10,intraday_momentum
74403,512,0.03348,3.7,0.0939,0.3948,0.0448,0.6848,intraday_momentum__ts_max__w20,intraday_momentum
73056,503,0.03714,3.95,0.0112,0.5697,0.0017,0.6727,intraday_momentum__ts_decay_linear__w10,intraday_momentum
71559,493,0.03587,3.76,0.0075,0.5896,0.0009,0.7212,intraday_momentum__ts_decay_linear__w20,intraday_momentum
73056,503,0.02442,3.61,0.2318,0.7471,0.1391,0.8182,obv_trend__ts_mean__w20,obv_trend
74403,510,0.01844,3.9,0.0266,0.7861,0.0054,0.7818,obv_trend__ts_argmax__w20,obv_trend
74403,511,0.0312,4.57,0.1171,0.8207,0.0494,0.6485,oil_spy_corr__cs_rank,oil_spy_corr
74263,511,0.0312,4.57,0.0979,0.7633,0.0375,0.6485,oil_spy_corr__cs_zscore,oil_spy_corr
74403,511,0.0312,4.57,0.0885,0.7587,0.0323,0.6485,oil_spy_corr__cs_demean,oil_spy_corr
74403,512,0.03158,6.31,0.0369,0.3313,0.0114,0.3455,rev_x_low52w__group_neutralize,rev_x_low52w
57474,510,0.01921,3.09,0.0816,0.7747,0.0297,0.8061,fund_bm__ts_argmax__w20,fund_bm
